n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.928835043048284,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1 AND bzip2==0 AND gzip==0 AND lzo==1 AND zpaq==0,0,1.0,1.0,1.0,0,0.1084485054016113
2,6.42206265515615,47,encryption = 1 AND nice = 1,encryption==1 AND integrityCheck==0 AND bzip2==1 AND gzip==0 AND nice==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,0,0.5692682266235352
3,15.44485714372082,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption==1 AND integrityCheck==1 AND multithreading==1,0,1.0,1.0,1.0,0,0.288348913192749
4,16.443828885643278,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck==1 AND nice==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,0,0.6711647510528564
1,17.14388132695109,32,bzip2 = 1,bzip2==1,0,1.0,1.0,1.0,1,0.3123476505279541
2,7.200999670784867,16,gzip = 1 AND nice = 1,encryption==1 AND disableLzoCompressibilityTesting==1 AND bzip2==0 AND gzip==0 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,1,0.5742955207824707
3,13.50256547747886,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND disableLzoCompressibilityTesting==1 AND integrityCheck==1 AND bzip2==0 AND nice==0 AND unlimitedWindowSize==0,0,0.0,0.0,0.0,1,0.5048873424530029
4,22.84361642746198,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption==1 AND integrityCheck==1 AND nice==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,1,0.3196732997894287
1,8.371778929454319,32,bzip2 = 1,encryption==1 AND disableLzoCompressibilityTesting==1 AND bzip2==0 AND nice==0 AND multithreading==0 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,10,0.4007744789123535
2,24.04903634680356,31,encryption = 1 AND lzo = 1,encryption==1 AND bzip2==0 AND gzip==0 AND lzo==1,0,1.0,1.0,1.0,10,0.2079629898071289
3,24.771539629987902,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,integrityCheck==1 AND bzip2==0 AND gzip==0 AND lzo==1 AND zpaq==0 AND multithreading==1,0,1.0,1.0,1.0,10,0.2036778926849365
4,18.389097805983653,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND nice==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,10,0.3034818172454834
1,22.04579671185249,32,zpaq = 1,bzip2==0 AND gzip==0 AND lzo==0 AND noBackend==0,0,1.0,1.0,1.0,11,0.1098387241363525
2,4.732152636912214,16,noBackend = 1 AND multithreading = 1,disableLzoCompressibilityTesting==0 AND integrityCheck==1 AND lzo==1 AND nice==1 AND multithreading==1 AND unlimitedWindowSize==1,0,0.0,0.0,0.0,11,0.8049948215484619
3,17.576608760342772,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,integrityCheck==1 AND bzip2==0 AND gzip==0 AND lzo==1 AND zpaq==0 AND multithreading==1,1,1.0,1.0,1.0,11,0.4488577842712402
4,26.223247136915592,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption==1 AND nice==1 AND multithreading==1 AND unlimitedWindowSize==1,0,1.0,1.0,1.0,11,0.304642915725708
1,20.47247081356132,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting==1 AND bzip2==0 AND gzip==0 AND lzo==1 AND zpaq==0,0,1.0,1.0,1.0,12,0.202247142791748
