n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,170.7161746813652,161,Lc4Lp0 = 1,Lc0Lp1==0 AND Lc0Lp2==0 AND Lc0Lp3==0 AND Lc0Lp4==0 AND Lc2Lp0==0 AND Lc4Lp0==1 AND Lc0Lp0==0,0,1.0,1.0,1.0,0,824.24369764328
2,40.89523445786644,421,Dict = 1 AND FlushTimeout = 1,crc32==1 AND Lc2Lp0==0 AND MemoryLimit==1 AND FlushTimeout==0 AND PositionBits==0 AND hc3==1 AND Lc0Lp0==0,0,0.0,0.0,0.0,0,5874.128849744797
3,87.881683671427,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth==1 AND BlockSize==1 AND FlushTimeout==1,2,1.0,1.0,1.0,0,3889.334956407547
4,175.7810552868676,140,hc4 = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,Nice==1 AND Depth==1 AND Dist==1 AND hc3==0 AND hc4==1 AND bt3==0 AND bt4==0,0,1.0,1.0,1.0,0,1004.126273393631
1,177.09152658428053,190,Lc3Lp0 = 1,Lc0Lp1==0 AND Lc0Lp2==0 AND Lc0Lp3==0 AND Lc0Lp4==0 AND Lc2Lp0==0 AND Lc3Lp0==1 AND Lc0Lp0==0,0,1.0,1.0,1.0,1,507.6185510158539
2,74.24960600257157,216,hc4 = 1 AND MemoryLimit = 1,Lc0Lp1==1 AND Nice==1 AND Depth==1 AND Dist==1 AND sha256==0 AND PositionBits==1 AND bt4==0,3,0.0088495575221238,0.1,0.0046296296296296,1,5908.147416353226
3,55.71458791104968,141,bt4 = 1 AND Dict = 1 AND FlushTimeout = 1,crc64==0 AND Lc3Lp0==1 AND sha256==0 AND hc3==0 AND hc4==1 AND bt2==0 AND Lc0Lp0==0,0,0.0,0.0,0.0,1,6264.082677602768
1,107.28572214329049,367,bt3 = 1,hc3==0 AND hc4==0 AND bt2==0 AND bt4==0,0,1.0,1.0,1.0,10,1788.281982421875
2,149.24834532443822,144,FlushTimeout = 1 AND PositionBits = 1,FlushTimeout==1 AND PositionBits==1,0,1.0,1.0,1.0,10,1553.8509526252749
3,138.34462154516268,193,crc64 = 1 AND Nice = 1 AND Depth = 1,crc32==0 AND crc64==1 AND Nice==1 AND Depth==1 AND none==0,0,1.0,1.0,1.0,10,1149.4550614356997
4,189.68562987427296,126,bt4 = 1 AND Nice = 1 AND BlockSize = 1 AND FlushTimeout = 1,Nice==1 AND BlockSize==1 AND FlushTimeout==1 AND hc3==0 AND hc4==0 AND bt4==1,0,1.0,1.0,1.0,10,761.4296095371246
5,157.6547416446821,202,bt4 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1,MemoryLimit==1 AND Nice==1 AND Depth==1 AND Dict==1 AND hc3==0 AND bt4==1,0,1.0,1.0,1.0,10,842.9569969177246
6,45.26753678672144,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc64==0 AND Lc2Lp2==1 AND FlushTimeout==0 AND PositionBits==0 AND none==0 AND hc4==0 AND bt4==0,1,0.0129032258064516,0.0714285714285714,0.0070921985815602,10,5798.9854238033295
1,141.74129762493294,174,Lc0Lp2 = 1,Lc0Lp1==0 AND Lc0Lp2==1 AND Lc0Lp0==0,0,1.0,1.0,1.0,11,1565.1314063072205
2,89.85373934600867,108,Lc0Lp2 = 1 AND BlockSize = 1,Lc0Lp4==0 AND Lc1Lp1==0 AND Nice==1 AND Multithreading==0 AND sha256==0 AND BlockSize==0 AND PositionBits==1,0,0.0,0.0,0.0,11,5859.6930975914
3,111.19690767994616,183,sha256 = 1 AND MemoryLimit = 1 AND Nice = 1,crc32==0 AND crc64==0 AND MemoryLimit==1 AND Nice==1 AND none==0,0,1.0,1.0,1.0,11,2206.0832805633545
4,101.09961342383608,322,MemoryLimit = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,MemoryLimit==1 AND Dist==1 AND BlockSize==1 AND FlushTimeout==1,0,1.0,1.0,1.0,11,2302.9247829914093
1,87.74612777165947,367,bt3 = 1,hc3==0 AND hc4==0 AND bt2==0 AND bt4==0,0,1.0,1.0,1.0,12,3548.674839735031
2,137.80611952967183,220,sha256 = 1 AND Depth = 1,crc32==0 AND crc64==0 AND Depth==1 AND none==0,0,1.0,1.0,1.0,12,903.049753665924
3,160.43456077207793,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,Nice==1 AND BlockSize==1 AND hc3==0 AND hc4==0 AND bt2==0 AND bt4==1,0,1.0,1.0,1.0,12,631.3997790813446
4,48.01871320944148,223,bt4 = 1 AND MemoryLimit = 1 AND Depth = 1 AND BlockSize = 1,crc32==0 AND MemoryLimit==0 AND Nice==1 AND Dict==1 AND sha256==0 AND FlushTimeout==0 AND PositionBits==1,0,0.0,0.0,0.0,12,4970.774568319321
5,128.376689831574,148,none = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,crc32==0 AND MemoryLimit==1 AND Nice==1 AND Depth==1 AND Dist==1 AND none==1,0,1.0,1.0,1.0,12,1683.6246042251587
1,71.44670959216701,106,Lc1Lp3 = 1,Lc0Lp1==0 AND Lc2Lp1==0 AND MemoryLimit==0 AND Dist==1 AND FlushTimeout==1 AND PositionBits==1 AND hc4==0,0,0.0,0.0,0.0,13,6262.897921323776
2,55.88792718705607,312,crc32 = 1 AND MemoryLimit = 1,Lc0Lp2==0 AND Lc2Lp2==0 AND Nice==1 AND sha256==1 AND PositionBits==0 AND hc4==1 AND Lc0Lp0==0,0,0.0,0.0,0.0,13,5175.910425424576
1,93.4975072249202,445,sha256 = 1,crc32==0 AND crc64==0 AND none==0,0,1.0,1.0,1.0,14,2272.6304111480717
2,51.25206806667194,481,Depth = 1 AND Multithreading = 1,crc32==0 AND Lc3Lp0==1 AND Multithreading==0 AND BlockSize==1 AND none==1 AND hc4==0 AND Lc0Lp0==0,0,0.0,0.0,0.0,14,5450.520650625229
3,26.41103727702594,190,none = 1 AND Depth = 1 AND Dict = 1,Lc0Lp2==0 AND Lc1Lp1==0 AND Nice==0 AND Dist==1 AND FlushTimeout==1 AND PositionBits==0 AND none==0,0,0.0,0.0,0.0,14,5163.001397371292
4,157.37779537701664,103,crc32 = 1 AND MemoryLimit = 1 AND Multithreading = 1 AND BlockSize = 1,crc32==1 AND crc64==0 AND MemoryLimit==1 AND Multithreading==1 AND BlockSize==1 AND none==0,0,1.0,1.0,1.0,14,2034.483636856079
