n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,2.208052039434128,269,model_validate = 1 AND unsat_core = 1,unsat_core==0,0,0.0,0.0,0.0,0,2.8207523822784424
3,4.108212910769648,142,dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core==1 AND dump_models==1 AND smtlib2_compliant==1,0,1.0,1.0,1.0,0,1.9174046516418457
4,3.517283643082916,106,model = 1 AND model_validate = 1 AND stats = 1 AND unsat_core = 1,auto_config==0 AND unsat_core==1 AND debug_ref_count==0 AND model==0 AND model_validate==0 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,0,5.747329950332642
5,3.6929318549450656,66,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1,auto_config==1 AND dump_models==1 AND proof==0 AND trace==1,2,0.4390243902439024,0.4736842105263157,0.4090909090909091,0,5.188323020935059
6,4.53336422989852,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==1 AND model==1 AND proof==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,0,2.1001181602478027
2,3.134771938771626,276,proof = 1 AND stats = 1,well_sorted_check==0 AND debug_ref_count==0 AND dump_models==1 AND smtlib2_compliant==0 AND stats==0 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,1,4.702709674835205
3,2.1242796555143397,196,debug_ref_count = 1 AND stats = 1 AND type_check = 1,unsat_core==1 AND type_check==0,0,0.0,0.0,0.0,1,4.2817018032073975
4,4.067832749481585,71,auto_config = 1 AND model = 1 AND type_check = 1 AND well_sorted_check = 1,auto_config==1 AND well_sorted_check==1 AND model==1 AND type_check==1,0,1.0,1.0,1.0,1,4.590830564498901
5,2.1290670676144647,66,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model_validate = 1 AND proof = 1,debug_ref_count==1 AND model_validate==0 AND stats==0 AND trace==0 AND type_check==0,0,0.0,0.0,0.0,1,6.2578206062316895
6,2.2511191075428605,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==0 AND model==1 AND model_validate==0 AND smtlib2_compliant==0,0,0.0,0.0,0.0,1,6.757479667663574
2,2.784330077679612,295,auto_config = 1 AND model = 1,model==0 AND model_validate==1 AND smtlib2_compliant==1,0,0.0,0.0,0.0,10,3.4206950664520264
3,4.061639289796334,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate==1 AND proof==1 AND type_check==1,0,1.0,1.0,1.0,10,2.213794469833374
4,4.045596505176476,112,debug_ref_count = 1 AND stats = 1 AND trace = 1 AND type_check = 1,debug_ref_count==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,10,2.6280205249786377
5,1.927301184264807,79,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND type_check = 1,auto_config==0 AND unsat_core==1 AND well_sorted_check==0 AND debug_ref_count==0 AND dump_models==1,0,0.0,0.0,0.0,10,3.876865863800049
6,4.223511940849457,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,auto_config==1 AND dump_models==1 AND model==1 AND model_validate==1 AND stats==1 AND type_check==1,0,1.0,1.0,1.0,10,2.931307792663574
2,3.772239271452453,260,smtlib2_compliant = 1 AND trace = 1,smtlib2_compliant==1 AND trace==1,0,1.0,1.0,1.0,11,3.338149309158325
3,2.109166483378781,160,model_validate = 1 AND proof = 1 AND trace = 1,debug_ref_count==0 AND proof==0 AND stats==1 AND trace==1,0,0.0,0.0,0.0,11,3.603482246398926
4,3.49159616944229,104,model_validate = 1 AND proof = 1 AND trace = 1 AND type_check = 1,auto_config==0 AND well_sorted_check==0 AND debug_ref_count==1 AND model==1 AND proof==0 AND smtlib2_compliant==0,0,0.0,0.0,0.0,11,5.009641170501709
5,3.523982222388478,68,model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,unsat_core==0 AND well_sorted_check==0 AND model==0 AND model_validate==0 AND trace==1 AND type_check==0,0,0.0,0.0,0.0,11,5.389251470565796
6,4.103099023518128,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,dump_models==1 AND model==1 AND model_validate==1 AND stats==1 AND trace==1 AND type_check==1,0,1.0,1.0,1.0,11,3.652371406555176
2,4.253718973144405,297,auto_config = 1 AND type_check = 1,auto_config==1 AND type_check==1,0,1.0,1.0,1.0,12,1.9489967823028564
3,3.265074066346477,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,unsat_core==1 AND well_sorted_check==0 AND dump_models==1 AND model==1 AND model_validate==0 AND stats==1 AND trace==1,0,0.0,0.0,0.0,12,5.329673767089844
4,2.403756535146042,83,auto_config = 1 AND dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,unsat_core==0 AND debug_ref_count==0 AND dump_models==0 AND model==0 AND proof==0 AND stats==1,0,0.0,0.0,0.0,12,4.838100910186768
5,3.496157850655892,70,debug_ref_count = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,unsat_core==1 AND debug_ref_count==0 AND dump_models==0 AND model_validate==1 AND type_check==1,0,0.0,0.0,0.0,12,6.0743443965911865
6,3.214532621376107,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,unsat_core==1 AND well_sorted_check==0 AND debug_ref_count==0 AND model==0 AND model_validate==1 AND stats==0,0,0.0,0.0,0.0,12,6.425750255584717
2,2.709820132455402,286,proof = 1 AND unsat_core = 1,auto_config==1 AND debug_ref_count==1 AND model==1 AND proof==0,0,0.0,0.0,0.0,13,4.216975927352905
3,2.049535269927972,97,dump_models = 1 AND trace = 1 AND well_sorted_check = 1,auto_config==1 AND well_sorted_check==0 AND dump_models==1 AND smtlib2_compliant==0 AND type_check==0,0,0.0,0.0,0.0,13,5.117176532745361
4,2.872285564941968,121,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model = 1,unsat_core==0 AND well_sorted_check==1 AND model==0 AND stats==1,0,0.0,0.0,0.0,13,6.524592638015747
