n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.790218353271484
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,2.122444868087769
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2.0494391918182373
1,0.0005810575246949,0.1,0.0002913752913752,0.0,0.0,0.0,0.0,0.0,0.0,1,74.45560646057129
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.045949697494507
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.8727545738220213
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.219052791595459
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,13.397908210754396
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,1.9475336074829104
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.7745747566223145
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2.160031318664551
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,2.509041309356689
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,15.38668179512024
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2.03434157371521
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,2.14847993850708
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,21.64134240150452
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,14.944623470306396
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,1.9475319385528564
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.3786556720733643
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,2.1322083473205566
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,2.0859904289245605
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.5530552864074707
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,2.2912468910217285
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,2.045814752578736
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15.958449602127075
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,2.076570987701416
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,2.096234083175659
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,13.003448009490969
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1.8088624477386477
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,1.9228429794311523
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4.737338066101074
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,2.218172311782837
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,1.921306848526001
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,17.63520860671997
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,2.813711881637573
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,2.1372501850128174
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.070586681365967
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,15.6620352268219
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,2.155776262283325
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.4035773277282715
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,2.2155630588531494
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,2.217994213104248
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2.2930288314819336
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,1.9226431846618648
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,1.8068666458129885
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,9.701764106750488
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,2.0760366916656494
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,2.0309319496154785
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8.629330396652222
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,15.628550052642822
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,2.1027748584747314
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.131763696670532
