n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.3035147190094
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.1559340953826904
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.622264385223389
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.157501220703125
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.7854561805725098
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.20780611038208
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5932698249816895
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.386045217514038
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.9213578701019288
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6264972686767578
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,1.221513748168945
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,1.264693021774292
1,0.0412371134020618,0.1176470588235294,0.025,0.0,0.0,0.0,0.0,0.0,0.0,12,7.954673528671265
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.7320122718811035
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.3322761058807373
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.1526846885681152
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,2.3762567043304443
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,1.1542770862579346
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.212723255157471
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.126387119293213
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.1350255012512207
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.7397890090942383
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,1.0594913959503174
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,1.1757915019989014
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7.697367668151855
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,1.6214001178741455
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.3214888572692871
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.9129362106323242
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,1.5251758098602295
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,2.167141914367676
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.5942158699035645
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,2.11440658569336
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,1.4801089763641355
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7.712399482727051
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.3666307926177978
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.36968994140625
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.988058090209961
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.4119102954864502
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1.7574563026428225
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.1107194423675537
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.493098497390747
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.165872573852539
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,8.080004692077637
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,1.1278424263000488
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,1.2426676750183103
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,8.61862301826477
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,1.3245859146118164
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.3562180995941162
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.4714057445526123
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.7806375026702881
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.1614019870758056
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.3717002868652344
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,1.0399818420410156
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.1861052513122558
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.7974162101745603
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,2.175566434860229
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,1.0605475902557373
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,7.97104549407959
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,1.6944317817687988
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,2.071748733520508
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,8.019493341445923
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.8900079727172852
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,1.238701581954956
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2.7000620365142822
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.6861848831176758
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,0.4399380683898926
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3.930613040924072
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,1.2920217514038086
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,0.2342195510864257
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.390636205673218
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.7441127300262451
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,1.1499664783477783
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5872068405151367
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,1.6219794750213623
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,0.982123613357544
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.7074456214904785
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,2.020925045013428
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,2.1049375534057617
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1.9226889610290527
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,3.366339921951294
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32,2.051067590713501
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1.641364574432373
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33,0.5608723163604736
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33,1.2286899089813232
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.2234971523284912
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,1.7217357158660889
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34,1.802462339401245
