n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.230936050415039
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.3410162925720215
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1.2490050792694092
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0.1428561210632324
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,0.1726508140563964
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,10,0.3131818771362304
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,0.3187704086303711
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,11,0.1036381721496582
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,0.3436367511749267
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,12,0.4334988594055176
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,0.1647887229919433
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,13,0.3148658275604248
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,0.1339075565338134
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,14,0.1027281284332275
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,1.1759886741638184
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,15,0.136631965637207
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,1.483459711074829
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,16,0.3363599777221679
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,1.2066409587860107
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,17,0.3298094272613525
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18,2.948572397232056
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,18,0.1181206703186035
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,19,1.1859211921691897
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,19,0.1404314041137695
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,0.1288192272186279
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2,0.3069570064544678
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,20,0.1513373851776123
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,20,1.0545456409454346
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,21,1.397507905960083
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,21,0.1278128623962402
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,0.9206249713897704
