n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445.34195280075073
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,56.13843321800232
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,4.216123580932617
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.797461032867432
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,15.478509902954102
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,13.988450288772585
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,574.0379073619843
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,101.48684334754944
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,9.839959621429443
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,133.01453948020935
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,3.898893356323242
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,75.43221831321716
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,22.539017915725708
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,4.579436779022217
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,116.0519425868988
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,119.05814480781557
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,9.985911130905151
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,98.95478224754332
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,34.27784848213196
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,4.305762052536011
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,4.073972702026367
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,91.36919617652892
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,57.24540138244629
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,6.143338203430176
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,190.39752840995789
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,10.69465947151184
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,13.225964069366457
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,18.66083574295044
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,4.054572820663452
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,49.1263165473938
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,527.0839610099792
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,71.160573720932
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,4.662020921707153
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,15.465759038925173
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,58.9343101978302
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,4.808938503265381
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,614.5570662021637
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,19.043367385864254
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,32.449830770492554
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4.990856170654297
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,3.9326331615448
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,122.57758045196532
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,90.59272074699402
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,3.986879110336304
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,75.86987328529358
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4.986157178878784
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,37.243791341781616
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,4.045543193817139
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,19.312618255615234
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,4.492387294769287
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,30.022070169448853
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,12.346889019012451
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,30.30200481414795
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,4.4217493534088135
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,607.5024592876434
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,11.557100772857666
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,4.392317533493042
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,546.5056779384613
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,91.9507179260254
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,4.280357599258423
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,118.6388988494873
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,10.412297010421751
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,62.17551279067993
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,65.9533839225769
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,78.10468077659607
