n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.1798913478851318
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.1637413501739502
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.2555909156799316
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.1420345306396484
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.1606314182281494
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.144526720046997
1,0.0,0.0,0.0,0,0,0,0,0,0,14,0.4758894443511963
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.1461319923400879
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.1484873294830322
1,1.0,1.0,1.0,0,0,0,0,0,0,17,0.1462824344635009
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.1218125820159912
1,1.0,1.0,1.0,0,0,0,0,0,0,19,0.13818359375
1,0.0,0.0,0.0,0,0,0,0,0,0,2,0.490877628326416
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.181049108505249
1,1.0,1.0,1.0,0,0,0,0,0,0,21,0.1333382129669189
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.1278383731842041
1,1.0,1.0,1.0,0,0,0,0,0,0,23,0.1640188694000244
1,1.0,1.0,1.0,0,0,0,0,0,0,24,0.1269874572753906
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.1961848735809326
1,1.0,1.0,1.0,0,0,0,0,0,0,26,0.1527602672576904
1,1.0,1.0,1.0,0,0,0,0,0,0,27,0.1451761722564697
1,1.0,1.0,1.0,0,0,0,0,0,0,28,0.3456861972808838
1,1.0,1.0,1.0,0,0,0,0,0,0,29,0.1739339828491211
1,0.0,0.0,0.0,0,0,0,0,0,0,3,0.4311823844909668
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.1408288478851318
1,1.0,1.0,1.0,0,0,0,0,0,0,31,0.129779577255249
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.1470899581909179
1,1.0,1.0,1.0,0,0,0,0,0,0,33,0.1314625740051269
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.1273646354675293
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.1666433811187744
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.1253044605255127
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.1499125957489013
1,0.0,0.0,0.0,0,0,0,0,0,0,38,0.5439815521240234
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.1316308975219726
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.1381547451019287
1,0.0,0.0,0.0,0,0,0,0,0,0,40,0.3081479072570801
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.1828141212463379
1,1.0,1.0,1.0,0,0,0,0,0,0,42,0.1184206008911132
1,1.0,1.0,1.0,0,0,0,0,0,0,43,0.1379714012145996
1,1.0,1.0,1.0,0,0,0,0,0,0,44,0.134103775024414
1,0.0,0.0,0.0,0,0,0,0,0,0,45,0.3752117156982422
1,0.0,0.0,0.0,0,0,0,0,0,0,46,0.4295220375061035
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.1500051021575927
1,1.0,1.0,1.0,0,0,0,0,0,0,48,0.1691300868988037
1,1.0,1.0,1.0,0,0,0,0,0,0,49,0.1236896514892578
