n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,441.7594435214996
2,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,0,127.05123257637024
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,0,67.19827127456665
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.00524830818176
2,0.0,0.0,0.0,0.2162162162162162,0.125,0.8,0.0,0.0,0.0,1,88.03681802749634
3,0.0,0.0,0.0,0.1777777777777778,0.1,0.8,0.2222222222222222,0.125,1.0,1,83.73184967041016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,118.35011315345764
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,91.06706142425536
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,10,62.40307950973511
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,518.4070036411285
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,188.1169922351837
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2068965517241379,0.125,0.6,11,116.39894437789916
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,510.3227071762085
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,206.5747117996216
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,12,132.63416695594788
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,516.1687862873077
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,13,208.66683745384216
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,13,117.72650742530824
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,501.7673704624176
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,14,216.88809776306152
3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,14,84.6030011177063
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,417.70637607574463
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,136.14786577224731
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,15,74.28369784355164
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,257.90238881111145
2,0.0,0.0,0.0,0.1666666666666666,0.1,0.5,0.0,0.0,0.0,16,205.35857224464417
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.5,16,200.74792504310608
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,239.80002665519717
2,0.0,0.0,0.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,17,91.2409462928772
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,17,101.90640354156494
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,490.5316367149353
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,148.28112196922302
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,18,134.09430599212646
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,434.0328435897827
2,0.0,0.0,0.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,19,119.85769891738892
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2758620689655172,0.1666666666666666,0.8,19,104.67235684394836
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150.45883631706238
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,2,124.312153339386
3,0.0,0.0,0.0,0.0,0.0,0.0,0.1714285714285714,0.1,0.6,2,93.83085012435912
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,241.48795986175537
2,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,20,191.56757044792172
3,0.0,0.0,0.0,0.1666666666666666,0.1,0.5,0.1666666666666666,0.1,0.5,20,191.49477863311768
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,140.64247632026672
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,21,115.83656144142152
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,21,78.2679796218872
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,468.1010000705719
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,22,227.0581510066986
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,22,134.2446882724762
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,78.23202180862427
2,0.0,0.0,0.0,0.1739130434782609,0.1,0.6666666666666666,0.0,0.0,0.0,23,82.06904172897339
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2758620689655172,0.1666666666666666,0.8,23,63.71717405319214
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,484.5473253726959
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,24,166.27930903434753
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,24,92.6598482131958
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,127.67314434051514
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,25,103.92181277275084
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,25,64.3884162902832
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,416.143394947052
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,164.71904182434082
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,26,84.26528739929199
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,525.8201582431793
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,232.92575788497925
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,27,139.48089146614075
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,330.3924210071564
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,161.96050143241882
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,28,80.95715403556824
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,250.1302559375763
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,29,137.46010613441467
3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,29,82.5060646533966
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,206.75896286964417
2,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,3,61.09751582145691
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,3,58.02412509918213
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,439.5434191226959
2,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,30,225.40374064445496
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,30,124.2180597782135
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,578.6072652339935
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,187.5578739643097
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,31,82.81960463523865
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,307.9079086780548
2,0.0,0.0,0.0,0.2162162162162162,0.125,0.8,0.0,0.0,0.0,32,200.2820930480957
3,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,32,123.43990802764893
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,277.7954671382904
2,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,33,62.49024963378906
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923076,0.2,0.6666666666666666,33,62.20502471923828
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,157.91743922233582
2,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0,0.0,34,140.80007815361023
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363636,0.25,0.6666666666666666,34,71.85544443130493
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,353.5032892227173
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,72.69857168197632
3,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.1,0.3333333333333333,35,52.91110181808472
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,543.420108795166
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,203.79313445091248
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,36,110.56759691238403
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,509.187732219696
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,249.70549631118772
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.5,37,141.37702107429504
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,358.94424772262573
2,0.0,0.0,0.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,38,138.42037534713745
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,38,92.96657538414
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,459.56107234954834
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,111.9333827495575
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1666666666666666,1.0,39,120.51748943328856
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,267.5538444519043
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,145.03592944145203
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2068965517241379,0.125,0.6,4,101.64400267601012
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,412.0855641365051
