n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5148601531982422
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.1472725868225097
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.1220118999481201
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.505061149597168
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.1619472503662109
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.1112565994262695
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1360094547271728
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.2969708442687988
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.1313929557800293
1,0.0666666666666666,0.1666666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5108044147491455
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.1096425056457519
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.1121096611022949
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.1550819873809814
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.1848020553588867
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.1251897811889648
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.1390941143035888
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.1913433074951172
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.1514086723327636
1,0.0909090909090909,0.1666666666666666,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,14,0.5055286884307861
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.1168794631958007
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.1660404205322265
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.4869046211242676
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.1202733516693115
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.1595101356506347
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.1509320735931396
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.2260253429412841
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.1307857036590576
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.5422933101654053
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.1378552913665771
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.2104954719543457
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.3635458946228027
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.1163382530212402
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.1247138977050781
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.4270262718200683
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,0.2991936206817627
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.1397509574890136
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4886717796325683
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,0.1996033191680908
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.1123569011688232
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.470672607421875
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,0.2525453567504883
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,0.1990232467651367
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.533344030380249
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,0.1372809410095214
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,0.1965830326080322
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.3821873664855957
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.1321825981140136
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,0.1207916736602783
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.2733998298645019
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,0.2987072467803955
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,0.1302556991577148
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.2973554134368896
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,0.1332628726959228
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.1384463310241699
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.513397216796875
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,0.1245605945587158
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,0.117645263671875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.5095748901367188
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,0.1423811912536621
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,0.1415071487426757
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.5499789714813232
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27,0.2204706668853759
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27,0.1201691627502441
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.2249629497528076
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28,0.2638096809387207
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28,0.1465132236480713
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.1570179462432861
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29,0.2624423503875732
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29,0.190861701965332
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5282132625579834
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0.128908634185791
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,0.1452529430389404
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.4657349586486816
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,30,0.1253299713134765
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30,0.1326303482055664
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.4791989326477051
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31,0.1183223724365234
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,0.122333288192749
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.5674386024475098
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32,0.2260723114013672
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32,0.1354627609252929
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.2051653861999511
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33,0.2600302696228027
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33,0.114403486251831
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.481858491897583
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34,0.2520632743835449
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34,0.133596658706665
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.5045242309570312
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35,0.1931750774383545
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35,0.1116492748260498
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.2967119216918945
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36,0.2494518756866455
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36,0.1389663219451904
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.501201868057251
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,37,0.3154337406158447
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,37,0.1129119396209716
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.4758162498474121
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38,0.15252685546875
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38,0.1065676212310791
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.4978530406951904
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39,0.2162225246429443
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39,0.1320717334747314
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2454581260681152
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.3887062072753906
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,0.1170942783355712
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.4886887073516845
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40,0.2196724414825439
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40,0.1156930923461914
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.3835036754608154
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,41,0.1370818614959716
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41,0.1307313442230224
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.4747755527496338
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,42,0.1982595920562744
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,42,0.1188249588012695
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0.214717149734497
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43,0.1716561317443847
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43,0.1440002918243408
1,0.037037037037037,0.1666666666666666,0.0208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,44,0.5978713035583496
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,44,0.2086818218231201
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,44,0.1572349071502685
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.1781592369079589
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,45,0.1223526000976562
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45,0.1249392032623291
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.4204065799713135
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,46,0.185417890548706
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,46,0.1328094005584716
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.135416030883789
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,47,0.1055188179016113
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,47,0.1072044372558593
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.2596521377563476
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,48,0.2245707511901855
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,48,0.2147631645202636
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0.4478745460510254
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,49,0.2191548347473144
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,49,0.1212797164916992
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.3013978004455566
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,0.156130313873291
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,0.1745357513427734
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.5104076862335205
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,50,0.3455562591552734
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50,0.1268136501312255
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.4797604084014892
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,51,0.2238085269927978
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51,0.124577522277832
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.4780831336975097
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52,0.3435316085815429
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52,0.1230189800262451
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.3128256797790527
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,53,0.1851646900177002
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53,0.1127822399139404
1,0.1111111111111111,0.5,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,54,0.5411841869354248
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,54,0.1237235069274902
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54,0.1204345226287841
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.2108547687530517
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,55,0.2546725273132324
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55,0.1343264579772949
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0.4728598594665527
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,56,0.2136244773864746
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56,0.1639289855957031
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.4528353214263916
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,57,0.1360194683074951
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,57,0.1637043952941894
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0.532930850982666
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,58,0.1336252689361572
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,58,0.134861946105957
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.218400239944458
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,59,0.3382019996643066
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,59,0.1258492469787597
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.1200287342071533
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6,0.3326342105865478
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6,0.1280944347381591
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0.5227859020233154
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,60,0.2208845615386963
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,60,0.2006404399871826
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.5216653347015381
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,61,0.1459507942199707
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,0.1176264286041259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0.5138964653015137
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,62,0.2126572132110595
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,62,0.1963198184967041
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0.3261997699737549
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,63,0.1669025421142578
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,63,0.1587188243865966
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.1414411067962646
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64,0.3012259006500244
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,64,0.1805505752563476
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0.1658623218536377
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,65,0.2797431945800781
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,65,0.1295809745788574
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.5411975383758545
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,66,0.1275734901428222
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,66,0.1899373531341552
