n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.46224308013916
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.3173573017120361
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.3532207012176513
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3790071010589599
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.1142864227294921
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.1532464027404785
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1479883193969726
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.1531352996826172
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.1607167720794677
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.109666109085083
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.1988105773925781
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.1675894260406494
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.4146173000335693
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.2960429191589355
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.2164781093597412
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.364917993545532
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.443596601486206
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.281254768371582
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1.2539236545562744
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.3274984359741211
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.1889111995697021
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.3752148151397705
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.2479374408721923
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.1816720962524414
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.966399908065796
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.4939970970153808
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,0.3831830024719238
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.143883466720581
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,0.2214264869689941
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,0.6201629638671875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.233905553817749
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,0.6256101131439209
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,0.1901423931121826
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.1514523029327397
