n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.032258064516129,0.1111111111111111,0.0188679245283018,0.0,0.0,0.0,0,0,0,0,8.991330623626709
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,1.6140131950378418
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,2.9444260597229004
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1.707404375076294
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,9.676466941833496
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,10,1.6846706867218018
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,7.66253137588501
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,11,1.9829792976379397
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,0.4534306526184082
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,12,0.8582091331481934
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,0.4459493160247803
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,13,5.149637699127197
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,3.8955328464508057
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,14,1.5394799709320068
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,9.548680782318115
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,15,1.268152952194214
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,1.2559216022491455
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,16,0.6611313819885254
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,1.4425990581512451
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,17,0.5663025379180908
1,0.042042042042042,0.1944444444444444,0.0235690235690235,0.0,0.0,0.0,0,0,0,18,10.95120334625244
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,18,1.736915111541748
1,0.0197044334975369,0.1025641025641025,0.0108991825613079,0.0,0.0,0.0,0,0,0,19,9.410388946533203
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,19,1.991536855697632
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,4.953717947006226
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,2,0.6240377426147461
1,0.149171270718232,0.3970588235294117,0.0918367346938775,0.0,0.0,0.0,0,0,0,20,9.27077865600586
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,20,1.7633519172668457
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,21,0.4206993579864502
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,21,0.7425112724304199
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,1.2652413845062256
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,22,1.6235339641571045
1,0.0057971014492753,0.0208333333333333,0.0033670033670033,0.0,0.0,0.0,0,0,0,23,11.277044534683228
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,23,6.428349256515503
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,24,3.00734806060791
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,24,1.3656935691833496
1,0.0921052631578947,0.1875,0.0610465116279069,0.0,0.0,0.0,0,0,0,25,14.177186489105225
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,25,4.047422170639038
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,26,1.81135892868042
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,26,0.6608295440673828
1,0.0078431372549019,0.0094339622641509,0.0067114093959731,0.0,0.0,0.0,0,0,0,27,8.811368703842163
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,27,0.4387333393096924
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,28,1.830052137374878
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,28,0.474452257156372
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,29,11.816434383392334
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,29,0.9314310550689696
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,3,10.245564699172974
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,3,1.1598594188690186
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,30,7.795701026916504
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,30,1.7585082054138184
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,31,10.336711168289185
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,31,1.861334562301636
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,8.897266864776611
2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,32,3.4678657054901123
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,33,10.866233348846436
