n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3972234725952148
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.2469866275787353
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.3194031715393066
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3755009174346924
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.2912275791168213
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.2773158550262451
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.6000425815582275
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,0.306337833404541
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.2212140560150146
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13.859036684036257
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,0.3679206371307373
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.2855017185211181
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.2082757949829101
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,0.1384227275848388
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,0.2943124771118164
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.871110200881958
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.1770238876342773
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,0.294245958328247
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8547072410583496
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.1770939826965332
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.221013069152832
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.2357320785522461
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,0.2110171318054199
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.174905776977539
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.2271692752838134
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.2262420654296875
