n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9451391696929927
2,0.0388726919339164,0.0476190476190476,0.0328407224958949,1.0,1.0,1.0,0.0,0.0,0.0,0,2.3304829597473145
3,0.0796680497925311,0.0805369127516778,0.0788177339901477,0.0,0.0,0.0,1.0,1.0,1.0,0,0.5555970668792725
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,108.59973382949828
2,0.0385964912280701,0.0523809523809523,0.0305555555555555,1.0,1.0,1.0,0.0,0.0,0.0,1,2.665472984313965
3,0.0922288642186165,0.1197339246119734,0.075,0.0,0.0,0.0,1.0,1.0,1.0,1,1.1526100635528564
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.928441286087036
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,1.9728670120239256
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0.4032495021820068
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13.34028673171997
2,0.0430622009569377,0.0428571428571428,0.0432692307692307,1.0,1.0,1.0,0.0,0.0,0.0,11,3.7562506198883057
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,0.9112269878387452
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.8405835628509521
2,0.0460992907801418,0.0619047619047619,0.0367231638418079,1.0,1.0,1.0,0.0,0.0,0.0,12,1.418821096420288
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,1.1224329471588137
1,0.0227014755959137,0.1075268817204301,0.0126903553299492,0.0,0.0,0.0,0.0,0.0,0.0,13,111.28394722938538
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0.4182791709899902
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,1.319995403289795
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,90.25028896331789
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,1.0003957748413086
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,0.4965133666992187
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.0312957763671875
2,0.0623946037099494,0.0880952380952381,0.0483028720626631,1.0,1.0,1.0,0.0,0.0,0.0,15,1.3170044422149658
3,0.0,0.0,0.0,0.0634920634920634,0.0651629072681704,0.0619047619047619,1.0,1.0,1.0,15,1.3937780857086182
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6.106856346130371
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,0.8010141849517822
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,1.0353574752807615
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6267297267913818
2,0.0558659217877094,0.0747863247863247,0.0445859872611464,1.0,1.0,1.0,0.0,0.0,0.0,17,0.8601162433624268
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,1.538980484008789
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2.836207389831543
2,0.0129589632829373,0.0142857142857142,0.0118577075098814,1.0,1.0,1.0,0.0,0.0,0.0,18,2.630707025527954
3,0.0855614973262032,0.0932400932400932,0.0790513833992094,0.0,0.0,0.0,1.0,1.0,1.0,18,0.3305203914642334
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5.328851699829102
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,2.4121618270874023
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,0.8090229034423828
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.3399107456207275
2,0.0455896927651139,0.0508849557522123,0.0412926391382405,1.0,1.0,1.0,0.0,0.0,0.0,2,0.737966775894165
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1.1091885566711426
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7.163462162017822
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,1.6990163326263428
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,1.1747913360595703
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.6432530879974365
2,0.0579964850615114,0.0705128205128205,0.0492537313432835,1.0,1.0,1.0,0.0,0.0,0.0,21,1.953826665878296
3,0.0683610867659947,0.0673575129533678,0.0693950177935943,0.0,0.0,0.0,1.0,1.0,1.0,21,0.6916959285736084
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,106.16309070587158
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,0.5752856731414795
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,2.3956074714660645
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,17.432358503341675
2,0.0415841584158415,0.05,0.035593220338983,1.0,1.0,1.0,0.0,0.0,0.0,23,1.2781147956848145
3,0.0741989881956155,0.0738255033557047,0.0745762711864406,0.0,0.0,0.0,1.0,1.0,1.0,23,1.2863883972167969
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.9502136707305908
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,1.161288499832153
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,0.6680090427398682
