n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,0.1364669799804687
1,1.0,1.0,1.0,0,0,0,0,0,0,1,0.1616702079772949
1,1.0,1.0,1.0,0,0,0,0,0,0,10,0.3264410495758056
1,1.0,1.0,1.0,0,0,0,0,0,0,11,0.1132814884185791
1,1.0,1.0,1.0,0,0,0,0,0,0,12,0.3775365352630615
1,0.0,0.0,0.0,0,0,0,0,0,0,13,0.4142665863037109
1,1.0,1.0,1.0,0,0,0,0,0,0,14,0.2492451667785644
1,1.0,1.0,1.0,0,0,0,0,0,0,15,0.129157543182373
1,1.0,1.0,1.0,0,0,0,0,0,0,16,0.121438980102539
1,0.2857142857142857,0.3333333333333333,0.25,0,0,0,0,0,0,17,0.3867049217224121
1,1.0,1.0,1.0,0,0,0,0,0,0,18,0.3128297328948974
1,0.0,0.0,0.0,0,0,0,0,0,0,19,0.5707149505615234
1,1.0,1.0,1.0,0,0,0,0,0,0,2,0.1159465312957763
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.1631572246551513
1,0.0,0.0,0.0,0,0,0,0,0,0,21,0.4288983345031738
1,1.0,1.0,1.0,0,0,0,0,0,0,22,0.1841232776641845
1,0.0,0.0,0.0,0,0,0,0,0,0,23,0.3716726303100586
1,0.0,0.0,0.0,0,0,0,0,0,0,24,0.2767150402069092
1,1.0,1.0,1.0,0,0,0,0,0,0,25,0.1292405128479004
1,0.0,0.0,0.0,0,0,0,0,0,0,26,0.3704705238342285
1,0.0,0.0,0.0,0,0,0,0,0,0,27,0.2065949440002441
1,0.0,0.0,0.0,0,0,0,0,0,0,28,0.3169159889221191
1,0.0,0.0,0.0,0,0,0,0,0,0,29,0.488969087600708
1,1.0,1.0,1.0,0,0,0,0,0,0,3,0.2153043746948242
1,0.0,0.0,0.0,0,0,0,0,0,0,30,0.4504730701446533
1,0.0,0.0,0.0,0,0,0,0,0,0,31,0.389411449432373
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.1159780025482177
1,0.0,0.0,0.0,0,0,0,0,0,0,33,0.1546101570129394
1,1.0,1.0,1.0,0,0,0,0,0,0,34,0.3196907043457031
1,1.0,1.0,1.0,0,0,0,0,0,0,35,0.1050553321838378
1,1.0,1.0,1.0,0,0,0,0,0,0,36,0.2035176753997802
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.1977193355560302
1,1.0,1.0,1.0,0,0,0,0,0,0,38,0.1330072879791259
1,1.0,1.0,1.0,0,0,0,0,0,0,39,0.1364328861236572
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.1389386653900146
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.1802647113800048
1,1.0,1.0,1.0,0,0,0,0,0,0,41,0.1831657886505127
1,1.0,1.0,1.0,0,0,0,0,0,0,42,0.1195209026336669
1,1.0,1.0,1.0,0,0,0,0,0,0,43,0.2530689239501953
1,0.0,0.0,0.0,0,0,0,0,0,0,44,0.3614757061004638
1,0.0851063829787234,0.125,0.064516129032258,0,0,0,0,0,0,45,0.5072886943817139
1,0.0,0.0,0.0,0,0,0,0,0,0,46,0.3676190376281738
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.1423158645629882
1,1.0,1.0,1.0,0,0,0,0,0,0,48,0.1155457496643066
1,1.0,1.0,1.0,0,0,0,0,0,0,49,0.1270174980163574
1,1.0,1.0,1.0,0,0,0,0,0,0,5,0.2063302993774414
1,0.0,0.0,0.0,0,0,0,0,0,0,50,0.2290205955505371
1,1.0,1.0,1.0,0,0,0,0,0,0,51,0.1092619895935058
1,1.0,1.0,1.0,0,0,0,0,0,0,52,0.1655294895172119
1,0.1702127659574468,0.25,0.1290322580645161,0,0,0,0,0,0,53,0.5068149566650391
1,1.0,1.0,1.0,0,0,0,0,0,0,54,0.1778428554534912
1,1.0,1.0,1.0,0,0,0,0,0,0,55,0.1180300712585449
1,1.0,1.0,1.0,0,0,0,0,0,0,56,0.1075606346130371
1,1.0,1.0,1.0,0,0,0,0,0,0,57,0.2650630474090576
1,0.0,0.0,0.0,0,0,0,0,0,0,58,0.3837919235229492
1,1.0,1.0,1.0,0,0,0,0,0,0,59,0.1439418792724609
1,0.0,0.0,0.0,0,0,0,0,0,0,6,0.5367660522460938
1,1.0,1.0,1.0,0,0,0,0,0,0,60,0.2480154037475586
1,1.0,1.0,1.0,0,0,0,0,0,0,61,0.3385181427001953
1,1.0,1.0,1.0,0,0,0,0,0,0,62,0.1873259544372558
1,1.0,1.0,1.0,0,0,0,0,0,0,63,0.1526992321014404
1,0.0,0.0,0.0,0,0,0,0,0,0,64,0.2826149463653564
1,0.0,0.0,0.0,0,0,0,0,0,0,65,0.3066563606262207
1,1.0,1.0,1.0,0,0,0,0,0,0,66,0.1410388946533203
1,1.0,1.0,1.0,0,0,0,0,0,0,67,0.3458938598632812
1,1.0,1.0,1.0,0,0,0,0,0,0,68,0.3100600242614746
1,1.0,1.0,1.0,0,0,0,0,0,0,69,0.1219148635864257
1,1.0,1.0,1.0,0,0,0,0,0,0,7,0.1424427032470703
1,1.0,1.0,1.0,0,0,0,0,0,0,70,0.1314201354980468
1,0.0,0.0,0.0,0,0,0,0,0,0,71,0.3463690280914306
1,1.0,1.0,1.0,0,0,0,0,0,0,72,0.1375329494476318
1,1.0,1.0,1.0,0,0,0,0,0,0,73,0.3310668468475342
1,0.0,0.0,0.0,0,0,0,0,0,0,74,0.4441561698913574
1,0.0,0.0,0.0,0,0,0,0,0,0,75,0.2932014465332031
1,1.0,1.0,1.0,0,0,0,0,0,0,76,0.121950626373291
1,1.0,1.0,1.0,0,0,0,0,0,0,77,0.1941571235656738
1,0.0,0.0,0.0,0,0,0,0,0,0,78,0.2861151695251465
1,1.0,1.0,1.0,0,0,0,0,0,0,79,0.2752594947814941
1,1.0,1.0,1.0,0,0,0,0,0,0,8,0.1906905174255371
1,1.0,1.0,1.0,0,0,0,0,0,0,80,0.1472954750061035
1,0.0,0.0,0.0,0,0,0,0,0,0,81,0.3156130313873291
1,0.0975609756097561,0.2,0.064516129032258,0,0,0,0,0,0,82,0.3765828609466553
1,1.0,1.0,1.0,0,0,0,0,0,0,83,0.1973838806152343
1,0.0499999999999999,0.1111111111111111,0.032258064516129,0,0,0,0,0,0,84,0.3083705902099609
1,1.0,1.0,1.0,0,0,0,0,0,0,85,0.1858875751495361
1,1.0,1.0,1.0,0,0,0,0,0,0,86,0.1845705509185791
1,1.0,1.0,1.0,0,0,0,0,0,0,87,0.106203556060791
1,1.0,1.0,1.0,0,0,0,0,0,0,88,0.1981639862060547
1,1.0,1.0,1.0,0,0,0,0,0,0,89,0.3702180385589599
1,0.0833333333333333,0.125,0.0625,0,0,0,0,0,0,9,0.3516469001770019
