n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,72.8301842212677
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,52.56042265892029
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,30.94442248344421
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,194.65123963356015
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,45.43714451789856
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,28.04687190055847
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,63.95855140686035
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,62.43733882904053
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,18.822993993759155
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,80.20148468017578
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,60.07889580726624
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,22.96185064315796
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,189.1679027080536
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,28.780381679534912
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12,35.40247678756714
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,143.57058119773865
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13,65.72102236747742
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13,18.28409147262573
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,81.78689527511597
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,30.49681615829468
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,20.69923973083496
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,64.2198646068573
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15,34.06263065338135
3,0.0,0.0,0.0,0.5938461538461538,0.4426605504587156,0.9018691588785048,0.6707317073170732,0.5045871559633027,1.0,15,38.59678077697754
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,227.52169847488403
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16,40.663286447525024
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16,31.2224395275116
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,207.44120144844052
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,17,69.2001736164093
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,32.56352472305298
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43.49096870422363
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18,28.068249464035038
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,32.28448247909546
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,117.72650146484376
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,29.37745451927185
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19,28.736937522888184
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,203.01680159568787
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,36.76929211616516
3,0.0,0.0,0.0,0.7381974248927039,0.5850340136054422,1.0,0.5974842767295597,0.4567307692307692,0.8636363636363636,2,33.66030406951904
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,63.67512726783752
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20,28.74220442771912
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20,20.71258544921875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,204.10168194770813
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21,68.84054374694824
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21,31.01490592956543
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,104.38524293899536
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22,59.78526949882507
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,48.25914621353149
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,25.47836709022522
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23,49.37604522705078
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,20.135226011276245
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,191.98721933364868
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24,51.26199960708618
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,28.94355535507202
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,142.12592005729675
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25,48.11288332939148
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,47.4709894657135
