n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.0849420849420849,0.1549295774647887,0.0585106382978723,0,0,0,0,0,0,0,1.9644148349761963
1,0.0,0.0,0.0,0,0,0,0,0,0,1,2.0633862018585205
1,0.0,0.0,0.0,0,0,0,0,0,0,10,1.904747486114502
1,0.0,0.0,0.0,0,0,0,0,0,0,11,1.8328742980957031
1,0.0,0.0,0.0,0,0,0,0,0,0,12,2.097592353820801
1,1.0,1.0,1.0,0,0,0,0,0,0,13,0.3711729049682617
1,0.0,0.0,0.0,0,0,0,0,0,0,14,1.9258973598480225
1,0.0,0.0,0.0,0,0,0,0,0,0,15,1.915076732635498
1,1.0,1.0,1.0,0,0,0,0,0,0,16,2.0538904666900635
1,1.0,1.0,1.0,0,0,0,0,0,0,17,1.154127597808838
1,0.0,0.0,0.0,0,0,0,0,0,0,18,1.906148195266724
1,0.056338028169014,0.1818181818181818,0.0333333333333333,0,0,0,0,0,0,19,2.05227279663086
1,0.0317460317460317,0.1034482758620689,0.01875,0,0,0,0,0,0,2,2.2313034534454346
1,1.0,1.0,1.0,0,0,0,0,0,0,20,0.5628466606140137
1,0.0,0.0,0.0,0,0,0,0,0,0,21,1.7035844326019287
1,0.0580912863070539,0.1296296296296296,0.0374331550802139,0,0,0,0,0,0,22,1.994224548339844
1,1.0,1.0,1.0,0,0,0,0,0,0,23,1.468353271484375
1,1.0,1.0,1.0,0,0,0,0,0,0,24,1.913454294204712
1,1.0,1.0,1.0,0,0,0,0,0,0,25,1.944554567337036
1,0.0,0.0,0.0,0,0,0,0,0,0,26,1.9328081607818604
1,0.0,0.0,0.0,0,0,0,0,0,0,27,1.8796863555908203
1,0.0952380952380952,0.217391304347826,0.0609756097560975,0,0,0,0,0,0,28,2.1529645919799805
1,0.0,0.0,0.0,0,0,0,0,0,0,29,2.0665314197540283
1,1.0,1.0,1.0,0,0,0,0,0,0,3,1.6975562572479248
1,1.0,1.0,1.0,0,0,0,0,0,0,30,0.5452291965484619
1,0.0434782608695652,0.1666666666666666,0.025,0,0,0,0,0,0,31,1.9282774925231931
1,1.0,1.0,1.0,0,0,0,0,0,0,32,0.9171125888824464
1,0.0,0.0,0.0,0,0,0,0,0,0,33,1.9496991634368896
1,0.0,0.0,0.0,0,0,0,0,0,0,34,1.83589768409729
1,0.0,0.0,0.0,0,0,0,0,0,0,35,2.0220155715942383
1,0.0096618357487922,0.05,0.0053475935828877,0,0,0,0,0,0,36,1.923367977142334
1,1.0,1.0,1.0,0,0,0,0,0,0,37,0.9920272827148438
1,0.0,0.0,0.0,0,0,0,0,0,0,38,2.3563549518585205
1,0.1324041811846689,0.1919191919191919,0.101063829787234,0,0,0,0,0,0,39,1.968787431716919
1,1.0,1.0,1.0,0,0,0,0,0,0,4,0.4763200283050537
1,1.0,1.0,1.0,0,0,0,0,0,0,40,0.8937790393829346
1,0.0,0.0,0.0,0,0,0,0,0,0,41,1.893615484237671
1,1.0,1.0,1.0,0,0,0,0,0,0,42,2.2859058380126958
1,0.0,0.0,0.0,0,0,0,0,0,0,43,1.951544523239136
1,0.0,0.0,0.0,0,0,0,0,0,0,44,2.0006263256073
1,1.0,1.0,1.0,0,0,0,0,0,0,45,1.4885718822479248
1,0.0421940928270042,0.0909090909090909,0.0274725274725274,0,0,0,0,0,0,46,2.453763246536255
1,1.0,1.0,1.0,0,0,0,0,0,0,47,0.4734716415405273
1,0.0,0.0,0.0,0,0,0,0,0,0,48,2.0904462337493896
1,0.0353982300884955,0.0727272727272727,0.023391812865497,0,0,0,0,0,0,49,2.29031753540039
1,1.0,1.0,1.0,0,0,0,0,0,0,5,1.6761953830718994
1,0.0,0.0,0.0,0,0,0,0,0,0,50,1.7138144969940186
1,1.0,1.0,1.0,0,0,0,0,0,0,51,1.6986596584320068
1,1.0,1.0,1.0,0,0,0,0,0,0,52,2.059569358825684
1,1.0,1.0,1.0,0,0,0,0,0,0,53,1.0526697635650637
1,0.0,0.0,0.0,0,0,0,0,0,0,54,2.033229112625122
1,0.0920502092050209,0.1833333333333333,0.0614525139664804,0,0,0,0,0,0,55,2.1073672771453857
1,0.0,0.0,0.0,0,0,0,0,0,0,56,1.86238694190979
1,0.0,0.0,0.0,0,0,0,0,0,0,57,1.6854891777038574
1,0.0331491712707182,0.1764705882352941,0.0182926829268292,0,0,0,0,0,0,58,2.034959316253662
1,1.0,1.0,1.0,0,0,0,0,0,0,59,0.9791786670684814
1,0.0,0.0,0.0,0,0,0,0,0,0,6,1.939544916152954
1,0.0,0.0,0.0,0,0,0,0,0,0,60,2.139976501464844
1,0.0,0.0,0.0,0,0,0,0,0,0,61,1.984250783920288
1,1.0,1.0,1.0,0,0,0,0,0,0,62,2.119736194610596
1,0.0,0.0,0.0,0,0,0,0,0,0,63,2.0361015796661377
1,0.0,0.0,0.0,0,0,0,0,0,0,64,1.9238147735595703
1,0.0217391304347826,0.1,0.0121951219512195,0,0,0,0,0,0,65,1.940672874450684
1,1.0,1.0,1.0,0,0,0,0,0,0,66,0.912541389465332
1,0.0,0.0,0.0,0,0,0,0,0,0,67,2.0231761932373047
1,0.0,0.0,0.0,0,0,0,0,0,0,68,1.6657652854919434
1,1.0,1.0,1.0,0,0,0,0,0,0,69,2.1949641704559326
1,0.0,0.0,0.0,0,0,0,0,0,0,7,1.6259336471557615
1,1.0,1.0,1.0,0,0,0,0,0,0,70,0.8415517807006836
1,1.0,1.0,1.0,0,0,0,0,0,0,71,1.1176514625549316
1,0.0096153846153846,0.0344827586206896,0.0055865921787709,0,0,0,0,0,0,72,1.903763771057129
1,0.0,0.0,0.0,0,0,0,0,0,0,73,1.9151158332824707
1,0.0,0.0,0.0,0,0,0,0,0,0,74,1.78511381149292
1,0.0,0.0,0.0,0,0,0,0,0,0,75,2.0249688625335693
1,0.0,0.0,0.0,0,0,0,0,0,0,76,1.9646387100219729
