sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,2635,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Ldg >= 1.0  AND  0.0 <= bs_32x16 < 1.0  AND  LocalMemory >= 1.0,2,0.6036036036036037,1.0,0.432258064516129,0
uniform,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Linear2D >= 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  0.0 <= bs_64x8 < 1.0  AND  0.0 <= bs_256x2 < 1.0,1,0.4556320173850054,1.0,0.2950281425891182,0
bi_modal_split,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory >= 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  padding >= 320.0  AND  0.0 <= bs_256x1 < 1.0,0,0.5550660792951542,1.0,0.3841463414634146,0
tri_modal_split,1449,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,0.0 <= bs_128x4 < 1.0  AND  pixelPerThread < 2.0  AND  LocalMemory >= 1.0  AND  Linear1D >= 1.0,0,0.3801006148686418,1.0,0.2346445824706694,0
power_law,2635,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Linear1D >= 1.0  AND  0.0 <= bs_32x4 < 1.0,4,0.9735099337748344,1.0,0.9483870967741936,0
normal,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0  AND  128.0 <= padding < 256.0  AND  0.0 <= bs_256x1 < 1.0,1,0.3603603603603603,1.0,0.2197802197802197,10
uniform,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread < 2.0  AND  0.0 <= OpenCL < 1.0  AND  TextureMemory >= 1.0  AND  0.0 <= bs_32x16 < 1.0,3,0.975609756097561,1.0,0.9523809523809524,10
bi_modal_split,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread < 2.0  AND  Linear2D >= 1.0,2,0.4927536231884058,1.0,0.3269230769230769,10
tri_modal_split,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0  AND  0.0 <= bs_32x4 < 1.0  AND  128.0 <= padding < 416.0,0,0.6617647058823529,1.0,0.4945054945054945,10
power_law,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread < 2.0  AND  0.0 <= OpenCL < 1.0  AND  TextureMemory >= 1.0  AND  0.0 <= bs_64x8 < 1.0,2,0.975609756097561,1.0,0.9523809523809524,10
normal,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,0.0 <= OpenCL < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  0.0 <= bs_128x2 < 1.0,3,0.8409703504043126,0.7536231884057971,0.951219512195122,11
uniform,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,0.0 <= bs_128x2 < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  TextureMemory >= 1.0  AND  32.0 <= padding < 352.0,0,0.7086614173228347,1.0,0.5487804878048781,11
bi_modal_split,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,2.0 <= pixelPerThread < 3.0  AND  TextureMemory >= 1.0  AND  0.0 <= OpenCL < 1.0  AND  0.0 <= bs_256x2 < 1.0,2,0.975,1.0,0.951219512195122,11
tri_modal_split,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,2.0 <= pixelPerThread < 3.0  AND  TextureMemory >= 1.0  AND  32.0 <= padding < 320.0  AND  0.0 <= Linear2D < 1.0,2,0.5142857142857142,1.0,0.3461538461538461,11
power_law,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,0.0 <= bs_512x1 < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  TextureMemory >= 1.0  AND  0.0 <= OpenCL < 1.0,1,0.975,1.0,0.951219512195122,11
normal,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D >= 1.0  AND  128.0 <= padding < 448.0  AND  0.0 <= bs_32x8 < 1.0  AND  0.0 <= bs_32x4 < 1.0,3,0.6906832298136646,1.0,0.5275142314990512,12
uniform,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D >= 1.0  AND  0.0 <= bs_64x4 < 1.0  AND  0.0 <= bs_64x1 < 1.0  AND  0.0 <= bs_64x8 < 1.0,4,0.916083916083916,1.0,0.8451612903225807,12
bi_modal_split,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D >= 1.0  AND  0.0 <= bs_32x8 < 1.0  AND  LocalMemory >= 1.0  AND  0.0 <= bs_64x2 < 1.0,2,0.5779816513761468,1.0,0.4064516129032258,12
