sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  UseAdaptiveGCBoundary >= 1.0  AND  SurvivorRatio >= 23.5  AND  DisableExplicitGC >= 1.0,1.0,0.4444444444444445,1.0,0.2857142857142857,0
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  16.0 <= SurvivorRatio < 28.5  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0,1.0,0.6,1.0,0.4285714285714285,0
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  4.0 <= MinSurvivorRatio < 10.0,1.0,0.6666666666666666,1.0,0.5,0
tri_modal_split,24192,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveGCBoundary >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  0.0 <= UseAdaptiveSizePolicyFootprintGoal < 1.0,0.0,0.6666666666666666,1.0,0.5,0
power_law,24192,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveGCBoundary >= 1.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  DisableExplicitGC >= 1.0,1.0,0.6666666666666666,1.0,0.5,0
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  2.0 <= NewRatio < 32.0,4.0,0.8,1.0,0.6666666666666666,10
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  0.0 <= TenuredGenerationSizeSupplement_90 < 0.5,1.0,0.8,1.0,0.6666666666666666,10
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  DisableExplicitGC >= 1.0  AND  SurvivorRatio < 13.5,1.0,0.6,1.0,0.4285714285714285,10
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  NewRatio < 8.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0,0.0,0.6666666666666666,1.0,0.5,10
power_law,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  0.0 <= UseAdaptiveGCBoundary < 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0,0.0,0.6666666666666666,1.0,0.5,10
normal,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  SurvivorRatio >= 8.5  AND  MinSurvivorRatio < 10.0,4.0,0.5172413793103449,0.5,0.5357142857142857,11
uniform,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveGCBoundary >= 1.0  AND  TenuredGenerationSizeSupplementDecay >= 8.0  AND  UseAdaptiveSizePolicy >= 1.0,0.0,0.6666666666666666,1.0,0.5,11
bi_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC >= 1.0  AND  UseAdaptiveGCBoundary >= 1.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  0.0 <= TenuredGenerationSizeSupplement_70 < 0.5,1.0,0.8,1.0,0.6666666666666666,11
tri_modal_split,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy >= 1.0  AND  UseAdaptiveGCBoundary >= 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  DisableExplicitGC >= 1.0,1.0,0.6666666666666666,1.0,0.5,11
