sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,27000,good = 1 AND AutoAltRef = 1 AND lossless = 1,lossless >= 1.0  AND  AutoAltRef >= 1.0  AND  0.0 <= realtime < 1.0  AND  0.0 <= FrameBoost < 1.0,4.0,0.6666666666666666,1.0,0.5,0
uniform,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,0.0 <= good < 1.0  AND  AutoAltRef >= 1.0  AND  lossless >= 1.0  AND  0.0 <= constrainedQuality < 0.5,1.0,0.8,1.0,0.6666666666666666,0
bi_modal_split,27000,good = 1 AND AutoAltRef = 1 AND lossless = 1,0.0 <= realtime < 1.0  AND  AutoAltRef >= 1.0  AND  lossless >= 1.0  AND  TileColumns < 4.5,1.0,0.8,1.0,0.6666666666666666,0
tri_modal_split,27000,realtime = 1 AND AutoAltRef = 1 AND FrameBoost = 1,AutoAltRef >= 1.0  AND  0.0 <= good < 1.0  AND  FrameBoost >= 1.0  AND  Threads >= 4.0,4.0,0.888888888888889,1.0,0.8,0
power_law,27000,realtime = 1 AND lossless = 1 AND FrameBoost = 1,lossless >= 1.0  AND  FrameBoost >= 1.0  AND  0.0 <= good < 1.0  AND  cpuUsed < 4.0,3.0,0.5714285714285715,1.0,0.4,0
normal,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,0.0 <= good < 1.0  AND  lossless >= 1.0  AND  bitRate < 1500.0  AND  Threads >= 4.0,4.0,0.5614035087719298,0.5,0.64,10
uniform,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,0.0 <= good < 1.0  AND  AutoAltRef >= 1.0  AND  lossless >= 1.0  AND  0.0 <= variance < 1.0,3.0,0.8571428571428571,1.0,0.75,10
bi_modal_split,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,0.0 <= constantBitrate < 1.0  AND  lossless >= 1.0  AND  AutoAltRef >= 1.0  AND  0.0 <= good < 1.0,0.0,0.8,1.0,0.6666666666666666,10
tri_modal_split,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef >= 1.0  AND  lossless >= 1.0  AND  0.0 <= good < 1.0  AND  cpuUsed >= 2.0,3.0,0.888888888888889,1.0,0.8,10
power_law,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef >= 1.0  AND  lossless >= 1.0  AND  0.0 <= constrainedQuality < 0.5  AND  cpuUsed >= 2.0,4.0,0.5161290322580646,0.5,0.5333333333333333,10
