sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,192,onload = 1 AND dpi = 200.0 AND quality = 0.1,onload >= 1.0  AND  200.0 <= dpi < 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,0
uniform,192,validate = 1 AND quality = 0.1 AND indexed = 1.0,0.1 <= quality < 0.9  AND  indexed < 2.0  AND  validate >= 1.0,0.0,1.0,1.0,1.0,0
bi_modal_split,0,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 4.0,,,0.0,0.0,0.0,0
tri_modal_split,192,validate = 1 AND jpg = 1 AND quality = 0.1,validate >= 1.0  AND  jpg >= 1.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,0
power_law,0,png = 1 AND onload = 1 AND quality = 0.1,,,0.0,0.0,0.0,0
normal,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,validate >= 1.0  AND  indexed >= 8.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,10
uniform,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,0.1 <= quality < 0.9  AND  indexed >= 8.0  AND  validate >= 1.0,0.0,1.0,1.0,1.0,10
bi_modal_split,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,validate >= 1.0  AND  indexed >= 8.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,10
tri_modal_split,192,validate = 1 AND quality = 0.1 AND indexed = 8.0,validate >= 1.0  AND  indexed >= 8.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,10
power_law,0,validate = 1 AND quality = 0.1 AND indexed = 8.0,,,0.0,0.0,0.0,10
normal,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,2073600.0 <= resolution < 5184000.0  AND  0.1 <= quality < 0.9  AND  onload >= 1.0,0.0,1.0,1.0,1.0,11
uniform,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,2073600.0 <= resolution < 5184000.0  AND  0.1 <= quality < 0.9  AND  onload >= 1.0,0.0,1.0,1.0,1.0,11
bi_modal_split,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,2073600.0 <= resolution < 5184000.0  AND  0.1 <= quality < 0.9  AND  onload >= 1.0,0.0,1.0,1.0,1.0,11
tri_modal_split,256,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,0.0 <= pdf < 1.0  AND  2073600.0 <= resolution < 5184000.0  AND  onload >= 1.0  AND  0.1 <= quality < 0.9,0.0,0.8571428571428571,1.0,0.75,11
power_law,0,onload = 1 AND resolution = 2073600.0 AND quality = 0.1,,,0.0,0.0,0.0,11
normal,192,validate = 1 AND png = 1 AND quality = 0.1,validate >= 1.0  AND  png >= 1.0,1.0,1.0,1.0,1.0,12
uniform,192,validate = 1 AND png = 1 AND quality = 0.1,validate >= 1.0  AND  png >= 1.0,0.0,1.0,1.0,1.0,12
bi_modal_split,192,validate = 1 AND png = 1 AND quality = 0.1,validate >= 1.0  AND  png >= 1.0,0.0,1.0,1.0,1.0,12
tri_modal_split,192,validate = 1 AND png = 1 AND quality = 0.1,validate >= 1.0  AND  png >= 1.0,1.0,1.0,1.0,1.0,12
power_law,0,validate = 1 AND png = 1 AND quality = 0.1,,,0.0,0.0,0.0,12
normal,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,anyScriptOrigin >= 1.0  AND  2.0 <= indexed < 4.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,13
uniform,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,anyScriptOrigin >= 1.0  AND  2.0 <= indexed < 4.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,13
bi_modal_split,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,anyScriptOrigin >= 1.0  AND  2.0 <= indexed < 4.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,13
tri_modal_split,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,anyScriptOrigin >= 1.0  AND  2.0 <= indexed < 4.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,13
power_law,0,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,,,0.0,0.0,0.0,13
normal,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,onload >= 1.0  AND  dpi >= 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,14
uniform,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,onload >= 1.0  AND  dpi >= 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,14
bi_modal_split,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,dpi >= 400.0  AND  0.1 <= quality < 0.9  AND  onload >= 1.0,0.0,1.0,1.0,1.0,14
tri_modal_split,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,onload >= 1.0  AND  dpi >= 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,14
power_law,0,onload = 1 AND dpi = 400.0 AND quality = 0.1,,,0.0,0.0,0.0,14
normal,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 8.0,anyScriptOrigin >= 1.0  AND  indexed >= 8.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,15
uniform,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 8.0,0.1 <= quality < 0.9  AND  indexed >= 8.0  AND  anyScriptOrigin >= 1.0,0.0,1.0,1.0,1.0,15
bi_modal_split,0,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 8.0,,,0.0,0.0,0.0,15
tri_modal_split,0,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 8.0,,,0.0,0.0,0.0,15
power_law,0,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 8.0,,,0.0,0.0,0.0,15
normal,192,validate = 1 AND dpi = 200.0 AND quality = 0.1,200.0 <= dpi < 400.0  AND  0.1 <= quality < 0.9  AND  validate >= 1.0,0.0,1.0,1.0,1.0,16
uniform,192,validate = 1 AND dpi = 200.0 AND quality = 0.1,validate >= 1.0  AND  200.0 <= dpi < 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,16
bi_modal_split,192,validate = 1 AND dpi = 200.0 AND quality = 0.1,validate >= 1.0  AND  200.0 <= dpi < 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,16
tri_modal_split,192,validate = 1 AND dpi = 200.0 AND quality = 0.1,validate >= 1.0  AND  200.0 <= dpi < 400.0  AND  0.1 <= quality < 0.9,0.0,1.0,1.0,1.0,16
power_law,0,validate = 1 AND dpi = 200.0 AND quality = 0.1,,,0.0,0.0,0.0,16
