sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,949,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1,androidMipmapInsteadOfDrawable >= 1.0  AND  antiAliasing >= 1.0,1.0,1.0,1.0,1.0,0
uniform,949,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1,androidMipmapInsteadOfDrawable >= 1.0  AND  antiAliasing >= 1.0,0.0,1.0,1.0,1.0,0
bi_modal_split,1051,android = 1 AND antiAliasing = 1 AND threads = 90,antiAliasing >= 1.0  AND  threads >= 90.0  AND  android >= 1.0,0.0,1.0,1.0,1.0,0
tri_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android >= 1.0  AND  antiAliasing >= 1.0  AND  skipUpscaling >= 1.0,0.0,1.0,1.0,1.0,0
power_law,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,antiAliasing >= 1.0  AND  androidIncludeLdpiTvdpi >= 1.0,0.0,1.0,1.0,1.0,0
normal,699,android = 1 AND ceil = 1 AND threads = 90,android >= 1.0  AND  ceil >= 1.0  AND  threads >= 90.0  AND  0.0 <= jpeg < 1.0,0.0,0.8081841432225065,1.0,0.6781115879828327,10
uniform,699,android = 1 AND ceil = 1 AND threads = 90,ceil >= 1.0  AND  threads >= 90.0  AND  android >= 1.0,0.0,1.0,1.0,1.0,10
bi_modal_split,0,android = 1 AND ceil = 1 AND threads = 90,,,0.0,0.0,0.0,10
tri_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,android >= 1.0  AND  ceil >= 1.0  AND  threads >= 90.0,0.0,1.0,1.0,1.0,10
power_law,699,android = 1 AND ceil = 1 AND threads = 90,android >= 1.0  AND  ceil >= 1.0  AND  0.0 <= jpeg < 1.0  AND  threads >= 90.0,1.0,0.8081841432225065,1.0,0.6781115879828327,10
normal,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,antiAliasing >= 1.0  AND  skipUpscaling >= 1.0  AND  android >= 1.0,0.0,1.0,1.0,1.0,11
uniform,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,antiAliasing >= 1.0  AND  skipUpscaling >= 1.0  AND  android >= 1.0,0.0,1.0,1.0,1.0,11
bi_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,antiAliasing >= 1.0  AND  skipUpscaling >= 1.0  AND  android >= 1.0,0.0,1.0,1.0,1.0,11
tri_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android >= 1.0  AND  antiAliasing >= 1.0  AND  skipUpscaling >= 1.0,0.0,1.0,1.0,1.0,11
power_law,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,antiAliasing >= 1.0  AND  skipUpscaling >= 1.0  AND  android >= 1.0  AND  ceil >= 1.0,0.0,0.4878048780487805,1.0,0.3225806451612903,11
