sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,214,OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_EVALUATABLE_SUBQUERIES >= 1.0  AND  PAGE_STORE_TRIM >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0,0.0,1.0,1.0,1.0,0
uniform,342,OPTIMIZE_INSERT_FROM_SELECT = 1 AND IGNORE_CATALOGS = 1 AND DROP_RESTRICT = 1,IGNORE_CATALOGS >= 1.0  AND  DROP_RESTRICT >= 1.0  AND  OPTIMIZE_INSERT_FROM_SELECT >= 1.0,0.0,1.0,1.0,1.0,0
bi_modal_split,300,OPTIMIZE_TWO_EQUALS = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND REUSE_SPACE = 1,OPTIMIZE_TWO_EQUALS >= 1.0  AND  REUSE_SPACE >= 1.0  AND  OPTIMIZE_EVALUATABLE_SUBQUERIES >= 1.0,0.0,1.0,1.0,1.0,0
tri_modal_split,0,COMPRESS = 1 AND OPTIMIZE_OR = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,,,0.0,0.0,0.0,0
power_law,221,OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND PAGE_STORE_TRIM = 1 AND COMPRESS = 1,PAGE_STORE_TRIM >= 1.0  AND  COMPRESS >= 1.0  AND  OPTIMIZE_EVALUATABLE_SUBQUERIES >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0,2.0,0.8637532133676092,1.0,0.7601809954751131,0
normal,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_TRIM >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0  AND  OPTIMIZE_TWO_EQUALS >= 1.0,0.0,1.0,1.0,1.0,10
uniform,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS >= 1.0  AND  PAGE_STORE_TRIM >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0,0.0,1.0,1.0,1.0,10
bi_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_TRIM >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0  AND  OPTIMIZE_IN_SELECT >= 1.0  AND  OPTIMIZE_TWO_EQUALS >= 1.0,0.0,0.8771929824561403,1.0,0.78125,10
tri_modal_split,0,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,,,0.0,0.0,0.0,10
power_law,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,PAGE_STORE_TRIM >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0  AND  OPTIMIZE_TWO_EQUALS >= 1.0  AND  DROP_RESTRICT >= 1.0,0.0,0.8363636363636363,1.0,0.71875,10
normal,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT >= 1.0  AND  COMPRESS >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0  AND  OPTIMIZE_DISTINCT >= 1.0,0.0,0.8271604938271605,1.0,0.7052631578947368,11
uniform,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT >= 1.0  AND  COMPRESS >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0,0.0,1.0,1.0,1.0,11
bi_modal_split,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,COMPRESS >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0  AND  OPTIMIZE_INSERT_FROM_SELECT >= 1.0,0.0,1.0,1.0,1.0,11
tri_modal_split,0,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,,,0.0,0.0,0.0,11
power_law,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT >= 1.0  AND  COMPRESS >= 1.0  AND  PAGE_STORE_INTERNAL_COUNT >= 1.0  AND  PAGE_STORE_TRIM >= 1.0,0.0,0.5951940850277264,1.0,0.4236842105263158,11
normal,355,OPTIMIZE_IN_LIST = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND IGNORE_CATALOGS = 1,OPTIMIZE_IN_LIST >= 1.0  AND  OPTIMIZE_EVALUATABLE_SUBQUERIES >= 1.0  AND  IGNORE_CATALOGS >= 1.0,0.0,1.0,1.0,1.0,12
uniform,355,OPTIMIZE_IN_LIST = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND IGNORE_CATALOGS = 1,OPTIMIZE_IN_LIST >= 1.0  AND  IGNORE_CATALOGS >= 1.0  AND  OPTIMIZE_EVALUATABLE_SUBQUERIES >= 1.0,0.0,1.0,1.0,1.0,12
