sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,510,TEXT = 1 AND BWTS = 1 AND LZ = 1,BWTS >= 1.0  AND  LZ >= 1.0  AND  TEXT >= 1.0  AND  0.0 <= TPAQ < 1.0,0.0,0.9285714285714286,1.0,0.8666666666666667,0
uniform,444,BWTS = 1 AND checksum = 1 AND ROLZ = 1,ROLZ >= 1.0  AND  checksum >= 1.0  AND  BWTS >= 1.0  AND  0.0 <= CM < 1.0,2.0,0.97459584295612,1.0,0.9504504504504504,0
bi_modal_split,523,ROLZX = 1 AND skip = 1 AND checksum = 1,ROLZX >= 1.0  AND  skip >= 1.0  AND  checksum >= 1.0,1.0,1.0,1.0,1.0,0
tri_modal_split,475,BWTS = 1 AND RLT = 1 AND jobs = 8,RLT >= 1.0  AND  jobs >= 8.0  AND  BWTS >= 1.0  AND  0.0 <= ROLZ < 1.0,1.0,0.7757731958762887,1.0,0.6336842105263157,0
power_law,671,BWTS = 1 AND LZ = 1 AND checksum = 1,0.0 <= BWTS < 1.0  AND  1000000.0 <= blocksize < 1000000000.0  AND  0.0 <= FPAQ < 1.0  AND  0.0 <= CM < 1.0,0.0,0.0,0.0,0.0,0
normal,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,0.0 <= RANK < 1.0  AND  ROLZ >= 1.0  AND  LZP >= 1.0  AND  BWTS >= 1.0,0.0,0.901015228426396,1.0,0.8198614318706697,10
uniform,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP >= 1.0  AND  ROLZ >= 1.0  AND  BWTS >= 1.0  AND  0.0 <= MTFT < 1.0,0.0,0.7646219686162624,1.0,0.6189376443418014,10
bi_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP >= 1.0  AND  BWTS >= 1.0  AND  ROLZ >= 1.0  AND  0.0 <= TPAQ < 1.0,0.0,0.9641148325358851,1.0,0.930715935334873,10
tri_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP >= 1.0  AND  BWTS >= 1.0  AND  ROLZ >= 1.0  AND  RLT >= 1.0,0.0,0.7113095238095238,1.0,0.5519630484988453,10
power_law,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,1000.0 <= blocksize < 1000000000.0  AND  ANS0 >= 1.0  AND  RLT >= 1.0,0.0,0.0185185185185185,0.0467289719626168,0.0115473441108545,10
normal,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ >= 1.0  AND  checksum >= 1.0  AND  0.0 <= Range < 1.0  AND  BWTS >= 1.0,1.0,0.9771341463414634,1.0,0.955290611028316,11
uniform,671,BWTS = 1 AND LZ = 1 AND checksum = 1,BWTS >= 1.0  AND  checksum >= 1.0  AND  LZ >= 1.0  AND  0.0 <= Huffman < 1.0,0.0,0.8144876325088339,1.0,0.6870342771982116,11
bi_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ >= 1.0  AND  checksum >= 1.0  AND  BWTS >= 1.0,0.0,1.0,1.0,1.0,11
tri_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ >= 1.0  AND  checksum >= 1.0  AND  BWTS >= 1.0,0.0,1.0,1.0,1.0,11
power_law,671,BWTS = 1 AND LZ = 1 AND checksum = 1,LZ >= 1.0  AND  checksum >= 1.0  AND  jobs >= 4.0  AND  BWTS >= 1.0,0.0,0.8460877042132415,1.0,0.7332339791356185,11
normal,495,skip = 1 AND LZ = 1 AND MTFT = 1,LZ >= 1.0  AND  MTFT >= 1.0  AND  skip >= 1.0,0.0,1.0,1.0,1.0,12
uniform,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip >= 1.0  AND  MTFT >= 1.0  AND  0.0 <= Huffman < 1.0  AND  LZ >= 1.0,1.0,0.943436499466382,1.0,0.8929292929292929,12
bi_modal_split,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip >= 1.0  AND  MTFT >= 1.0  AND  LZ >= 1.0  AND  0.0 <= TEXT < 1.0,1.0,0.7420584498094028,1.0,0.5898989898989899,12
tri_modal_split,495,skip = 1 AND LZ = 1 AND MTFT = 1,LZ >= 1.0  AND  MTFT >= 1.0  AND  skip >= 1.0  AND  blocksize >= 1000000.0,1.0,0.8950892857142857,1.0,0.8101010101010101,12
power_law,495,skip = 1 AND LZ = 1 AND MTFT = 1,skip >= 1.0  AND  MTFT >= 1.0  AND  LZ >= 1.0  AND  X86 >= 1.0,1.0,0.7625,1.0,0.6161616161616161,12
normal,608,LZ = 1 AND X86 = 1 AND checksum = 1,X86 >= 1.0  AND  checksum >= 1.0  AND  LZ >= 1.0,0.0,1.0,1.0,1.0,13
uniform,608,LZ = 1 AND X86 = 1 AND checksum = 1,X86 >= 1.0  AND  checksum >= 1.0  AND  0.0 <= Range < 1.0  AND  LZ >= 1.0,1.0,0.939843068875327,1.0,0.8865131578947368,13
bi_modal_split,608,LZ = 1 AND X86 = 1 AND checksum = 1,LZ >= 1.0  AND  X86 >= 1.0  AND  checksum >= 1.0  AND  1000.0 <= blocksize < 1000000000.0,1.0,0.7778894472361809,1.0,0.6365131578947368,13
tri_modal_split,608,LZ = 1 AND X86 = 1 AND checksum = 1,X86 >= 1.0  AND  checksum >= 1.0  AND  LZ >= 1.0,1.0,1.0,1.0,1.0,13
power_law,608,LZ = 1 AND X86 = 1 AND checksum = 1,X86 >= 1.0  AND  checksum >= 1.0  AND  LZ >= 1.0,1.0,1.0,1.0,1.0,13
