sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,24,encryption = 1 AND nice = 1 AND unlimitedWindowSize = 1,nice >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,0
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,0.0 <= encryption < 1.0  AND  zpaq >= 1.0,0.0,0.0,0.0,0.0,0
bi_modal_split,0,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,,,0.0,0.0,0.0,0
tri_modal_split,0,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,0
power_law,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,lzo >= 1.0  AND  0.0 <= nice < 1.0,0.0,0.0,0.0,0.0,0
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption >= 1.0  AND  multithreading >= 1.0  AND  nice >= 1.0,1.0,1.0,1.0,1.0,10
uniform,0,encryption = 1 AND nice = 1 AND multithreading = 1,,,0.0,0.0,0.0,10
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,bzip2 >= 1.0  AND  0.0 <= multithreading < 1.0,0.0,0.0,0.0,0.0,10
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,0.0 <= encryption < 1.0  AND  0.0 <= unlimitedWindowSize < 1.0  AND  0.0 <= disableLzoCompressibilityTesting < 1.0  AND  0.0 <= gzip < 1.0,0.0,0.0,0.0,0.0,10
power_law,24,encryption = 1 AND nice = 1 AND multithreading = 1,0.0 <= bzip2 < 1.0  AND  0.0 <= disableLzoCompressibilityTesting < 1.0  AND  integrityCheck >= 1.0  AND  0.0 <= multithreading < 1.0,0.0,0.0,0.0,0.0,10
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,11
uniform,0,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,11
bi_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,lzo >= 1.0  AND  0.0 <= unlimitedWindowSize < 1.0,0.0,0.0,0.0,0.0,11
tri_modal_split,0,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,11
power_law,0,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,11
normal,0,encryption = 1 AND integrityCheck = 1 AND nice = 1,,,0.0,0.0,0.0,12
uniform,0,encryption = 1 AND integrityCheck = 1 AND nice = 1,,,0.0,0.0,0.0,12
bi_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,0.0 <= zpaq < 1.0  AND  0.0 <= unlimitedWindowSize < 1.0,0.0,0.1764705882352941,0.1139240506329113,0.391304347826087,12
tri_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,0.0 <= encryption < 1.0  AND  gzip >= 1.0,0.0,0.0,0.0,0.0,12
power_law,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,0.0 <= encryption < 1.0  AND  0.0 <= multithreading < 1.0  AND  0.0 <= gzip < 1.0  AND  0.0 <= integrityCheck < 1.0,0.0,0.0,0.0,0.0,12
normal,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,0.0 <= multithreading < 1.0  AND  0.0 <= unlimitedWindowSize < 1.0  AND  0.0 <= noBackend < 1.0  AND  0.0 <= zpaq < 1.0,0.0,0.0,0.0,0.0,13
uniform,0,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,13
bi_modal_split,0,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,13
tri_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,lzo >= 1.0  AND  0.0 <= unlimitedWindowSize < 1.0,0.0,0.0,0.0,0.0,13
power_law,0,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,13
normal,0,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,,,0.0,0.0,0.0,14
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,bzip2 >= 1.0  AND  0.0 <= multithreading < 1.0,0.0,0.0,0.0,0.0,14
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption >= 1.0  AND  integrityCheck >= 1.0  AND  multithreading >= 1.0,0.0,1.0,1.0,1.0,14
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,0.0 <= integrityCheck < 1.0  AND  multithreading >= 1.0  AND  0.0 <= lzo < 1.0  AND  0.0 <= zpaq < 1.0,0.0,0.0,0.0,0.0,14
power_law,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption >= 1.0  AND  multithreading >= 1.0  AND  0.0 <= gzip < 1.0,2.0,0.625,0.5,0.8333333333333334,14
normal,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,noBackend >= 1.0  AND  0.0 <= multithreading < 1.0,0.0,0.0,0.0,0.0,15
uniform,0,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,,,0.0,0.0,0.0,15
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,0.0 <= encryption < 1.0  AND  lzo >= 1.0,0.0,0.0,0.0,0.0,15
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,0.0 <= encryption < 1.0  AND  0.0 <= unlimitedWindowSize < 1.0  AND  0.0 <= disableLzoCompressibilityTesting < 1.0,0.0,0.0,0.0,0.0,15
power_law,0,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,,,0.0,0.0,0.0,15
normal,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  integrityCheck >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,16
uniform,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,0.0 <= integrityCheck < 1.0  AND  gzip >= 1.0,0.0,0.0,0.0,0.0,16
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  integrityCheck >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,16
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,integrityCheck >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,16
power_law,0,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,16
normal,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,multithreading >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  nice >= 1.0,0.0,1.0,1.0,1.0,17
uniform,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice >= 1.0  AND  multithreading >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,17
bi_modal_split,0,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,17
tri_modal_split,0,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,,,0.0,0.0,0.0,17
power_law,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,0.0 <= unlimitedWindowSize < 1.0  AND  disableLzoCompressibilityTesting >= 1.0,0.0,0.0,0.0,0.0,17
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption >= 1.0  AND  nice >= 1.0  AND  multithreading >= 1.0,0.0,1.0,1.0,1.0,18
uniform,0,encryption = 1 AND nice = 1 AND multithreading = 1,,,0.0,0.0,0.0,18
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,0.0 <= encryption < 1.0  AND  0.0 <= unlimitedWindowSize < 1.0  AND  0.0 <= zpaq < 1.0  AND  0.0 <= bzip2 < 1.0,0.0,0.0,0.0,0.0,18
