sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,207,sha256 = 1 AND Dist = 1 AND BlockSize = 1,sha256 >= 1.0  AND  BlockSize >= 1.0  AND  Dist >= 1.0  AND  0.0 <= Lc1Lp0 < 1.0,0.0,0.9752475247524752,1.0,0.9516908212560388,0
uniform,203,sha256 = 1 AND Dict = 1 AND BlockSize = 1,sha256 >= 1.0  AND  Dict >= 1.0  AND  BlockSize >= 1.0,0.0,1.0,1.0,1.0,0
bi_modal_split,261,bt4 = 1 AND Dict = 1 AND BlockSize = 1,bt4 >= 1.0  AND  Dict >= 1.0  AND  BlockSize >= 1.0,0.0,1.0,1.0,1.0,0
tri_modal_split,225,Depth = 1 AND Dict = 1 AND PositionBits = 1,PositionBits >= 1.0  AND  Depth >= 1.0  AND  Dict >= 1.0,0.0,1.0,1.0,1.0,0
power_law,0,crc32 = 1 AND Dict = 1 AND Dist = 1,,,0.0,0.0,0.0,0
normal,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits >= 1.0  AND  MemoryLimit >= 1.0  AND  Depth >= 1.0,0.0,1.0,1.0,1.0,10
uniform,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits >= 1.0  AND  MemoryLimit >= 1.0  AND  Depth >= 1.0,0.0,1.0,1.0,1.0,10
bi_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits >= 1.0  AND  MemoryLimit >= 1.0  AND  Depth >= 1.0,0.0,1.0,1.0,1.0,10
tri_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,0.0 <= Lc1Lp1 < 1.0  AND  PositionBits >= 1.0  AND  Depth >= 1.0  AND  MemoryLimit >= 1.0,0.0,0.9546436285097192,1.0,0.9132231404958676,10
power_law,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,PositionBits >= 1.0  AND  Nice >= 1.0  AND  hc3 >= 1.0  AND  0.0 <= Lc2Lp2 < 1.0,0.0,0.3548387096774193,0.8088235294117647,0.2272727272727272,10
normal,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0  AND  0.0 <= sha256 < 1.0,0.0,0.8058252427184466,1.0,0.6747967479674797,11
uniform,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0  AND  0.0 <= none < 1.0,0.0,0.8741418764302059,1.0,0.7764227642276422,11
bi_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0,0.0,1.0,1.0,1.0,11
tri_modal_split,0,bt4 = 1 AND Nice = 1 AND BlockSize = 1,,,0.0,0.0,0.0,11
power_law,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 >= 1.0  AND  Nice >= 1.0  AND  0.0 <= Lc0Lp1 < 1.0  AND  BlockSize >= 1.0,0.0,0.8918918918918919,1.0,0.8048780487804879,11
normal,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  Depth >= 1.0  AND  BlockSize >= 1.0  AND  0.0 <= Lc4Lp0 < 1.0,0.0,0.9554896142433236,1.0,0.9147727272727272,12
uniform,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  BlockSize >= 1.0  AND  Depth >= 1.0,0.0,1.0,1.0,1.0,12
bi_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  Depth >= 1.0  AND  BlockSize >= 1.0  AND  Dict >= 1.0,0.0,0.9722627737226276,1.0,0.9460227272727272,12
tri_modal_split,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,0.0 <= Lc1Lp3 < 1.0  AND  FlushTimeout >= 1.0  AND  BlockSize >= 1.0  AND  Depth >= 1.0,0.0,0.9782293178519592,1.0,0.9573863636363636,12
power_law,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  Depth >= 1.0  AND  BlockSize >= 1.0  AND  0.0 <= none < 1.0,0.0,0.8496732026143791,1.0,0.7386363636363636,12
normal,205,none = 1 AND Dict = 1 AND BlockSize = 1,none >= 1.0  AND  Dict >= 1.0  AND  BlockSize >= 1.0  AND  0.0 <= Lc1Lp0 < 1.0,0.0,0.9646464646464648,1.0,0.9317073170731708,13
uniform,205,none = 1 AND Dict = 1 AND BlockSize = 1,none >= 1.0  AND  Dict >= 1.0  AND  0.0 <= hc3 < 1.0  AND  BlockSize >= 1.0,0.0,0.8115942028985507,1.0,0.6829268292682927,13
bi_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,none >= 1.0  AND  Dict >= 1.0  AND  BlockSize >= 1.0,0.0,1.0,1.0,1.0,13
tri_modal_split,205,none = 1 AND Dict = 1 AND BlockSize = 1,none >= 1.0  AND  Dict >= 1.0  AND  BlockSize >= 1.0,0.0,1.0,1.0,1.0,13
power_law,205,none = 1 AND Dict = 1 AND BlockSize = 1,none >= 1.0  AND  Dict >= 1.0  AND  BlockSize >= 1.0,0.0,1.0,1.0,1.0,13
normal,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,0.0 <= bt3 < 1.0  AND  Multithreading >= 1.0  AND  Dict >= 1.0  AND  Depth >= 1.0,0.0,0.9292649098474342,1.0,0.8678756476683938,14
uniform,386,Depth = 1 AND Dict = 1 AND Multithreading = 1,Dict >= 1.0  AND  Multithreading >= 1.0  AND  Depth >= 1.0,0.0,1.0,1.0,1.0,14
