n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,57172.593713162845,13728,BZip2 = 1,BZip2 >= 1.0  AND  0.0 <= tmOff < 1.0  AND  Files >= 30.0  AND  BlockSize >= 8.0,4,0.4371584699453552,1.0,0.2797202797202797,0,2532.4908323287964
2,46809.4572806119,6864,HeaderCompressionOff = 1 AND LZMA2 = 1,LZMA2 >= 1.0  AND  0.0 <= filterOff < 1.0  AND  HeaderCompressionOff >= 1.0  AND  Files >= 10.0  AND  BlockSize >= 2.0,2,0.5911330049261084,1.0,0.4195804195804196,0,2796.228895187378
3,8676.945115876662,3432,LZMA = 1 AND mtOff = 1 AND tmOff = 1,mtOff >= 1.0  AND  tmOff >= 1.0  AND  LZMA >= 1.0,2,1.0,1.0,1.0,0,4123.434448242188
4,38466.86204065976,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,mtOff >= 1.0  AND  filterOff >= 1.0  AND  tmOff >= 1.0  AND  HeaderCompressionOff >= 1.0  AND  0.0 <= LZMA < 1.0  AND  x < 10.0  AND  Files >= 30.0,0,0.653061224489796,1.0,0.4848484848484848,0,3194.126223564148
1,42168.07850954649,6240,Files = 80,80.0 <= Files < 90.0  AND  BlockSize < 1024.0,2,0.8695652173913044,1.0,0.7692307692307693,1,1822.8044641017916
2,32122.35627471416,6864,Deflate = 1 AND tmOff = 1,BlockSize >= 16.0  AND  Deflate >= 1.0  AND  tmOff >= 1.0,2,0.8181818181818181,1.0,0.6923076923076923,1,2676.4031512737274
3,50872.43686410627,3432,BZip2 = 1 AND filterOff = 1 AND mtOff = 1,BZip2 >= 1.0  AND  mtOff >= 1.0  AND  filterOff >= 1.0,0,1.0,1.0,1.0,1,2459.9350094795227
4,14865.90492212144,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff >= 1.0  AND  mtOff >= 1.0  AND  HeaderCompressionOff >= 1.0  AND  filterOff >= 1.0  AND  Files < 100.0  AND  x >= 2.0,2,0.8620689655172413,1.0,0.7575757575757576,1,4421.861583948135
1,23041.58745345992,13728,LZMA = 1,LZMA >= 1.0  AND  BlockSize >= 4.0  AND  0.0 <= filterOff < 1.0  AND  Files >= 40.0,4,0.4242424242424242,1.0,0.2692307692307692,10,2590.1382722854614
2,64132.55812287603,17160,HeaderCompressionOff = 1 AND tmOff = 1,HeaderCompressionOff >= 1.0  AND  tmOff >= 1.0  AND  Files < 70.0  AND  BlockSize >= 1024.0  AND  x < 10.0,3,0.2180685358255452,1.0,0.1223776223776223,10,3267.210930585861
3,58768.36147637136,3432,PPMd = 1 AND filterOff = 1 AND tmOff = 1,PPMd >= 1.0  AND  Files >= 10.0  AND  tmOff >= 1.0  AND  filterOff >= 1.0  AND  4.0 <= BlockSize < 4096.0,0,0.823045267489712,1.0,0.6993006993006993,10,2318.512559890747
4,44781.5129090428,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff >= 1.0  AND  mtOff >= 1.0  AND  filterOff >= 1.0  AND  HeaderCompressionOff >= 1.0  AND  x >= 2.0  AND  0.0 <= Deflate < 1.0,3,0.8,1.0,0.6666666666666666,10,3036.2465813159943
1,65219.103346984986,6240,Files = 0,Files < 10.0  AND  2.0 <= BlockSize < 4096.0  AND  0.0 <= LZMA < 1.0,2,0.8073394495412844,1.0,0.676923076923077,11,1880.2357306480408
2,31912.82621529852,6864,LZMA = 1 AND filterOff = 1,LZMA >= 1.0  AND  BlockSize >= 32.0  AND  filterOff >= 1.0,2,0.761904761904762,1.0,0.6153846153846154,11,2827.6083438396454
3,22290.72556936016,3432,HeaderCompressionOff = 1 AND LZMA2 = 1 AND filterOff = 1,HeaderCompressionOff >= 1.0  AND  LZMA2 >= 1.0  AND  filterOff >= 1.0  AND  Files >= 50.0,0,0.7058823529411764,1.0,0.5454545454545454,11,4345.849618434906
4,42072.38233048191,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,mtOff >= 1.0  AND  tmOff >= 1.0  AND  filterOff >= 1.0  AND  HeaderCompressionOff >= 1.0  AND  0.0 <= LZMA2 < 1.0  AND  BlockSize >= 4.0,3,0.8073394495412844,1.0,0.676923076923077,11,3421.840842962265
1,43328.647893680834,13728,LZMA2 = 1,LZMA2 >= 1.0  AND  Files < 60.0  AND  filterOff >= 1.0,4,0.4285714285714285,1.0,0.2727272727272727,12,2655.4214973449707
2,23733.852102754077,17160,filterOff = 1 AND tmOff = 1,filterOff >= 1.0  AND  tmOff >= 1.0  AND  x >= 4.0  AND  0.0 <= HeaderCompressionOff < 1.0  AND  BlockSize < 512.0  AND  0.0 <= LZMA2 < 1.0  AND  Files < 90.0,4,0.2624544349939247,1.0,0.151048951048951,12,3924.505868434906
3,30078.15314175032,3432,BZip2 = 1 AND filterOff = 1 AND tmOff = 1,BZip2 >= 1.0  AND  tmOff >= 1.0  AND  filterOff >= 1.0  AND  Files < 60.0,0,0.7058823529411764,1.0,0.5454545454545454,12,2960.7603867053986
4,18101.7437716363,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff >= 1.0  AND  mtOff >= 1.0  AND  filterOff >= 1.0  AND  HeaderCompressionOff >= 1.0  AND  0.0 <= LZMA2 < 1.0  AND  0.0 <= Deflate < 1.0,0,0.7499999999999999,1.0,0.6,12,4559.266960859299
1,18665.481177894348,13728,PPMd = 1,PPMd >= 1.0  AND  Files >= 60.0  AND  BlockSize >= 64.0,3,0.3932584269662921,1.0,0.2447552447552447,13,2603.7537608146667
