n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,30.45467565270029,640,HAVE_HASH = 1,HAVE_HASH >= 1.0,1,1.0,1.0,1.0,0,31.942100763320923
2,8.801808117239196,640,HAVE_HASH = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 1.0,1,1.0,1.0,1.0,0,26.14052700996399
3,34.28785500278053,128,DIAGNOSTIC = 1 AND PAGESIZE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  PAGESIZE < 4.0  AND  HAVE_CRYPTO >= 1.0,0,1.0,1.0,1.0,0,18.775402307510376
4,21.43162182368273,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_HASH >= 1.0  AND  HAVE_STATISTICS >= 1.0,0,1.0,1.0,1.0,0,17.493698835372925
1,32.139006955147266,512,PAGESIZE = 16,16.0 <= PAGESIZE < 32.0,1,1.0,1.0,1.0,1,34.691742181777954
2,30.561544748402863,128,HAVE_HASH = 1 AND PAGESIZE = 4,HAVE_HASH >= 1.0  AND  4.0 <= PAGESIZE < 8.0,0,1.0,1.0,1.0,1,16.14879012107849
3,28.997988623627407,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_VERIFY = 1,DIAGNOSTIC >= 1.0  AND  HAVE_HASH >= 1.0  AND  HAVE_VERIFY >= 1.0,0,1.0,1.0,1.0,1,17.25443172454834
4,4.667403951574643,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  HAVE_SEQUENCE >= 1.0  AND  0.0 <= HAVE_HASH.1 < 1.0,0,1.0,1.0,1.0,1,17.49506139755249
1,13.547933256289156,512,PAGESIZE = 32,PAGESIZE >= 32.0  AND  0.0 <= HAVE_VERIFY.1 < 1.0,1,0.967741935483871,1.0,0.9375,10,21.9958233833313
2,26.34304393236325,240,HAVE_SEQUENCE = 1 AND PAGESIZE = 4,HAVE_SEQUENCE >= 1.0  AND  4.0 <= PAGESIZE < 8.0,0,1.0,1.0,1.0,10,20.644240617752075
3,12.874260916410174,320,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 1.0  AND  HAVE_SEQUENCE >= 1.0,1,1.0,1.0,1.0,10,25.90175724029541
4,27.016126469355005,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  HAVE_REPLICATION >= 1.0,0,1.0,1.0,1.0,10,17.73452591896057
1,13.829716870507388,640,CACHESIZE = 32,32.0 <= CACHESIZE < 64.0,1,1.0,1.0,1.0,11,23.985285758972168
2,24.263892996693063,224,HAVE_VERIFY = 1 AND PAGESIZE = 8,HAVE_VERIFY >= 1.0  AND  8.0 <= PAGESIZE < 16.0,0,1.0,1.0,1.0,11,16.11790442466736
1,36.890826131004616,512,PAGESIZE = 16,16.0 <= PAGESIZE < 32.0,1,1.0,1.0,1.0,12,34.04319214820862
2,3.571096954265192,128,PAGESIZE = 32 AND HAVE_HASH.1 = 1,PAGESIZE >= 32.0  AND  HAVE_HASH.1 >= 1.0,0,1.0,1.0,1.0,12,16.287999868392944
3,33.53161569427367,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_HASH >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  CACHESIZE >= 32.0,0,0.8571428571428571,1.0,0.75,12,25.20039749145508
4,28.84677838869277,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  HAVE_VERIFY >= 1.0,0,1.0,1.0,1.0,12,17.34332299232483
1,25.93224148117428,640,HAVE_HASH.1 = 1,HAVE_HASH.1 >= 1.0,1,1.0,1.0,1.0,13,30.67100691795349
2,10.860345075124254,256,PAGESIZE = 8 AND HAVE_CRYPTO = 1,8.0 <= PAGESIZE < 16.0  AND  HAVE_CRYPTO >= 1.0,0,1.0,1.0,1.0,13,25.34792733192444
3,13.94263693143994,320,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  0.0 <= HAVE_HASH.1 < 1.0,0,1.0,1.0,1.0,13,18.262996196746823
1,12.854068015441172,640,CACHESIZE = 512,CACHESIZE >= 512.0,2,1.0,1.0,1.0,14,28.16276288032532
2,7.905207956516417,128,CACHESIZE = 64 AND PAGESIZE = 8,64.0 <= CACHESIZE < 512.0  AND  8.0 <= PAGESIZE < 16.0,0,1.0,1.0,1.0,14,16.01413607597351
3,21.735485372658253,128,HAVE_STATISTICS = 1 AND PAGESIZE = 32 AND HAVE_CRYPTO = 1,PAGESIZE >= 32.0  AND  HAVE_CRYPTO >= 1.0  AND  HAVE_STATISTICS >= 1.0,0,1.0,1.0,1.0,14,16.597411632537842
1,3.8271458122210023,640,HAVE_HASH = 1,HAVE_HASH >= 1.0,2,1.0,1.0,1.0,15,34.59892511367798
2,9.994499651455715,640,HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS >= 1.0  AND  HAVE_CRYPTO >= 1.0,1,1.0,1.0,1.0,15,27.47260546684265
3,22.45790165524729,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_HASH.1 = 1,HAVE_REPLICATION >= 1.0  AND  0.0 <= HAVE_CRYPTO < 1.0  AND  DIAGNOSTIC >= 1.0,0,1.0,1.0,1.0,15,17.305593967437744
1,14.87934993508607,512,PAGESIZE = 4,4.0 <= PAGESIZE < 8.0,0,1.0,1.0,1.0,16,17.144960641860962
2,27.4831175213626,320,CACHESIZE = 32 AND HAVE_CRYPTO = 1,32.0 <= CACHESIZE < 64.0  AND  HAVE_CRYPTO >= 1.0,0,1.0,1.0,1.0,16,21.26545524597168
3,33.96716316961387,160,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  HAVE_HASH >= 1.0,0,1.0,1.0,1.0,16,24.98919415473938
4,4.970980850804629,160,DIAGNOSTIC = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  HAVE_SEQUENCE >= 1.0,0,1.0,1.0,1.0,16,18.44163537025452
1,24.343299653921044,640,HAVE_HASH = 1,HAVE_HASH >= 1.0,2,1.0,1.0,1.0,17,33.87207388877869
2,4.8868469434705215,310,CACHESIZE = 64 AND HAVE_STATISTICS = 1,64.0 <= CACHESIZE < 512.0  AND  HAVE_STATISTICS >= 1.0,1,1.0,1.0,1.0,17,21.6925368309021
3,25.972702243812808,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1,HAVE_REPLICATION >= 1.0  AND  HAVE_SEQUENCE >= 1.0  AND  HAVE_HASH >= 1.0,0,1.0,1.0,1.0,17,17.501995086669922
4,28.71299862227442,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  HAVE_HASH >= 1.0,0,1.0,1.0,1.0,17,17.06573176383972
1,26.291403089968917,320,HAVE_REPLICATION.1 = 1,HAVE_REPLICATION.1 >= 1.0,0,1.0,1.0,1.0,18,26.208348035812374
2,13.529855448924645,160,HAVE_STATISTICS = 1 AND HAVE_REPLICATION.1 = 1,HAVE_STATISTICS >= 1.0  AND  HAVE_REPLICATION.1 >= 1.0,0,1.0,1.0,1.0,18,17.599823474884033
3,3.3711407135045293,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1,HAVE_HASH >= 1.0  AND  HAVE_STATISTICS >= 1.0  AND  DIAGNOSTIC >= 1.0,0,1.0,1.0,1.0,18,17.690847396850586
4,17.28733467620241,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  DIAGNOSTIC >= 1.0,0,1.0,1.0,1.0,18,18.12504887580872
1,32.43242274248047,640,HAVE_HASH.1 = 1,HAVE_HASH.1 >= 1.0,0,1.0,1.0,1.0,19,26.83983039855957
2,15.429890815882697,320,DIAGNOSTIC = 1 AND HAVE_HASH.1 = 1,DIAGNOSTIC >= 1.0  AND  HAVE_HASH.1 >= 1.0,1,1.0,1.0,1.0,19,22.903858184814453
3,24.97482307803197,320,HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  HAVE_STATISTICS >= 1.0,0,1.0,1.0,1.0,19,17.786069631576538
4,23.294939704786596,160,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_STATISTICS >= 1.0  AND  DIAGNOSTIC >= 1.0  AND  HAVE_CRYPTO >= 1.0,0,1.0,1.0,1.0,19,17.907315731048584
1,34.752169228564355,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1 >= 1.0,0,1.0,1.0,1.0,2,20.95771360397339
2,1.7250825487058692,320,DIAGNOSTIC = 1 AND HAVE_HASH = 1,DIAGNOSTIC >= 1.0  AND  HAVE_HASH >= 1.0,0,1.0,1.0,1.0,2,18.039196968078613
3,20.600365958587176,160,HAVE_REPLICATION = 1 AND HAVE_STATISTICS = 1 AND HAVE_HASH.1 = 1,HAVE_REPLICATION >= 1.0  AND  0.0 <= HAVE_CRYPTO < 1.0  AND  HAVE_STATISTICS >= 1.0,0,1.0,1.0,1.0,2,17.434679746627808
4,35.06405562285751,160,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_STATISTICS >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  DIAGNOSTIC >= 1.0,0,1.0,1.0,1.0,2,24.41395354270935
1,27.02903823037541,160,HAVE_VERIFY.1 = 1,HAVE_VERIFY.1 >= 1.0,0,1.0,1.0,1.0,20,18.80359125137329
