n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,41886.72641450075,288,PostSmooting = 0,PostSmooting < 1.0,1,1.0,1.0,1.0,0,37.857903242111206
2,32992.95085765314,144,SeqGS = 1 AND PostSmooting = 0,0.0 <= SeqSOR < 1.0  AND  PostSmooting < 1.0,0,1.0,1.0,1.0,0,38.66079139709473
1,47121.18192109641,384,cells_55 = 1,cells_55 >= 1.0  AND  PostSmooting >= 1.0,0,0.9333333333333332,1.0,0.875,1,37.63984370231629
2,42533.897957794026,168,PreSmoothing = 5 AND SeqGS = 1,5.0 <= PreSmoothing < 6.0  AND  0.0 <= SeqSOR < 1.0,0,1.0,1.0,1.0,1,34.24078321456909
1,9600.453506633894,288,PostSmooting = 0,PostSmooting < 1.0,0,1.0,1.0,1.0,10,37.32192945480347
2,16004.923292303236,168,SeqGS = 1 AND PostSmooting = 4,0.0 <= cells_51 < 1.0  AND  4.0 <= PostSmooting < 5.0  AND  0.0 <= SeqSOR < 1.0,0,0.9090909090909092,1.0,0.8333333333333334,10,36.12757182121277
1,48756.27277517952,336,PreSmoothing = 6,PreSmoothing >= 6.0,0,1.0,1.0,1.0,11,37.97112655639648
2,36370.49017942982,144,SeqGS = 1 AND PostSmooting = 0,0.0 <= SeqSOR < 1.0  AND  PostSmooting < 1.0,0,1.0,1.0,1.0,11,38.26388239860535
1,52287.20725154853,336,PostSmooting = 1,1.0 <= PostSmooting < 2.0,0,1.0,1.0,1.0,12,34.69288921356201
2,40696.41578675192,192,SeqSOR = 1 AND cells_55 = 1,0.0 <= CGSolver < 1.0  AND  cells_55 >= 1.0  AND  0.0 <= SeqGS < 1.0,0,0.8571428571428571,1.0,0.75,12,39.96419954299927
1,48454.8998691864,336,PreSmoothing = 4,4.0 <= PreSmoothing < 5.0,1,1.0,1.0,1.0,13,39.288870096206665
2,43543.93117685389,288,LoopSolver = 1 AND SeqSOR = 1,LoopSolver >= 1.0  AND  0.0 <= SeqGS < 1.0  AND  PreSmoothing >= 1.0  AND  0.0 <= cells_53 < 1.0,0,0.8433734939759037,1.0,0.7291666666666666,13,41.19279003143311
1,14943.28230047455,576,LoopSolver = 1,LoopSolver >= 1.0  AND  0.0 <= SeqGS < 1.0,1,0.6666666666666666,1.0,0.5,14,47.31412410736084
2,7121.50135261639,192,SeqGS = 1 AND cells_54 = 1,0.0 <= SeqSOR < 1.0  AND  cells_54 >= 1.0,0,1.0,1.0,1.0,14,39.49031829833984
1,24804.159456638004,384,cells_53 = 1,cells_53 >= 1.0  AND  PostSmooting >= 1.0,0,0.9333333333333332,1.0,0.875,15,39.478323221206665
2,54700.7278344813,192,SeqGS = 1 AND cells_50 = 1,0.0 <= SeqSOR < 1.0  AND  cells_50 >= 1.0,0,1.0,1.0,1.0,15,37.0170955657959
1,47848.570323611086,336,PreSmoothing = 3,3.0 <= PreSmoothing < 4.0,1,1.0,1.0,1.0,16,37.23708868026733
2,53599.61483875554,192,SeqSOR = 1 AND cells_51 = 1,0.0 <= SeqGS < 1.0  AND  cells_51 >= 1.0,0,1.0,1.0,1.0,16,38.637373208999634
1,54028.94046316556,336,PostSmooting = 5,5.0 <= PostSmooting < 6.0,0,1.0,1.0,1.0,17,35.99467182159424
