n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,29.887339957738973,696,bs_256x2 = 1,bs_256x2 >= 1.0,0,1.0,1.0,1.0,0,565.2261610031128
2,55.07977951834015,697,Linear1D = 1 AND pixelPerThread = 2,Linear1D >= 1.0  AND  0.0 <= bs_128x1 < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  32.0 <= padding < 512.0  AND  0.0 <= bs_128x2 < 1.0  AND  0.0 <= bs_256x1 < 1.0,0,0.8592471358428805,1.0,0.7532281205164992,0,553.8193180561066
3,103.35373608190991,697,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 2,Linear2D >= 1.0  AND  0.0 <= bs_64x2 < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  padding < 448.0  AND  0.0 <= bs_512x1 < 1.0  AND  0.0 <= bs_32x16 < 1.0,0,0.8256107834877843,1.0,0.703012912482066,0,830.7932555675507
4,42.80248714784676,1040,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,LocalMemory >= 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  0.0 <= OpenCL < 1.0  AND  TextureMemory >= 1.0  AND  0.0 <= Ldg < 1.0  AND  0.0 <= bs_256x2 < 1.0  AND  0.0 <= bs_128x1 < 1.0,0,0.7544910179640718,1.0,0.6057692307692307,0,645.319287776947
1,47.7814647109009,2635,Linear2D = 1,Linear2D >= 1.0  AND  0.0 <= bs_128x2 < 1.0  AND  0.0 <= bs_32x16 < 1.0  AND  0.0 <= bs_512x1 < 1.0  AND  0.0 <= bs_64x2 < 1.0,3,0.8848920863309353,1.0,0.7935483870967742,1,908.1629819869996
2,65.39570558412142,697,Linear1D = 1 AND pixelPerThread = 2,Linear1D >= 1.0  AND  2.0 <= pixelPerThread < 3.0,1,1.0,1.0,1.0,1,951.6926352977752
3,97.43425634504251,1060,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,2.0 <= pixelPerThread < 3.0  AND  LocalMemory >= 1.0  AND  TextureMemory >= 1.0  AND  0.0 <= bs_256x2 < 1.0,1,0.9743589743589745,1.0,0.95,1,799.0234258174896
4,106.12361499529368,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 4,LocalMemory >= 1.0  AND  pixelPerThread >= 4.0  AND  0.0 <= bs_32x2 < 1.0  AND  TextureMemory >= 1.0  AND  0.0 <= OpenCL < 1.0  AND  0.0 <= bs_64x8 < 1.0  AND  0.0 <= bs_64x1 < 1.0,0,0.888888888888889,1.0,0.8,1,842.4654905796051
1,73.35062868643115,775,padding = 288,288.0 <= padding < 320.0  AND  0.0 <= bs_64x1 < 1.0  AND  0.0 <= Linear2D < 1.0  AND  0.0 <= bs_64x4 < 1.0  AND  0.0 <= bs_32x1 < 1.0  AND  0.0 <= bs_32x16 < 1.0,0,0.77663772691397,1.0,0.6348387096774194,10,794.4003400802612
2,77.71000120200516,1908,TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread >= 4.0  AND  TextureMemory >= 1.0,4,1.0,1.0,1.0,10,814.8212840557098
3,91.06246875954793,714,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 1,Linear2D >= 1.0  AND  pixelPerThread < 2.0  AND  padding >= 64.0  AND  0.0 <= bs_128x1 < 1.0,0,0.91324200913242,1.0,0.8403361344537815,10,749.8968868255615
4,45.60620234916878,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,LocalMemory >= 1.0  AND  pixelPerThread < 2.0  AND  0.0 <= OpenCL < 1.0  AND  TextureMemory >= 1.0  AND  0.0 <= bs_32x4 < 1.0  AND  0.0 <= bs_64x8 < 1.0  AND  0.0 <= Linear2D < 1.0,0,0.7569721115537847,1.0,0.6089743589743589,10,696.1924986839294
1,71.94340034507839,775,padding = 320,320.0 <= padding < 352.0  AND  0.0 <= bs_512x1 < 1.0  AND  TextureMemory >= 1.0,0,0.7253289473684211,1.0,0.5690322580645162,11,637.750955581665
