n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,467.6940495618115,48384,TenuredGenerationSizeSupplementDecay = 8,8.0 <= TenuredGenerationSizeSupplementDecay < 16.0  AND  0.0 <= TenuredGenerationSizeSupplement_90 < 1.0  AND  NewRatio >= 8.0  AND  0.0 <= UseAdaptiveGCBoundary < 1.0,3,0.2857142857142857,1.0,0.1666666666666666,0,6795.887017965317
2,481.4173951699917,24192,MinSurvivorRatio = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,MinSurvivorRatio < 4.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  NewRatio >= 3.0,3,0.8,1.0,0.6666666666666666,0,6682.428752660751
1,201.03696832197247,32256,NewRatio = 16,12.0 <= NewRatio < 32.0  AND  SurvivorRatio < 13.5,4,0.6,1.0,0.4285714285714285,1,5877.838672876358
2,349.0008403589141,24192,MinSurvivorRatio = 10 AND UseAdaptiveSizePolicy = 1,MinSurvivorRatio >= 10.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  0.0 <= TenuredGenerationSizeSupplement_50 < 0.5,3,0.8,1.0,0.6666666666666666,1,7697.794112920761
1,203.7309992343452,32256,NewRatio = 16,16.0 <= NewRatio < 32.0  AND  SurvivorRatio >= 6.0  AND  0.0 <= TenuredGenerationSizeSupplement_90 < 0.5,4,0.7272727272727273,1.0,0.5714285714285714,10,5303.868216276169
2,61.66309804929261,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,TenuredGenerationSizeSupplement_50 >= 0.5  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0  AND  MinSurvivorRatio < 10.0  AND  TenuredGenerationSizeSupplementDecay < 8.0,4,0.5454545454545454,1.0,0.375,10,8884.106529712677
1,321.9474388821081,32256,NewRatio = 1,NewRatio < 2.0  AND  TenuredGenerationSizeSupplement_90 >= 0.5,4,0.5,1.0,0.3333333333333333,11,5777.74130821228
2,397.9035032810351,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,TenuredGenerationSizeSupplement_50 >= 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  11.0 <= SurvivorRatio < 31.0  AND  MaxTenuringThreshold < 12.5  AND  MinSurvivorRatio < 10.0,2,0.4444444444444445,1.0,0.2857142857142857,11,7930.292617082596
1,329.7822857651407,48384,MinSurvivorRatio = 4,4.0 <= MinSurvivorRatio < 7.0  AND  TenuredGenerationSizeSupplementDecay < 8.0  AND  MaxTenuringThreshold < 10.0  AND  SurvivorRatio >= 3.5,2,0.25,1.0,0.1428571428571428,12,6803.549071073532
2,360.7564834052075,10752,MaxTenuringThreshold = 15 AND NewRatio = 2,MaxTenuringThreshold >= 12.5  AND  2.0 <= NewRatio < 3.0,1,1.0,1.0,1.0,12,6507.58126950264
1,44.599392035681326,48384,TenuredGenerationSizeSupplementDecay = 8,8.0 <= TenuredGenerationSizeSupplementDecay < 16.0  AND  0.0 <= UseAdaptiveSizePolicyFootprintGoal < 1.0  AND  MaxTenuringThreshold >= 10.0  AND  MinSurvivorRatio < 10.0  AND  0.0 <= TenuredGenerationSizeSupplement_50 < 0.5,4,0.2857142857142857,1.0,0.1666666666666666,13,6701.692779541016
2,340.4080689895868,16128,NewRatio = 16 AND UseAdaptiveSizeDecayMajorGCCost = 1,12.0 <= NewRatio < 32.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0,2,1.0,1.0,1.0,13,6848.9059228897095
1,97.51866179887443,48384,TenuredGenerationSizeSupplementDecay = 8,8.0 <= TenuredGenerationSizeSupplementDecay < 16.0  AND  MaxTenuringThreshold >= 7.5  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  SurvivorRatio < 18.5,3,0.32,1.0,0.1904761904761904,14,7095.928530216217
1,170.05726018667798,27648,SurvivorRatio = 26,26.0 <= SurvivorRatio < 31.0  AND  NewRatio >= 8.0,3,0.6666666666666666,1.0,0.5,15,4858.943505048752
2,287.226673616966,32256,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1,TenuredGenerationSizeSupplement_70 >= 0.5  AND  DisableExplicitGC >= 1.0  AND  0.0 <= UseAdaptiveSizeDecayMajorGCCost < 1.0  AND  MinSurvivorRatio >= 7.0,3,0.4,1.0,0.25,15,8253.177358150482
1,340.3610266106916,48384,TenuredGenerationSizeSupplementDecay = 4,TenuredGenerationSizeSupplement_50 >= 0.5  AND  4.0 <= TenuredGenerationSizeSupplementDecay < 8.0  AND  MinSurvivorRatio >= 4.0  AND  NewRatio < 32.0,3,0.3448275862068966,1.0,0.2083333333333333,16,7025.7724609375
2,390.36737906708026,16128,NewRatio = 32 AND UseAdaptiveSizePolicy = 1,NewRatio >= 32.0  AND  UseAdaptiveSizePolicy >= 1.0,2,1.0,1.0,1.0,16,6132.827077865601
1,184.15003288160537,32256,NewRatio = 2,2.0 <= NewRatio < 3.0  AND  0.0 <= TenuredGenerationSizeSupplement_90 < 1.0  AND  0.0 <= UseAdaptiveGCBoundary < 1.0,4,0.5,1.0,0.3333333333333333,17,5870.223721265793
1,120.64560445927542,32256,NewRatio = 1,NewRatio < 2.0  AND  SurvivorRatio >= 3.5  AND  0.0 <= UseAdaptiveSizeDecayMajorGCCost < 1.0,4,0.6,1.0,0.4285714285714285,18,5436.823134183884
2,309.189481745826,32256,TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,TenuredGenerationSizeSupplement_70 >= 1.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  MaxTenuringThreshold < 12.5  AND  TenuredGenerationSizeSupplementDecay < 16.0  AND  MinSurvivorRatio < 10.0,3,0.5454545454545454,1.0,0.375,18,8487.141261339188
1,301.56379267522635,48384,TenuredGenerationSizeSupplementDecay = 2,TenuredGenerationSizeSupplementDecay < 4.0  AND  UseAdaptiveSizePolicyFootprintGoal >= 1.0  AND  0.0 <= UseAdaptiveGCBoundary < 1.0  AND  MaxTenuringThreshold >= 7.5,4,0.2857142857142857,1.0,0.1666666666666666,19,6912.432603597641
2,474.5162840646978,16128,MinSurvivorRatio = 4 AND TenuredGenerationSizeSupplement_70 = 1,4.0 <= MinSurvivorRatio < 7.0  AND  TenuredGenerationSizeSupplement_70 >= 0.5  AND  UseAdaptiveGCBoundary >= 1.0,1,0.6666666666666666,1.0,0.5,19,6690.387807369232
1,90.40204788053325,27648,SurvivorRatio = 1,SurvivorRatio < 3.5,4,1.0,1.0,1.0,2,4501.1517107486725
2,288.18118937734295,16128,NewRatio = 4 AND UseAdaptiveSizeDecayMajorGCCost = 1,3.0 <= NewRatio < 8.0  AND  UseAdaptiveSizeDecayMajorGCCost >= 1.0,2,1.0,1.0,1.0,2,6333.647022724152
1,323.5876587058312,32256,NewRatio = 16,12.0 <= NewRatio < 32.0  AND  0.0 <= TenuredGenerationSizeSupplement_70 < 0.5,4,0.8,1.0,0.6666666666666666,20,6021.486637592316
1,171.75100703163304,48384,TenuredGenerationSizeSupplementDecay = 2,TenuredGenerationSizeSupplementDecay < 4.0  AND  NewRatio < 16.0  AND  SurvivorRatio < 8.5,4,0.32,1.0,0.1904761904761904,21,6562.278914451599
2,304.85556945297765,13824,SurvivorRatio = 11 AND UseAdaptiveSizePolicy = 1,11.0 <= SurvivorRatio < 13.5  AND  MaxTenuringThreshold >= 7.5  AND  UseAdaptiveSizePolicy >= 1.0,1,0.8,1.0,0.6666666666666666,21,5182.453404903412
1,39.53276190445055,32256,NewRatio = 16,16.0 <= NewRatio < 32.0  AND  0.0 <= TenuredGenerationSizeSupplement_90 < 0.5  AND  3.5 <= SurvivorRatio < 23.5,3,0.5517241379310345,1.0,0.3809523809523809,22,5749.081564664841
1,367.8252236470651,48384,MinSurvivorRatio = 1,MinSurvivorRatio < 4.0  AND  TenuredGenerationSizeSupplementDecay < 16.0  AND  UseAdaptiveSizePolicy >= 1.0  AND  NewRatio >= 8.0,4,0.3157894736842105,1.0,0.1875,23,6783.006109714508
