n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5.7392001920146845,12000,pollyoptmaxconstantterm_1 = 1,0.0 <= pollyoptmaxcoefficient_1000 < 1.0  AND  pollyoptmaxconstantterm_1 >= 1.0  AND  0.0 <= pollyoptmaxcoefficient_10000 < 1.0  AND  16.0 <= pollydefaulttilesize < 1024.0,4,0.5294117647058824,1.0,0.36,0,2118.972133159637
2,28.23656962178144,15000,polly = 1 AND polly_no_tiling = 1,0.0 <= none < 1.0  AND  polly_no_tiling >= 1.0  AND  pollydefaulttilesize < 64.0  AND  pollyrtcmaxparameters >= 2.0  AND  0.0 <= pollyoptmaxcoefficient_1 < 1.0  AND  polly_parallel >= 0.5,4,0.2915717539863325,1.0,0.1706666666666666,0,2947.9557733535767
3,24.53163255481762,5000,memory_based = 1 AND parallel = 1 AND polly_no_tiling = 1,parallel >= 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= value_based < 1.0,3,1.0,1.0,1.0,0,2987.424957752228
4,19.63242404864822,5000,min = 1 AND parallel = 1 AND polly = 1 AND polly_parallel = 1,0.0 <= max < 1.0  AND  parallel >= 0.5  AND  0.0 <= none < 1.0  AND  0.0 <= pollyoptmaxconstantterm_10 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0  AND  pollyrtcmaxparameters >= 2.0,1,0.6772486772486772,1.0,0.512,0,3399.0614161491394
1,28.032654064978686,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100 >= 1.0  AND  0.0 <= value_based < 1.0  AND  0.0 <= pollyoptmaxcoefficient_1 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_10000 < 1.0,3,0.3333333333333333,1.0,0.2,1,2307.099451780319
2,10.116559918995408,15000,polly = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= none < 1.0  AND  polly_no_tiling >= 1.0  AND  pollyrtcmaxparameters >= 4.0  AND  0.0 <= pollyoptmaxconstantterm_1000 < 1.0,3,0.3870967741935484,1.0,0.24,1,2607.383857727051
3,5.672000679650387,5000,min = 1 AND none = 1 AND parallel_force = 1,parallel_force >= 0.5  AND  0.0 <= polly < 1.0  AND  0.0 <= max < 1.0  AND  0.0 <= pollyoptmaxconstantterm_100 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0  AND  pollyrtcmaxparameters < 16.0,1,0.6772486772486772,1.0,0.512,1,2386.805700778961
4,7.375063903357454,3750,max = 1 AND none = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= min < 1.0  AND  0.0 <= polly < 1.0  AND  0.0 <= pollyoptmaxconstantterm_100 < 1.0  AND  0.0 <= pollyoptmaxconstantterm_10000 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0,0,0.6486486486486487,1.0,0.48,1,2653.3913094997406
1,16.46249835819515,12000,pollyoptmaxcoefficient_100 = 1,0.0 <= polly_opt_simplify_deps < 1.0  AND  pollyoptmaxcoefficient_100 >= 1.0  AND  pollyrtcmaxparameters >= 2.0  AND  0.0 <= parallel < 1.0  AND  pollydefaulttilesize >= 16.0  AND  0.0 <= pollyoptmaxconstantterm_10000 < 1.0,2,0.2915717539863325,1.0,0.1706666666666666,10,2239.4130947589874
2,15.748564760899606,4000,parallel = 1 AND pollydefaulttilesize = 16,parallel >= 1.0  AND  16.0 <= pollydefaulttilesize < 64.0  AND  0.0 <= pollyoptmaxconstantterm_1000 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_1 < 1.0,1,0.7804878048780487,1.0,0.64,10,2481.4227092266083
3,16.951822167728935,3000,max = 1 AND none = 1 AND pollydefaulttilesize = 256,0.0 <= polly < 1.0  AND  256.0 <= pollydefaulttilesize < 1024.0  AND  0.0 <= min < 1.0  AND  0.0 <= pollyoptmaxconstantterm_1 < 1.0  AND  pollyrtcmaxparameters >= 2.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0,0,0.6772486772486772,1.0,0.512,10,2492.900863170624
4,22.592953806199656,3750,min = 1 AND none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,polly_no_tiling >= 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= polly < 1.0  AND  0.0 <= max < 1.0  AND  pollydefaulttilesize < 1024.0  AND  0.0 <= pollyoptmaxcoefficient_10 < 1.0,1,0.7804878048780487,1.0,0.64,10,2360.402465581894
