n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5917244.485129629,54000,cyclicRefresh = 1,cyclicRefresh >= 1.0  AND  0.0 <= constrainedQuality < 1.0  AND  lagInFrames < 12.0  AND  600.0 <= bitRate < 1500.0,4,0.4210526315789474,1.0,0.2666666666666666,0,7790.89687204361
1,1517158.2328333333,54000,off = 1,off >= 1.0  AND  TileColumns < 4.5  AND  600.0 <= bitRate < 1200.0  AND  Threads >= 4.0,2,0.3516483516483517,1.0,0.2133333333333333,1,7756.38722038269
1,5834629.120416666,43200,Threads = 2,Threads < 4.0  AND  0.0 <= lossless < 1.0  AND  lagInFrames >= 4.0  AND  0.0 <= variableBitrate < 0.5,4,0.3636363636363636,1.0,0.2222222222222222,10,6758.088912963867
2,5373578.733981482,10800,cyclicRefresh = 1 AND cpuUsed = 8,cyclicRefresh >= 1.0  AND  cpuUsed >= 8.0  AND  Threads >= 4.0  AND  TileColumns >= 1.5,0,0.6956521739130436,1.0,0.5333333333333333,10,6879.734903097153
1,5578964.916814815,54000,off = 1,off >= 1.0  AND  0.0 <= constantBitrate < 1.0  AND  cpuUsed >= 2.0  AND  0.0 <= AutoAltRef < 1.0  AND  bitRate < 1500.0  AND  Threads < 10.0,3,0.2915717539863325,1.0,0.1706666666666666,11,8178.324344873428
1,800629.690925926,54000,off = 1,off >= 1.0  AND  bitRate < 600.0  AND  cpuUsed >= 2.0,4,0.2758620689655173,1.0,0.16,12,7960.849820137024
1,6399227.251180556,43200,Threads = 6,6.0 <= Threads < 8.0  AND  0.0 <= constantBitrate < 0.5  AND  0.0 <= complexity < 1.0  AND  TileColumns >= 1.5  AND  bitRate >= 600.0,4,0.4210526315789474,1.0,0.2666666666666666,13,6921.508491754532
1,4666607.03312963,54000,off = 1,off >= 1.0  AND  cpuUsed < 4.0  AND  900.0 <= bitRate < 1500.0,3,0.2758620689655173,1.0,0.16,14,7826.368316888809
1,768279.2313703704,54000,cyclicRefresh = 1,Threads >= 6.0  AND  cyclicRefresh >= 1.0  AND  AutoAltRef >= 1.0  AND  TileColumns < 4.5,4,0.3333333333333333,1.0,0.2,15,7685.047596693039
1,7218661.287018519,54000,off = 1,off >= 1.0  AND  0.0 <= constantBitrate < 0.5  AND  1.5 <= TileColumns < 4.5,4,0.3636363636363636,1.0,0.2222222222222222,16,7558.200453996658
