n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,599.8498083947104,288,no_cabac = 1 AND no_mbtree = 1,no_cabac >= 1.0  AND  no_mbtree >= 1.0,0,1.0,1.0,1.0,0,9.91956114768982
3,703.4068310452537,144,no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_deblock >= 1.0  AND  no_weightb >= 1.0  AND  no_cabac >= 1.0,0,1.0,1.0,1.0,0,6.717487096786499
2,625.3763305131895,192,no_mixed_refs = 1 AND rc_lookahead = 20,no_mixed_refs >= 1.0  AND  rc_lookahead < 30.0,0,1.0,1.0,1.0,1,7.864989042282104
3,341.46892290006406,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_deblock >= 1.0  AND  no_mbtree >= 1.0  AND  no_cabac >= 1.0,0,1.0,1.0,1.0,1,6.652533769607544
2,691.9514572191806,128,rc_lookahead = 20 AND ref = 9,rc_lookahead < 30.0  AND  ref >= 7.0,0,1.0,1.0,1.0,10,7.233924865722656
3,588.7180959715383,96,no_mbtree = 1 AND no_mixed_refs = 1 AND ref = 1,no_mbtree >= 1.0  AND  ref < 3.0  AND  no_mixed_refs >= 1.0,0,1.0,1.0,1.0,10,6.241003513336182
2,352.2325357988523,288,no_8x8dct = 1 AND no_fast_pskip = 1,no_8x8dct >= 1.0  AND  no_fast_pskip >= 1.0,0,1.0,1.0,1.0,11,8.228630542755127
3,405.06765384167664,96,no_mixed_refs = 1 AND no_weightb = 1 AND ref = 5,no_mixed_refs >= 1.0  AND  3.0 <= ref < 7.0  AND  no_weightb >= 1.0,0,1.0,1.0,1.0,11,6.2689595222473145
4,770.1745975740434,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_8x8dct >= 1.0  AND  no_cabac >= 1.0  AND  no_weightb >= 1.0  AND  no_fast_pskip >= 1.0,0,1.0,1.0,1.0,11,6.701263427734375
2,740.8677137373041,192,no_mbtree = 1 AND rc_lookahead = 20,no_mbtree >= 1.0  AND  rc_lookahead < 30.0,0,1.0,1.0,1.0,12,7.767187833786011
3,552.5846358788672,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac >= 1.0  AND  no_deblock >= 1.0  AND  no_mixed_refs >= 1.0,0,1.0,1.0,1.0,12,6.979881763458252
2,388.23305089594334,288,no_deblock = 1 AND no_mbtree = 1,no_deblock >= 1.0  AND  no_mbtree >= 1.0,0,1.0,1.0,1.0,13,8.093212127685547
2,611.7691573193651,288,no_cabac = 1 AND no_weightb = 1,no_cabac >= 1.0  AND  no_weightb >= 1.0,0,1.0,1.0,1.0,14,8.30791687965393
3,423.4368556926783,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_cabac >= 1.0  AND  no_mbtree >= 1.0  AND  no_deblock >= 1.0,0,1.0,1.0,1.0,14,6.7581987380981445
2,407.1599578847967,288,no_mbtree = 1 AND no_weightb = 1,no_mbtree >= 1.0  AND  no_weightb >= 1.0,0,1.0,1.0,1.0,15,8.023737668991089
3,347.4512979258946,96,no_8x8dct = 1 AND no_cabac = 1 AND ref = 5,no_cabac >= 1.0  AND  5.0 <= ref < 9.0  AND  no_8x8dct >= 1.0,0,1.0,1.0,1.0,15,6.169883728027344
2,588.9921830265095,128,rc_lookahead = 60 AND ref = 9,rc_lookahead >= 50.0  AND  ref >= 7.0,0,1.0,1.0,1.0,16,7.435564279556274
3,755.7640459454714,96,no_cabac = 1 AND no_deblock = 1 AND rc_lookahead = 60,no_cabac >= 1.0  AND  rc_lookahead >= 60.0  AND  no_deblock >= 1.0,0,1.0,1.0,1.0,16,6.221768617630005
2,524.8227996797775,288,no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip >= 1.0  AND  no_mixed_refs >= 1.0,1,1.0,1.0,1.0,17,11.23319673538208
3,339.5081702782728,96,no_8x8dct = 1 AND no_weightb = 1 AND ref = 9,no_8x8dct >= 1.0  AND  no_weightb >= 1.0  AND  ref >= 7.0,0,1.0,1.0,1.0,17,6.173289060592651
4,776.1322220616106,72,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_weightb = 1,no_cabac >= 1.0  AND  no_weightb >= 1.0  AND  no_deblock >= 1.0  AND  no_mbtree >= 1.0,0,1.0,1.0,1.0,17,6.616546154022217
2,580.1324121064875,192,no_weightb = 1 AND rc_lookahead = 40,no_weightb >= 1.0  AND  30.0 <= rc_lookahead < 50.0,0,1.0,1.0,1.0,18,7.710223913192749
3,320.7024905879857,144,no_cabac = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_mixed_refs >= 1.0  AND  no_weightb >= 1.0  AND  no_cabac >= 1.0,0,1.0,1.0,1.0,18,6.560204982757568
2,446.3685751615165,192,no_fast_pskip = 1 AND rc_lookahead = 60,no_fast_pskip >= 1.0  AND  rc_lookahead >= 50.0,0,1.0,1.0,1.0,19,7.702342748641968
3,691.0025315669559,96,no_deblock = 1 AND no_weightb = 1 AND rc_lookahead = 40,no_deblock >= 1.0  AND  30.0 <= rc_lookahead < 60.0  AND  no_weightb >= 1.0,0,1.0,1.0,1.0,19,6.23349666595459
2,781.8981324452177,128,rc_lookahead = 60 AND ref = 1,rc_lookahead >= 50.0  AND  ref < 3.0,0,1.0,1.0,1.0,2,7.310351371765137
