n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,11.70399145117719,480,dpi = 400.0,dpi >= 400.0,0,1.0,1.0,1.0,0,16.064959287643433
2,9.380655722195566,240,anyScriptOrigin = 1 AND indexed = 4.0,anyScriptOrigin >= 1.0  AND  4.0 <= indexed < 8.0,1,1.0,1.0,1.0,0,16.763703107833862
3,12.412627310528189,96,tiff = 1 AND dpi = 50.0 AND quality = 0.1,tiff >= 1.0  AND  dpi < 100.0,0,1.0,1.0,1.0,0,12.380466222763062
1,12.34646324690353,480,indexed = 1.0,indexed < 2.0,1,1.0,1.0,1.0,1,20.1092267036438
2,19.258218869028724,160,dpi = 50.0 AND resolution = 8294400.0,dpi < 100.0  AND  resolution >= 5184000.0,0,1.0,1.0,1.0,1,14.63330626487732
3,12.34340376272361,128,jpg = 1 AND resolution = 8294400.0 AND quality = 0.9,resolution >= 8294400.0  AND  quality >= 0.9  AND  indexed < 8.0,0,0.8571428571428571,1.0,0.75,1,12.367062330245972
1,13.241677313199212,480,dpi = 50.0,dpi < 100.0,2,1.0,1.0,1.0,10,24.78408670425415
2,9.42989986518728,160,dpi = 50.0 AND resolution = 307200.0,dpi < 100.0  AND  resolution < 2073600.0,0,1.0,1.0,1.0,10,11.923893928527832
3,12.082525180476328,128,resolution = 2073600.0 AND quality = 0.1 AND indexed = 1.0,2073600.0 <= resolution < 8294400.0  AND  indexed < 2.0  AND  0.1 <= quality < 0.9,0,1.0,1.0,1.0,10,11.99724578857422
1,14.364854673549242,480,dpi = 400.0,dpi >= 400.0,0,1.0,1.0,1.0,11,13.396458864212036
2,14.543221140705173,240,onload = 1 AND indexed = 4.0,onload >= 1.0  AND  4.0 <= indexed < 8.0,0,1.0,1.0,1.0,11,12.485354661941528
3,18.8796158690818,119,anyScriptOrigin = 1 AND onload = 1 AND indexed = 2.0,onload >= 1.0  AND  2.0 <= indexed < 4.0  AND  anyScriptOrigin >= 1.0,0,1.0,1.0,1.0,11,12.1959810256958
4,13.365640470473162,192,anyScriptOrigin = 1 AND validate = 1 AND onload = 1 AND quality = 0.1,validate >= 1.0  AND  onload >= 1.0  AND  0.1 <= quality < 0.9  AND  anyScriptOrigin >= 1.0,0,1.0,1.0,1.0,11,13.284772872924805
1,11.963466973905104,480,indexed = 8.0,indexed >= 8.0,0,1.0,1.0,1.0,12,15.84806227684021
2,12.66004864153562,128,pdf = 1 AND resolution = 307200.0,pdf >= 1.0  AND  resolution < 2073600.0,0,1.0,1.0,1.0,12,12.436858892440796
3,9.499119827381342,128,dpi = 400.0 AND resolution = 8294400.0 AND quality = 0.1,dpi >= 400.0  AND  resolution >= 5184000.0  AND  0.1 <= quality < 0.9,0,1.0,1.0,1.0,12,12.200726509094238
1,7.679176229673547,384,tiff = 1,tiff >= 1.0,0,1.0,1.0,1.0,13,17.394816875457764
2,8.253823632275772,96,quality = 0.9 AND indexed = 1.0,quality >= 0.9  AND  indexed < 2.0,0,1.0,1.0,1.0,13,12.426732778549194
3,17.542370426843775,192,anyScriptOrigin = 1 AND quality = 0.1 AND indexed = 2.0,anyScriptOrigin >= 1.0  AND  0.1 <= quality < 0.9  AND  2.0 <= indexed < 4.0,0,1.0,1.0,1.0,13,12.801264762878418
1,12.139904375423002,480,indexed = 8.0,indexed >= 8.0,1,1.0,1.0,1.0,14,21.08475875854492
2,12.02051085744399,96,tiff = 1 AND indexed = 1.0,tiff >= 1.0  AND  indexed < 2.0,0,1.0,1.0,1.0,14,12.76280403137207
3,17.99918774841086,192,onload = 1 AND dpi = 400.0 AND quality = 0.1,onload >= 1.0  AND  dpi >= 400.0  AND  0.1 <= quality < 0.9,0,1.0,1.0,1.0,14,13.139193773269652
4,16.365398910351104,96,anyScriptOrigin = 1 AND onload = 1 AND quality = 0.1 AND indexed = 8.0,anyScriptOrigin >= 1.0  AND  indexed >= 8.0  AND  onload >= 1.0  AND  0.1 <= quality < 0.9,0,1.0,1.0,1.0,14,13.507022619247437
1,16.136526109651143,480,indexed = 8.0,0.0 <= tiff < 1.0  AND  indexed >= 8.0,1,0.888888888888889,1.0,0.8,15,20.34470558166504
2,11.52402698541903,192,anyScriptOrigin = 1 AND png = 1,anyScriptOrigin >= 1.0  AND  png >= 1.0,0,1.0,1.0,1.0,15,13.828005313873293
