n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,38.90954221401543,830,win = 1,win >= 1.0,1,1.0,1.0,1.0,0,60.16423034667969
2,28.639775700005067,1044,androidIncludeLdpiTvdpi = 1 AND threads = 90,androidIncludeLdpiTvdpi >= 1.0  AND  threads >= 90.0,1,1.0,1.0,1.0,0,63.94432306289673
3,25.382404637128,528,android = 1 AND floor = 1 AND threads = 10,floor >= 1.0  AND  0.0 <= png < 1.0  AND  10.0 <= threads < 90.0  AND  android >= 1.0,0,0.9124613800205974,1.0,0.8390151515151515,0,42.39834427833557
4,20.25078119844409,471,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,antiAliasing >= 1.0  AND  skipUpscaling >= 1.0  AND  0.0 <= gif < 1.0  AND  threads >= 90.0  AND  scaleIsHeightDp >= 1.0,0,0.9331823329558324,1.0,0.8747346072186837,0,44.022984743118286
1,31.62018187964905,830,win = 1,win >= 1.0,2,1.0,1.0,1.0,1,73.05039191246033
2,55.41701158705251,757,androidMipmapInsteadOfDrawable = 1 AND threads = 10,androidMipmapInsteadOfDrawable >= 1.0  AND  10.0 <= threads < 90.0  AND  0.0 <= bmp < 1.0,0,0.923951670220327,1.0,0.8586525759577279,1,73.52147579193115
3,45.31787923119015,509,scaleIsHeightDp = 1 AND floor = 1 AND threads = 10,floor >= 1.0  AND  10.0 <= threads < 90.0  AND  0.0 <= gif < 1.0  AND  scaleIsHeightDp >= 1.0,0,0.9362591431556948,1.0,0.8801571709233792,1,42.75044679641724
4,23.525330779773725,409,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND threads = 10,androidMipmapInsteadOfDrawable >= 1.0  AND  10.0 <= threads < 90.0  AND  antiAliasing >= 1.0,1,1.0,1.0,1.0,1,58.86259627342224
1,45.70279557098409,752,web = 1,web >= 1.0,2,1.0,1.0,1.0,10,72.37367916107178
2,55.51697761760106,1802,android = 1 AND androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable >= 1.0,3,1.0,1.0,1.0,10,92.79209852218628
3,40.8647215908794,699,android = 1 AND ceil = 1 AND threads = 90,android >= 1.0  AND  ceil >= 1.0  AND  threads >= 90.0,0,1.0,1.0,1.0,10,42.8199417591095
4,33.82799384778639,373,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 10,scaleIsHeightDp >= 1.0  AND  skipUpscaling >= 1.0  AND  10.0 <= threads < 90.0  AND  antiAliasing >= 1.0,0,1.0,1.0,1.0,10,44.04172730445862
1,52.79812480434995,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable >= 1.0,2,1.0,1.0,1.0,11,86.68397688865662
2,19.224640204414037,933,scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1,scaleIsHeightDp >= 1.0  AND  androidIncludeLdpiTvdpi >= 1.0,0,1.0,1.0,1.0,11,46.31822681427002
3,30.546035909394185,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android >= 1.0  AND  antiAliasing >= 1.0  AND  skipUpscaling >= 1.0,0,1.0,1.0,1.0,11,48.26632523536682
4,24.80985879634644,346,android = 1 AND scaleIsHeightDp = 1 AND jpeg = 1 AND threads = 90,jpeg >= 1.0  AND  threads >= 90.0  AND  scaleIsHeightDp >= 1.0  AND  0.0 <= round < 1.0  AND  android >= 1.0,0,0.8006932409012132,1.0,0.6676300578034682,11,42.86170148849487
1,31.65131490735092,1777,androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi >= 1.0,2,1.0,1.0,1.0,12,80.99580788612366
2,38.61324014673342,649,ios = 1 AND threads = 10,0.0 <= gif < 1.0  AND  ios >= 1.0  AND  10.0 <= threads < 90.0,0,0.9386753883892068,1.0,0.884437596302003,12,42.46115446090698
3,23.599192112471208,485,scaleIsHeightDp = 1 AND skipUpscaling = 1 AND androidIncludeLdpiTvdpi = 1,scaleIsHeightDp >= 1.0  AND  skipUpscaling >= 1.0  AND  androidIncludeLdpiTvdpi >= 1.0,0,1.0,1.0,1.0,12,42.16702723503113
4,23.22207609688833,394,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND threads = 10,androidMipmapInsteadOfDrawable >= 1.0  AND  scaleIsHeightDp >= 1.0  AND  10.0 <= threads < 90.0,0,1.0,1.0,1.0,12,42.048604011535645
1,37.32276499708502,1079,bmp = 1,bmp >= 1.0,1,1.0,1.0,1.0,13,68.88453769683838
2,57.38815747240927,622,floor = 1 AND androidIncludeLdpiTvdpi = 1,androidIncludeLdpiTvdpi >= 1.0  AND  0.0 <= png < 1.0  AND  floor >= 1.0,0,0.903964757709251,1.0,0.8247588424437299,13,55.30657720565796
3,34.47792539806531,615,android = 1 AND scaleIsHeightDp = 1 AND floor = 1,scaleIsHeightDp >= 1.0  AND  floor >= 1.0  AND  android >= 1.0  AND  0.0 <= gif < 1.0,0,0.9182058047493404,1.0,0.848780487804878,13,43.03476476669312
4,29.83157802682364,482,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1 AND antiAliasing = 1,androidMipmapInsteadOfDrawable >= 1.0  AND  antiAliasing >= 1.0  AND  scaleIsHeightDp >= 1.0,0,1.0,1.0,1.0,13,43.03578615188599
1,24.11258045522668,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable >= 1.0,2,1.0,1.0,1.0,14,77.85192966461182
