n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,20.123088825368267,572,VBRRange = 1,0.0 <= JointStereo < 0.5  AND  1.0 <= VBRRange < 2.0,1,0.9176915799432356,1.0,0.8479020979020979,0,68.10485458374023
2,19.90941814320604,1146,Freeformat = 1 AND SwapBytes = 1,Freeformat >= 1.0  AND  SwapBytes >= 1.0  AND  CRC >= 1.0,1,0.9548563611491108,1.0,0.9136125654450262,0,62.91416120529175
3,8.854335620949666,415,NoRes = 1 AND NoReplayGain = 1 AND CBR = 8,NoRes >= 1.0  AND  NoReplayGain >= 1.0  AND  8.0 <= CBR < 160.0,0,1.0,1.0,1.0,0,37.13340973854065
4,22.665421976916583,210,NoRes = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND CBR = 320,NoRes >= 1.0  AND  CBR >= 320.0  AND  CRC >= 1.0  AND  ReplayGainAccurate >= 1.0,0,1.0,1.0,1.0,0,65.55398511886597
5,28.242920039964684,324,Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,JointStereo >= 0.5  AND  SwapBytes >= 1.0  AND  Freeformat >= 1.0,1,0.970059880239521,0.9418604651162792,1.0,0,62.42560267448425
6,20.00068761023575,309,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,Freeformat >= 1.0  AND  JointStereo >= 0.5  AND  SwapBytes >= 1.0  AND  NoRes >= 1.0  AND  CRC >= 1.0,0,1.0,1.0,1.0,0,62.71259880065918
7,14.73455925792041,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,CRC >= 1.0  AND  ReplayGainAccurate >= 1.0  AND  Freeformat >= 1.0  AND  NoRes >= 1.0  AND  SwapBytes >= 1.0  AND  Resampling < 48.0  AND  Downmix >= 1.0,0,0.8610271903323263,1.0,0.7559681697612732,0,62.46941304206848
1,17.77423517861404,1061,Resampling = 8,Resampling < 22.0,2,1.0,1.0,1.0,1,59.32388734817505
2,16.252297438665767,259,ReplayGainFast = 1 AND Stereo = 1,ReplayGainFast >= 1.0  AND  Stereo >= 1.0,0,1.0,1.0,1.0,1,42.53427171707153
3,27.09654204990978,304,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1,NoRes >= 1.0  AND  Freeformat >= 1.0  AND  MidSideStereo >= 1.0,0,1.0,1.0,1.0,1,64.13284039497375
4,22.664427945771195,589,NoRes = 1 AND Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1,NoRes >= 1.0  AND  ReplayGainAccurate >= 1.0  AND  Downmix >= 1.0  AND  0.0 <= Mono < 1.0  AND  CRC >= 1.0  AND  0.0 <= VBRRange < 1.0,0,0.8473581213307241,1.0,0.735144312393888,1,62.0005784034729
5,22.364168729769105,321,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND Resampling = 22 AND VBRRange = 0,NoRes >= 1.0  AND  22.0 <= Resampling < 44.0  AND  Freeformat >= 1.0  AND  Downmix >= 1.0,0,1.0,1.0,1.0,1,62.06154322624207
6,4.913450478184746,305,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND VBRRange = 0,NoRes >= 1.0  AND  JointStereo >= 1.0  AND  CBR >= 160.0  AND  Downmix >= 1.0  AND  CRC >= 1.0  AND  Freeformat >= 1.0,0,0.8576779026217228,1.0,0.7508196721311475,1,31.85011911392212
7,4.96715817476241,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8 AND VBRRange = 0,Downmix >= 1.0  AND  Resampling < 22.0  AND  Freeformat >= 1.0  AND  SwapBytes >= 1.0  AND  NoRes >= 1.0  AND  0.0 <= DualChannels < 1.0  AND  CRC >= 1.0,0,0.953416149068323,1.0,0.9109792284866468,1,31.808123350143436
1,25.371613112462164,1162,NoReplayGain = 1,NoReplayGain >= 1.0,2,1.0,1.0,1.0,10,65.9001681804657
2,10.442206851707748,991,ReplayGainFast = 1 AND CBR = 8,ReplayGainFast >= 1.0  AND  8.0 <= CBR < 160.0,2,1.0,1.0,1.0,10,66.41104245185852
3,18.337607721975974,395,ReplayGainAccurate = 1 AND Resampling = 22 AND CBR = 8,ReplayGainAccurate >= 1.0  AND  8.0 <= CBR < 160.0  AND  22.0 <= Resampling < 44.0,0,1.0,1.0,1.0,10,65.14842629432678
4,3.918749895988436,575,Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,Downmix >= 1.0  AND  CRC >= 1.0  AND  ReplayGainAccurate >= 1.0  AND  0.0 <= VBRRange < 1.0,0,1.0,1.0,1.0,10,32.44615602493286
5,2.673229749235128,268,NoRes = 1 AND Downmix = 1 AND SwapBytes = 1 AND Resampling = 22 AND CBR = 8,Downmix >= 1.0  AND  8.0 <= CBR < 160.0  AND  0.0 <= MidSideStereo < 1.0  AND  22.0 <= Resampling < 44.0  AND  SwapBytes >= 1.0  AND  NoRes >= 1.0,0,0.897119341563786,1.0,0.8134328358208955,10,32.78128290176392
6,18.274453840789256,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1,ReplayGainFast >= 1.0  AND  Freeformat >= 1.0  AND  SwapBytes >= 1.0  AND  NoRes >= 1.0  AND  CRC >= 1.0  AND  Downmix >= 1.0  AND  0.0 <= DualChannels < 1.0,0,0.933852140077821,1.0,0.8759124087591241,10,69.81143808364868
