n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,190.53837367694072,356,TPAQ = 1,TPAQ >= 1.0,0,1.0,1.0,1.0,0,87.68218731880188
2,87.7141644599217,670,SRT = 1 AND BWT = 1,SRT >= 1.0  AND  0.0 <= ZRLT < 1.0  AND  BWT >= 1.0  AND  1.0 <= jobs < 8.0,0,0.7488328664799253,1.0,0.5985074626865672,0,94.49685406684875
3,211.0572749402375,299,RANK = 1 AND TEXT = 1 AND skip = 1,TEXT >= 1.0  AND  skip >= 1.0  AND  RANK >= 1.0  AND  0.0 <= ANS0 < 1.0,1,0.9636048526863084,1.0,0.9297658862876256,0,78.15735292434692
4,207.77331076179848,209,TEXT = 1 AND BWTS = 1 AND RLT = 1 AND BWT = 1,BWTS >= 1.0  AND  BWT >= 1.0  AND  RLT >= 1.0  AND  TEXT >= 1.0,0,1.0,1.0,1.0,0,81.72115182876587
5,65.67427484864896,257,LZP = 1 AND skip = 1 AND X86 = 1 AND checksum = 1 AND RLT = 1,skip >= 1.0  AND  X86 >= 1.0  AND  LZP >= 1.0  AND  checksum >= 1.0  AND  RLT >= 1.0  AND  0.0 <= ANS0 < 1.0,0,0.9201680672268908,1.0,0.8521400778210116,0,82.88371706008911
6,143.75714536422603,232,LZP = 1 AND checksum = 1 AND RLT = 1 AND Huffman = 1 AND jobs = 8 AND blocksize = 1000000,1000000.0 <= blocksize < 1000000000.0  AND  Huffman >= 1.0  AND  jobs >= 8.0  AND  LZP >= 1.0  AND  RLT >= 1.0,0,1.0,1.0,1.0,0,86.45014142990112
1,24.18981942286043,570,ANS1 = 1,ANS1 >= 1.0,1,1.0,1.0,1.0,1,96.47744822502136
2,103.24186618389204,655,jobs = 8 AND blocksize = 1000000,1000000.0 <= blocksize < 1000000000.0  AND  jobs >= 8.0,2,1.0,1.0,1.0,1,86.9917950630188
3,12.915725248841673,223,LZ = 1 AND checksum = 1 AND Huffman = 1,LZ >= 1.0  AND  Huffman >= 1.0  AND  checksum >= 1.0,0,1.0,1.0,1.0,1,78.73151922225952
4,19.23711439739052,228,RLT = 1 AND BWT = 1 AND ROLZ = 1 AND blocksize = 1000000,0.0 <= BWTS < 1.0  AND  BWT >= 1.0  AND  ROLZ >= 1.0  AND  RLT >= 1.0  AND  1000000.0 <= blocksize < 1000000000.0,0,0.790450928381963,1.0,0.6535087719298246,1,45.59440040588379
