n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.70171545797716,499,sliced-threads = 1,sliced-threads >= 1.0,1,1.0,1.0,1.0,0,57.12848472595215
2,85.24030648722034,265,no-dct-decimate = 1 AND sliced-threads = 1,no-dct-decimate >= 1.0  AND  sliced-threads >= 1.0,0,1.0,1.0,1.0,0,43.72137403488159
3,72.02438868576719,722,intra-refresh = 1 AND no-chroma-me = 1 AND no-weightb = 1,no-chroma-me >= 1.0  AND  no-weightb >= 1.0  AND  intra-refresh >= 1.0,0,1.0,1.0,1.0,0,61.70815849304199
4,67.19148563554356,586,intra-refresh = 1 AND no-deblock = 1 AND no-mixed-refs = 1 AND opencl = 1,no-deblock >= 1.0  AND  tff >= 1.0  AND  opencl >= 1.0  AND  intra-refresh >= 1.0  AND  no-mixed-refs >= 1.0,0,0.9306569343065694,1.0,0.8703071672354948,0,52.23256516456604
5,72.19962722191246,468,no-weightb = 1 AND no-dct-decimate = 1 AND pic-struct = 1 AND cpu-independent = 1 AND no-asm = 1,pic-struct >= 1.0  AND  cpu-independent >= 1.0  AND  no-asm >= 1.0  AND  no-dct-decimate >= 1.0  AND  no-weightb >= 1.0,0,1.0,1.0,1.0,0,51.753506898880005
6,58.15396224788845,396,slow-firstpass = 1 AND no-fast-pskip = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND dts-compress = 1,slow-firstpass >= 1.0  AND  no-chroma-me >= 1.0  AND  non-deterministic >= 1.0  AND  no-mbtree >= 1.0  AND  no-fast-pskip >= 1.0  AND  dts-compress >= 1.0,0,1.0,1.0,1.0,0,33.54719686508179
7,60.83979631583268,295,slow-firstpass = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND cpu-independent = 1 AND no-asm = 1,intra-refresh >= 1.0  AND  no-asm >= 1.0  AND  slow-firstpass >= 1.0  AND  no-chroma-me >= 1.0  AND  no-mixed-refs >= 1.0  AND  open-gop >= 1.0  AND  cpu-independent >= 1.0,0,1.0,1.0,1.0,0,33.74237561225891
1,55.22519745266851,499,sliced-threads = 1,sliced-threads >= 1.0,1,1.0,1.0,1.0,1,47.87116575241089
2,53.69881157334618,815,no-fast-pskip = 1 AND cpu-independent = 1,no-fast-pskip >= 1.0  AND  cpu-independent >= 1.0,2,1.0,1.0,1.0,1,69.02707648277283
3,53.45826680902704,631,no-fast-pskip = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-mixed-refs >= 1.0  AND  cpu-independent >= 1.0  AND  no-fast-pskip >= 1.0,0,1.0,1.0,1.0,1,41.9640257358551
4,79.74474202273568,575,no-scenecut = 1 AND no-psy = 1 AND non-deterministic = 1 AND no-asm = 1,no-scenecut >= 1.0  AND  no-psy >= 1.0  AND  no-asm >= 1.0  AND  no-cabac >= 1.0  AND  non-deterministic >= 1.0,0,0.9068441064638784,1.0,0.8295652173913044,1,51.60988807678223
5,12.114043420151742,524,intra-refresh = 1 AND open-gop = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1,open-gop >= 1.0  AND  no-8x8dct >= 1.0  AND  intra-refresh >= 1.0  AND  no-fast-pskip >= 1.0  AND  tff >= 1.0  AND  no-chroma-me >= 1.0,0,0.938196555217832,1.0,0.8835877862595419,1,42.45310664176941
6,60.8772577375239,397,no-scenecut = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-psy = 1 AND no-asm = 1 AND dts-compress = 1,no-scenecut >= 1.0  AND  no-psy >= 1.0  AND  open-gop >= 1.0  AND  no-asm >= 1.0  AND  dts-compress >= 1.0  AND  intra-refresh >= 1.0,0,1.0,1.0,1.0,1,43.71040105819702
7,36.272773367693134,314,slow-firstpass = 1 AND intra-refresh = 1 AND no-cabac = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND no-asm = 1,slow-firstpass >= 1.0  AND  intra-refresh >= 1.0  AND  non-deterministic >= 1.0  AND  no-asm >= 1.0  AND  no-cabac >= 1.0  AND  no-chroma-me >= 1.0  AND  no-mbtree >= 1.0,0,1.0,1.0,1.0,1,34.93533372879028
1,39.33980495272595,499,sliced-threads = 1,sliced-threads >= 1.0,0,1.0,1.0,1.0,10,36.88883447647095
2,76.92208542575258,883,intra-refresh = 1 AND aud = 1,intra-refresh >= 1.0  AND  aud >= 1.0,1,1.0,1.0,1.0,10,72.23039102554321
3,28.057986359698777,753,tff = 1 AND non-deterministic = 1 AND opencl = 1,tff >= 1.0  AND  aud >= 1.0  AND  opencl >= 1.0  AND  non-deterministic >= 1.0,0,0.8836174944403261,1.0,0.7915006640106241,10,46.83392405509949
4,18.782910011633888,587,open-gop = 1 AND no-weightb = 1 AND no-mbtree = 1 AND opencl = 1,open-gop >= 1.0  AND  opencl >= 1.0  AND  no-weightb >= 1.0  AND  no-mbtree >= 1.0,0,1.0,1.0,1.0,10,45.10576033592224
5,43.628731734915824,451,slow-firstpass = 1 AND constrained-intra = 1 AND no-mbtree = 1 AND no-asm = 1 AND dts-compress = 1,slow-firstpass >= 1.0  AND  no-mbtree >= 1.0  AND  dts-compress >= 1.0  AND  constrained-intra >= 1.0  AND  no-asm >= 1.0,0,1.0,1.0,1.0,10,34.3838324546814
6,8.921813053543566,404,slow-firstpass = 1 AND tff = 1 AND no-mixed-refs = 1 AND no-psy = 1 AND no-weightb = 1 AND no-asm = 1,slow-firstpass >= 1.0  AND  no-asm >= 1.0  AND  tff >= 1.0  AND  no-mixed-refs >= 1.0  AND  no-weightb >= 1.0  AND  no-psy >= 1.0,0,1.0,1.0,1.0,10,35.10091590881348
7,45.86209977035279,332,slow-firstpass = 1 AND no-scenecut = 1 AND no-weightb = 1 AND no-mbtree = 1 AND pic-struct = 1 AND no-asm = 1 AND aud = 1,no-mbtree >= 1.0  AND  no-asm >= 1.0  AND  slow-firstpass >= 1.0  AND  pic-struct >= 1.0  AND  no-scenecut >= 1.0  AND  no-weightb >= 1.0  AND  aud >= 1.0,0,1.0,1.0,1.0,10,35.2761025428772
1,74.61483926069906,499,sliced-threads = 1,sliced-threads >= 1.0,1,1.0,1.0,1.0,11,62.07573318481445
2,40.85575326443302,856,constrained-intra = 1 AND cpu-independent = 1,constrained-intra >= 1.0  AND  cpu-independent >= 1.0,1,1.0,1.0,1.0,11,53.79470896720886
3,23.684728496792964,722,no-8x8dct = 1 AND pic-struct = 1 AND dts-compress = 1,no-8x8dct >= 1.0  AND  dts-compress >= 1.0  AND  pic-struct >= 1.0,0,1.0,1.0,1.0,11,44.98135685920715
4,105.15651938895992,607,no-cabac = 1 AND bff = 1 AND no-mixed-refs = 1 AND non-deterministic = 1,bff >= 1.0  AND  no-mixed-refs >= 1.0  AND  no-cabac >= 1.0  AND  non-deterministic >= 1.0,4,1.0,1.0,1.0,11,68.62247323989868
5,27.78807084100844,471,intra-refresh = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-mixed-refs = 1 AND no-asm = 1,no-mixed-refs >= 1.0  AND  no-asm >= 1.0  AND  intra-refresh >= 1.0  AND  no-fast-pskip >= 1.0  AND  tff >= 1.0  AND  no-deblock >= 1.0,0,0.9367945823927766,1.0,0.881104033970276,11,33.056793212890625
6,50.782124060885,396,slow-firstpass = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND no-dct-decimate = 1 AND non-deterministic = 1 AND cpu-independent = 1,no-chroma-me >= 1.0  AND  no-dct-decimate >= 1.0  AND  cpu-independent >= 1.0  AND  slow-firstpass >= 1.0  AND  no-fast-pskip >= 1.0  AND  no-mixed-refs >= 1.0  AND  non-deterministic >= 1.0,0,0.893854748603352,1.0,0.8080808080808081,11,34.1147186756134
7,101.8559987812986,314,slow-firstpass = 1 AND intra-refresh = 1 AND no-cabac = 1 AND tff = 1 AND bff = 1 AND no-8x8dct = 1 AND dts-compress = 1,slow-firstpass >= 1.0  AND  intra-refresh >= 1.0  AND  dts-compress >= 1.0  AND  tff >= 1.0  AND  no-cabac >= 1.0  AND  no-8x8dct >= 1.0  AND  bff >= 1.0,0,1.0,1.0,1.0,11,67.51655507087708
1,63.4288800336856,499,sliced-threads = 1,sliced-threads >= 1.0,2,1.0,1.0,1.0,12,65.79692244529724
2,71.94816620926179,926,no-dct-decimate = 1 AND aud = 1,no-dct-decimate >= 1.0  AND  aud >= 1.0,0,1.0,1.0,1.0,12,61.80853319168091
3,57.593533349669656,180,tff = 1 AND bff = 1 AND sliced-threads = 1,tff >= 1.0  AND  sliced-threads >= 1.0  AND  bff >= 1.0  AND  constrained-intra >= 1.0,0,0.905775075987842,1.0,0.8277777777777777,12,30.948842525482178
4,20.400768940540647,572,slow-firstpass = 1 AND intra-refresh = 1 AND no-chroma-me = 1 AND opencl = 1,slow-firstpass >= 1.0  AND  opencl >= 1.0  AND  intra-refresh >= 1.0  AND  no-chroma-me >= 1.0,0,1.0,1.0,1.0,12,42.94389486312866
5,69.46889590533452,407,intra-refresh = 1 AND bff = 1 AND no-chroma-me = 1 AND cpu-independent = 1 AND dts-compress = 1,intra-refresh >= 1.0  AND  cpu-independent >= 1.0  AND  dts-compress >= 1.0  AND  no-chroma-me >= 1.0  AND  bff >= 1.0,0,1.0,1.0,1.0,12,41.651132106781006
6,31.6154537870054,376,slow-firstpass = 1 AND no-cabac = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-mbtree = 1 AND pic-struct = 1,tff >= 1.0  AND  no-fast-pskip >= 1.0  AND  no-scenecut >= 1.0  AND  pic-struct >= 1.0  AND  slow-firstpass >= 1.0  AND  no-mbtree >= 1.0  AND  no-cabac >= 1.0,0,0.9148629148629148,1.0,0.8430851063829787,12,34.2888503074646
1,28.59909404675399,499,sliced-threads = 1,sliced-threads >= 1.0,0,1.0,1.0,1.0,13,45.07906174659729
2,98.87962742580828,812,no-mixed-refs = 1 AND cpu-independent = 1,no-mixed-refs >= 1.0  AND  cpu-independent >= 1.0,1,1.0,1.0,1.0,13,68.46466445922852
3,106.00428267225304,694,no-scenecut = 1 AND no-deblock = 1 AND aud = 1,no-scenecut >= 1.0  AND  aud >= 1.0  AND  no-deblock >= 1.0,1,1.0,1.0,1.0,13,74.72490906715393
4,69.04318755772142,649,open-gop = 1 AND no-cabac = 1 AND constrained-intra = 1 AND no-dct-decimate = 1,constrained-intra >= 1.0  AND  no-dct-decimate >= 1.0  AND  open-gop >= 1.0  AND  no-cabac >= 1.0,2,1.0,1.0,1.0,13,55.794750928878784
5,25.09158406408351,532,no-scenecut = 1 AND intra-refresh = 1 AND open-gop = 1 AND tff = 1 AND no-psy = 1,open-gop >= 1.0  AND  no-psy >= 1.0  AND  no-scenecut >= 1.0  AND  tff >= 1.0,2,0.9349736379613356,0.8778877887788779,1.0,13,48.2251672744751
6,23.284887677745257,348,no-scenecut = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-mbtree = 1 AND no-dct-decimate = 1 AND cpu-independent = 1,no-fast-pskip >= 1.0  AND  no-mbtree >= 1.0  AND  no-scenecut >= 1.0  AND  cpu-independent >= 1.0  AND  no-8x8dct >= 1.0  AND  no-dct-decimate >= 1.0,0,1.0,1.0,1.0,13,32.872729539871216
7,23.284887677745257,348,slow-firstpass = 1 AND intra-refresh = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-chroma-me = 1 AND no-weightb = 1 AND no-dct-decimate = 1,slow-firstpass >= 1.0  AND  no-8x8dct >= 1.0  AND  intra-refresh >= 1.0  AND  no-dct-decimate >= 1.0  AND  no-fast-pskip >= 1.0  AND  no-weightb >= 1.0  AND  no-chroma-me >= 1.0,0,1.0,1.0,1.0,13,33.66092777252197
1,82.02083989399871,499,sliced-threads = 1,sliced-threads >= 1.0,1,1.0,1.0,1.0,14,70.09022164344788
2,42.54886338112725,240,no-mixed-refs = 1 AND sliced-threads = 1,no-mixed-refs >= 1.0  AND  sliced-threads >= 1.0,0,1.0,1.0,1.0,14,30.328945875167847
3,107.3851760235244,650,no-chroma-me = 1 AND no-weightb = 1 AND aud = 1,no-chroma-me >= 1.0  AND  aud >= 1.0  AND  opencl >= 1.0  AND  no-weightb >= 1.0,1,0.897370653095844,1.0,0.8138461538461539,14,75.03079199790955
4,59.493636629049966,587,intra-refresh = 1 AND pic-struct = 1 AND non-deterministic = 1 AND opencl = 1,pic-struct >= 1.0  AND  non-deterministic >= 1.0  AND  opencl >= 1.0,2,0.8147120055517002,0.6873536299765808,1.0,14,48.57889485359192
5,36.25986353885322,501,no-deblock = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1 AND no-weightb = 1 AND no-mbtree = 1,no-deblock >= 1.0  AND  no-weightb >= 1.0  AND  tff >= 1.0  AND  no-mbtree >= 1.0  AND  no-fast-pskip >= 1.0  AND  no-8x8dct >= 1.0,0,0.9202586206896552,1.0,0.8522954091816367,14,33.8098087310791
