n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,170.7161746813652,161,Lc4Lp0 = 1,Lc4Lp0 >= 1.0,0,1.0,1.0,1.0,0,46.80908632278442
2,40.89523445786644,421,Dict = 1 AND FlushTimeout = 1,Dict >= 1.0  AND  FlushTimeout >= 1.0,1,1.0,1.0,1.0,0,36.79008936882019
3,87.881683671427,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  Depth >= 1.0  AND  BlockSize >= 1.0,1,1.0,1.0,1.0,0,38.17728304862976
4,175.7810552868676,140,hc4 = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,hc4 >= 1.0  AND  Nice >= 1.0  AND  Dist >= 1.0  AND  Depth >= 1.0,0,1.0,1.0,1.0,0,52.95745086669922
5,80.78372219071495,303,MemoryLimit = 1 AND Nice = 1 AND Dict = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  MemoryLimit >= 1.0  AND  BlockSize >= 1.0  AND  Nice >= 1.0  AND  Dict >= 1.0  AND  0.0 <= Lc0Lp2 < 1.0  AND  0.0 <= Lc0Lp4 < 1.0,0,0.9442508710801394,1.0,0.8943894389438944,0,26.870290994644165
6,73.69447047508798,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc32 >= 1.0  AND  Depth >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0  AND  Dict >= 1.0  AND  MemoryLimit >= 1.0,0,1.0,1.0,1.0,0,40.78355646133423
1,177.09152658428053,190,Lc3Lp0 = 1,Lc3Lp0 >= 1.0,1,1.0,1.0,1.0,1,55.958454847335815
2,74.24960600257157,216,hc4 = 1 AND MemoryLimit = 1,hc4 >= 1.0  AND  MemoryLimit >= 1.0,0,1.0,1.0,1.0,1,26.58326911926269
3,55.71458791104968,141,bt4 = 1 AND Dict = 1 AND FlushTimeout = 1,bt4 >= 1.0  AND  FlushTimeout >= 1.0  AND  Dict >= 1.0  AND  0.0 <= Lc0Lp0 < 1.0,0,0.9438202247191012,1.0,0.8936170212765957,1,26.606427431106567
4,93.08802075784372,106,Lc0Lp1 = 1 AND MemoryLimit = 1 AND Nice = 1 AND BlockSize = 1,Lc0Lp1 >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0  AND  MemoryLimit >= 1.0,0,1.0,1.0,1.0,1,26.54916024208069
5,197.53427692248624,278,Nice = 1 AND Depth = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  Dist >= 1.0  AND  Depth >= 1.0  AND  BlockSize >= 1.0  AND  Nice >= 1.0,0,1.0,1.0,1.0,1,54.1420681476593
1,107.28572214329049,367,bt3 = 1,bt3 >= 1.0,1,1.0,1.0,1.0,10,57.43862271308899
2,149.24834532443822,144,FlushTimeout = 1 AND PositionBits = 1,FlushTimeout >= 1.0  AND  PositionBits >= 1.0,0,1.0,1.0,1.0,10,26.992021083831787
3,138.34462154516268,193,crc64 = 1 AND Nice = 1 AND Depth = 1,crc64 >= 1.0  AND  Nice >= 1.0  AND  Dist >= 1.0  AND  Depth >= 1.0  AND  0.0 <= Lc4Lp0 < 1.0,0,0.9217877094972068,1.0,0.8549222797927462,10,37.24619054794312
4,189.68562987427296,126,bt4 = 1 AND Nice = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  0.0 <= Lc2Lp2 < 1.0  AND  bt4 >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0,0,0.992,1.0,0.984126984126984,10,55.79670166969299
5,157.6547416446821,202,bt4 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1,bt4 >= 1.0  AND  Nice >= 1.0  AND  Depth >= 1.0  AND  Dict >= 1.0  AND  MemoryLimit >= 1.0,0,1.0,1.0,1.0,10,47.38439059257507
6,45.26753678672144,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc32 >= 1.0  AND  Nice >= 1.0  AND  BlockSize >= 1.0  AND  MemoryLimit >= 1.0  AND  Dict >= 1.0  AND  Depth >= 1.0,0,1.0,1.0,1.0,10,27.77855372428894
1,141.74129762493294,174,Lc0Lp2 = 1,Lc0Lp2 >= 1.0,1,1.0,1.0,1.0,11,36.96383404731751
2,89.85373934600867,108,Lc0Lp2 = 1 AND BlockSize = 1,Lc0Lp2 >= 1.0  AND  BlockSize >= 1.0,0,1.0,1.0,1.0,11,37.50182342529297
3,111.19690767994616,183,sha256 = 1 AND MemoryLimit = 1 AND Nice = 1,sha256 >= 1.0  AND  0.0 <= Lc1Lp1 < 1.0  AND  Nice >= 1.0  AND  MemoryLimit >= 1.0,0,0.9719101123595506,1.0,0.9453551912568308,11,27.249815940856934
4,101.09961342383608,322,MemoryLimit = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,FlushTimeout >= 1.0  AND  BlockSize >= 1.0  AND  MemoryLimit >= 1.0  AND  Dist >= 1.0,0,1.0,1.0,1.0,11,26.92138934135437
