n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,2.208052039434128,269,model_validate = 1 AND unsat_core = 1,model_validate >= 1.0  AND  unsat_core >= 1.0,1,1.0,1.0,1.0,0,10.40048050880432
3,4.108212910769648,142,dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,smtlib2_compliant >= 1.0  AND  unsat_core >= 1.0  AND  dump_models >= 1.0,0,1.0,1.0,1.0,0,5.289418935775757
2,3.134771938771626,276,proof = 1 AND stats = 1,proof >= 1.0  AND  stats >= 1.0,0,1.0,1.0,1.0,1,6.65099310874939
3,2.1242796555143397,196,debug_ref_count = 1 AND stats = 1 AND type_check = 1,debug_ref_count >= 1.0  AND  stats >= 1.0  AND  type_check >= 1.0,0,1.0,1.0,1.0,1,5.318768262863159
2,2.784330077679612,295,auto_config = 1 AND model = 1,auto_config >= 1.0  AND  model >= 1.0,0,1.0,1.0,1.0,10,6.533948421478272
3,4.061639289796334,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate >= 1.0  AND  proof >= 1.0  AND  type_check >= 1.0,0,1.0,1.0,1.0,10,5.263844728469849
4,4.045596505176476,112,debug_ref_count = 1 AND stats = 1 AND trace = 1 AND type_check = 1,trace >= 1.0  AND  type_check >= 1.0  AND  debug_ref_count >= 1.0  AND  stats >= 1.0,0,1.0,1.0,1.0,10,5.286942481994629
5,1.927301184264807,79,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND type_check = 1,auto_config >= 1.0  AND  type_check >= 1.0  AND  dump_models >= 1.0  AND  model >= 1.0  AND  model_validate >= 1.0,0,1.0,1.0,1.0,10,5.303998231887817
2,3.772239271452453,260,smtlib2_compliant = 1 AND trace = 1,smtlib2_compliant >= 1.0  AND  trace >= 1.0,1,1.0,1.0,1.0,11,9.059061765670776
3,2.109166483378781,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate >= 1.0  AND  trace >= 1.0  AND  proof >= 1.0,0,1.0,1.0,1.0,11,5.410908460617065
2,4.253718973144405,297,auto_config = 1 AND type_check = 1,auto_config >= 1.0  AND  type_check >= 1.0,0,1.0,1.0,1.0,12,7.765307188034058
3,3.265074066346477,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,model_validate >= 1.0  AND  unsat_core >= 1.0  AND  debug_ref_count >= 1.0,0,1.0,1.0,1.0,12,5.242453098297119
2,2.709820132455402,286,proof = 1 AND unsat_core = 1,proof >= 1.0  AND  unsat_core >= 1.0,0,1.0,1.0,1.0,13,6.737884044647217
3,2.049535269927972,97,dump_models = 1 AND trace = 1 AND well_sorted_check = 1,trace >= 1.0  AND  well_sorted_check >= 1.0  AND  dump_models >= 1.0,0,1.0,1.0,1.0,13,5.365698337554932
4,2.872285564941968,121,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model = 1,auto_config >= 1.0  AND  dump_models >= 1.0  AND  debug_ref_count >= 1.0  AND  model >= 1.0,0,1.0,1.0,1.0,13,5.480488300323486
2,3.9940133861522313,269,smtlib2_compliant = 1 AND type_check = 1,smtlib2_compliant >= 1.0  AND  type_check >= 1.0,1,1.0,1.0,1.0,14,10.715646028518677
3,2.8606518354911525,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models >= 1.0  AND  smtlib2_compliant >= 1.0  AND  trace >= 1.0,0,1.0,1.0,1.0,14,5.242325782775879
2,3.029038379699263,173,unsat_core = 1 AND well_sorted_check = 1,unsat_core >= 1.0  AND  well_sorted_check >= 1.0,0,1.0,1.0,1.0,15,6.756491184234619
3,2.586112665116524,172,proof = 1 AND stats = 1 AND trace = 1,proof >= 1.0  AND  stats >= 1.0  AND  trace >= 1.0,0,1.0,1.0,1.0,15,5.310705423355103
4,2.064568950702904,119,debug_ref_count = 1 AND model = 1 AND model_validate = 1 AND trace = 1,model >= 1.0  AND  trace >= 1.0  AND  debug_ref_count >= 1.0  AND  model_validate >= 1.0,0,1.0,1.0,1.0,15,5.351271390914917
2,4.489633145966313,283,smtlib2_compliant = 1 AND stats = 1,smtlib2_compliant >= 1.0  AND  stats >= 1.0,0,1.0,1.0,1.0,16,7.96821665763855
3,2.8471184072153903,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,proof >= 1.0  AND  smtlib2_compliant >= 1.0  AND  stats >= 1.0,0,1.0,1.0,1.0,16,5.333264827728272
2,2.245728072405943,274,dump_models = 1 AND trace = 1,dump_models >= 1.0  AND  trace >= 1.0,0,1.0,1.0,1.0,17,8.888149499893188
3,4.231118736678737,150,model_validate = 1 AND proof = 1 AND smtlib2_compliant = 1,model_validate >= 1.0  AND  proof >= 1.0  AND  smtlib2_compliant >= 1.0,0,1.0,1.0,1.0,17,5.934870958328247
2,2.723499177397261,293,dump_models = 1 AND type_check = 1,dump_models >= 1.0  AND  type_check >= 1.0,0,1.0,1.0,1.0,18,6.581513166427612
3,4.338006402035813,118,debug_ref_count = 1 AND model = 1 AND well_sorted_check = 1,model >= 1.0  AND  well_sorted_check >= 1.0  AND  debug_ref_count >= 1.0,0,1.0,1.0,1.0,18,5.2568066120147705
4,3.681543170606268,105,debug_ref_count = 1 AND model = 1 AND proof = 1 AND type_check = 1,debug_ref_count >= 1.0  AND  type_check >= 1.0  AND  model >= 1.0  AND  proof >= 1.0,0,1.0,1.0,1.0,18,5.323009252548218
2,4.19889753940754,278,dump_models = 1 AND proof = 1,dump_models >= 1.0  AND  proof >= 1.0,0,1.0,1.0,1.0,19,8.174249172210693
3,4.227912273596395,170,dump_models = 1 AND proof = 1 AND type_check = 1,dump_models >= 1.0  AND  type_check >= 1.0  AND  proof >= 1.0,0,1.0,1.0,1.0,19,5.303234577178955
2,3.8305886568898218,270,auto_config = 1 AND debug_ref_count = 1,auto_config >= 1.0  AND  debug_ref_count >= 1.0,0,1.0,1.0,1.0,2,6.697627782821655
3,2.990958161298402,110,model = 1 AND model_validate = 1 AND well_sorted_check = 1,model >= 1.0  AND  well_sorted_check >= 1.0  AND  model_validate >= 1.0,0,1.0,1.0,1.0,2,5.37498664855957
2,2.992363958619201,246,auto_config = 1 AND smtlib2_compliant = 1,auto_config >= 1.0  AND  smtlib2_compliant >= 1.0,1,1.0,1.0,1.0,20,9.232955694198608
3,2.142549814842278,164,debug_ref_count = 1 AND proof = 1 AND trace = 1,debug_ref_count >= 1.0  AND  proof >= 1.0  AND  trace >= 1.0,0,1.0,1.0,1.0,20,5.419786214828491
2,2.52094583344934,297,debug_ref_count = 1 AND unsat_core = 1,debug_ref_count >= 1.0  AND  unsat_core >= 1.0,0,1.0,1.0,1.0,21,6.535569190979004
3,1.970333925190619,88,dump_models = 1 AND unsat_core = 1 AND well_sorted_check = 1,unsat_core >= 1.0  AND  well_sorted_check >= 1.0  AND  dump_models >= 1.0,0,1.0,1.0,1.0,21,5.15911865234375
