n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.7725321888412017,1.0,0.6293706293706294,0.0,0.0,0.0,0.0,0.0,0.0,0,2815.235422372818
2,0.5333333333333333,1.0,0.3636363636363636,1.0,1.0,1.0,0.0,0.0,0.0,0,2861.588494539261
3,0.4081632653061224,1.0,0.2564102564102564,0.4,1.0,0.25,0.625,1.0,0.4545454545454545,0,2857.1232883930206
1,0.8605577689243028,1.0,0.7552447552447552,0.0,0.0,0.0,0.0,0.0,0.0,1,3000.6522073745728
2,0.4477611940298507,1.0,0.2884615384615384,1.0,1.0,1.0,0.0,0.0,0.0,1,3166.183318376541
3,0.4022346368715084,1.0,0.2517482517482518,0.4,1.0,0.25,0.5806451612903226,1.0,0.4090909090909091,1,3078.385439634323
1,0.7000000000000001,1.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,10,2762.2594883441925
2,0.5482233502538071,1.0,0.3776223776223776,0.5806451612903226,1.0,0.4090909090909091,0.0,0.0,0.0,10,3264.964886665344
3,0.5,1.0,0.3333333333333333,0.4081632653061224,1.0,0.2564102564102564,0.5555555555555556,1.0,0.3846153846153846,10,3222.0399963855743
1,0.5882352941176471,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,11,3512.7811481952667
2,0.4285714285714285,1.0,0.2727272727272727,0.7777777777777778,1.0,0.6363636363636364,0.0,0.0,0.0,11,3060.5946829319
3,0.4,1.0,0.25,0.4371584699453552,1.0,0.2797202797202797,0.7000000000000001,1.0,0.5384615384615384,11,3246.129384279251
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2543.373443841934
2,0.5555555555555556,1.0,0.3846153846153846,0.8620689655172413,1.0,0.7575757575757576,0.0,0.0,0.0,12,2998.662312030792
3,0.4854368932038835,1.0,0.3205128205128205,0.4371584699453552,1.0,0.2797202797202797,0.8181818181818181,1.0,0.6923076923076923,12,3076.1870200634003
1,0.761904761904762,1.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,13,3304.590039253235
