n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.786861896514893
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,17.176363945007324
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,23.10446190834045
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.389254808425903
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,24.27491140365601
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,23.38258123397827
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,29.051295280456543
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,26.30237627029419
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8666666666666667,10,24.18794560432434
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19.401610136032104
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,23.90155243873596
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,24.87154459953308
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14.875098943710327
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,20.74907350540161
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,23.832115173339844
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,21.41474938392639
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,18.772387266159058
3,0.888888888888889,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,13,24.134446144104004
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,22.12012243270874
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,29.267263174057007
3,1.0,1.0,1.0,0.888888888888889,1.0,0.8,1.0,1.0,1.0,14,22.973660469055176
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,27.30781841278076
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,25.421448469161987
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,21.490998029708862
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16.067375659942627
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,18.937312602996823
3,0.9310344827586208,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,1.0,16,25.934600830078125
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16.52802300453186
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,18.38800549507141
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,24.19017601013184
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,28.161699295043945
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,24.369372367858887
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,23.941925525665283
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,20.733333826065063
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,21.80395603179932
3,1.0,1.0,1.0,0.9655172413793104,1.0,0.9333333333333332,1.0,1.0,1.0,19,23.833210706710812
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14.873031854629517
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,26.51366114616394
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,23.253884315490723
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,25.215060472488403
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,26.735700130462646
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,24.4706289768219
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,18.16732358932495
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,24.27874255180359
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,23.44100785255432
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,15.28198218345642
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,17.79244351387024
3,1.0,1.0,1.0,0.888888888888889,1.0,0.8,1.0,1.0,1.0,22,22.671706914901733
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,19.68620753288269
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,24.229918479919437
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666666,1.0,0.935483870967742,23,22.568716287612915
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,22.043470859527588
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,28.342809438705444
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,25.000800609588623
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25.83008861541748
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,26.97508955001831
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,22.553120374679565
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,20.36531972885132
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,24.3509418964386
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,24.910049200057983
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,15.118956565856934
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,26.71835470199585
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,22.391626119613647
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,15.27184796333313
2,1.0,1.0,1.0,0.8571428571428571,1.0,0.75,0.0,0.0,0.0,28,26.8300838470459
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,23.406395196914676
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,19.193735122680664
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,24.27964782714844
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,23.982415437698364
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.934754848480225
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,24.534422397613525
