n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.8,1.0,0.6666666666666666,0.0,0.0,0.0,0,0,0,0,6433.215239048004
2,0.4444444444444445,1.0,0.2857142857142857,0.6666666666666666,1.0,0.5,0,0,0,0,8314.319894075394
1,0.4444444444444445,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,0,1,8367.353348016739
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,10,7522.211430072784
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,11,7112.890505313873
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,12,8124.012058973312
1,0.4,1.0,0.25,0.0,0.0,0.0,0,0,0,13,9257.047523975372
1,0.5882352941176471,1.0,0.4166666666666667,0.0,0.0,0.0,0,0,0,14,8286.831773519516
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,15,8352.853882551193
1,0.4,1.0,0.25,0.0,0.0,0.0,0,0,0,16,8769.88205575943
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,17,8082.518366575241
1,0.4761904761904761,1.0,0.3125,0.0,0.0,0.0,0,0,0,18,8314.072152853012
1,0.3529411764705882,1.0,0.2142857142857142,0.0,0.0,0.0,0,0,0,19,9547.261313438416
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,2,7498.457782745361
1,0.4761904761904761,1.0,0.3125,0.0,0.0,0.0,0,0,0,20,9091.126276493073
1,0.4444444444444445,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,0,21,8098.5739023685455
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,22,7354.114987373352
1,0.5517241379310345,1.0,0.3809523809523809,0.0,0.0,0.0,0,0,0,23,7952.253573417664
1,0.4347826086956522,1.0,0.2777777777777778,0.0,0.0,0.0,0,0,0,24,8933.381656885147
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,25,6787.790740013123
2,0.3529411764705882,1.0,0.2142857142857142,0.5882352941176471,1.0,0.4166666666666667,0,0,0,25,7890.911111831665
1,0.5263157894736842,1.0,0.3571428571428571,0.0,0.0,0.0,0,0,0,26,8701.101682424545
1,0.4,1.0,0.25,0.0,0.0,0.0,0,0,0,27,8024.779417276382
1,0.4225352112676056,1.0,0.2678571428571428,0.0,0.0,0.0,0,0,0,28,9029.114538669586
1,0.4444444444444445,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,0,29,8435.697633504868
1,0.4225352112676056,1.0,0.2678571428571428,0.0,0.0,0.0,0,0,0,3,8390.922404050827
1,0.5454545454545454,1.0,0.375,0.0,0.0,0.0,0,0,0,30,8762.454912185669
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,31,7282.46909403801
1,0.4761904761904761,1.0,0.3125,0.0,0.0,0.0,0,0,0,32,9432.713401317596
1,0.8,1.0,0.6666666666666666,0.0,0.0,0.0,0,0,0,33,8081.313908338547
1,0.4,1.0,0.25,0.0,0.0,0.0,0,0,0,34,9414.535978078842
1,0.4761904761904761,1.0,0.3125,0.0,0.0,0.0,0,0,0,35,9579.575588226318
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,36,7213.110730409622
1,0.4347826086956522,1.0,0.2777777777777778,0.0,0.0,0.0,0,0,0,37,7902.742665290832
1,0.7272727272727273,1.0,0.5714285714285714,0.0,0.0,0.0,0,0,0,38,8227.08597779274
1,0.8571428571428571,1.0,0.75,0.0,0.0,0.0,0,0,0,39,7541.346561670303
1,0.6451612903225806,1.0,0.4761904761904761,0.0,0.0,0.0,0,0,0,4,8674.754651784897
1,0.4,1.0,0.25,0.0,0.0,0.0,0,0,0,40,8818.231790542603
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,41,7970.912604093552
1,0.5263157894736842,1.0,0.3571428571428571,0.0,0.0,0.0,0,0,0,42,8561.960860967636
1,0.5517241379310345,1.0,0.3809523809523809,0.0,0.0,0.0,0,0,0,43,8321.834817409515
1,0.4444444444444445,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,0,44,9037.722507238388
1,0.3448275862068966,1.0,0.2083333333333333,0.0,0.0,0.0,0,0,0,45,8619.243869781494
1,0.8333333333333333,1.0,0.7142857142857143,0.0,0.0,0.0,0,0,0,46,7735.952364206314
1,0.4390243902439024,1.0,0.28125,0.0,0.0,0.0,0,0,0,47,8788.98582983017
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,48,8401.009987831116
1,0.4,1.0,0.25,0.0,0.0,0.0,0,0,0,49,8329.930631160736
1,0.4444444444444445,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,0,5,8220.714020490646
1,0.7462686567164178,1.0,0.5952380952380952,0.0,0.0,0.0,0,0,0,50,6907.459008216858
2,0.3529411764705882,1.0,0.2142857142857142,0.9090909090909092,1.0,0.8333333333333334,0,0,0,50,8082.607910871506
1,0.4761904761904761,1.0,0.3125,0.0,0.0,0.0,0,0,0,51,8921.211308479309
1,0.8,1.0,0.6666666666666666,0.0,0.0,0.0,0,0,0,52,8840.018599748611
1,0.4864864864864865,1.0,0.3214285714285714,0.0,0.0,0.0,0,0,0,53,7940.427572727203
