n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,9.73385214805603
1,1.0,1.0,1.0,0,0,0,0,0,0,1,9.312194347381592
1,1.0,1.0,1.0,0,0,0,0,0,0,10,9.80892300605774
1,1.0,1.0,1.0,0,0,0,0,0,0,11,9.118230104446411
1,1.0,1.0,1.0,0,0,0,0,0,0,12,8.82669448852539
1,1.0,1.0,1.0,0,0,0,0,0,0,13,8.90585994720459
1,1.0,1.0,1.0,0,0,0,0,0,0,14,12.20548152923584
1,1.0,1.0,1.0,0,0,0,0,0,0,15,8.296004295349121
1,1.0,1.0,1.0,0,0,0,0,0,0,16,9.922595500946043
1,1.0,1.0,1.0,0,0,0,0,0,0,17,9.9271719455719
1,1.0,1.0,1.0,0,0,0,0,0,0,18,9.390406131744385
1,1.0,1.0,1.0,0,0,0,0,0,0,19,8.254624128341675
1,1.0,1.0,1.0,0,0,0,0,0,0,2,9.055575370788574
1,1.0,1.0,1.0,0,0,0,0,0,0,20,8.814357042312622
1,1.0,1.0,1.0,0,0,0,0,0,0,21,8.464673280715942
1,1.0,1.0,1.0,0,0,0,0,0,0,22,9.86357855796814
1,1.0,1.0,1.0,0,0,0,0,0,0,23,10.866706609725952
1,1.0,1.0,1.0,0,0,0,0,0,0,24,9.20272731781006
1,1.0,1.0,1.0,0,0,0,0,0,0,25,9.485962629318236
1,1.0,1.0,1.0,0,0,0,0,0,0,26,10.998237133026125
1,1.0,1.0,1.0,0,0,0,0,0,0,27,10.611183404922484
1,0.9411764705882352,1.0,0.8888888888888888,0,0,0,0,0,0,28,9.400233507156372
1,1.0,1.0,1.0,0,0,0,0,0,0,29,9.82840871810913
1,1.0,1.0,1.0,0,0,0,0,0,0,3,9.74462080001831
1,1.0,1.0,1.0,0,0,0,0,0,0,30,8.220695734024048
1,1.0,1.0,1.0,0,0,0,0,0,0,31,8.405254125595093
1,1.0,1.0,1.0,0,0,0,0,0,0,32,10.435253858566284
1,1.0,1.0,1.0,0,0,0,0,0,0,33,9.20003890991211
1,1.0,1.0,1.0,0,0,0,0,0,0,34,8.408016204833984
1,1.0,1.0,1.0,0,0,0,0,0,0,35,10.636754989624023
1,1.0,1.0,1.0,0,0,0,0,0,0,36,9.477282047271729
1,1.0,1.0,1.0,0,0,0,0,0,0,37,8.685940265655518
1,1.0,1.0,1.0,0,0,0,0,0,0,38,12.374402523040771
1,1.0,1.0,1.0,0,0,0,0,0,0,39,11.084250926971436
1,1.0,1.0,1.0,0,0,0,0,0,0,4,9.78848934173584
1,1.0,1.0,1.0,0,0,0,0,0,0,40,11.359907627105711
1,1.0,1.0,1.0,0,0,0,0,0,0,41,9.814988136291504
1,1.0,1.0,1.0,0,0,0,0,0,0,42,9.0060453414917
1,1.0,1.0,1.0,0,0,0,0,0,0,43,10.34803295135498
1,1.0,1.0,1.0,0,0,0,0,0,0,44,9.395747661590576
1,1.0,1.0,1.0,0,0,0,0,0,0,45,9.856337547302246
1,1.0,1.0,1.0,0,0,0,0,0,0,46,9.71569800376892
1,1.0,1.0,1.0,0,0,0,0,0,0,47,8.483150243759155
1,1.0,1.0,1.0,0,0,0,0,0,0,48,10.344022512435911
1,1.0,1.0,1.0,0,0,0,0,0,0,49,8.820525884628296
1,1.0,1.0,1.0,0,0,0,0,0,0,5,13.527247190475464
1,1.0,1.0,1.0,0,0,0,0,0,0,50,9.017155170440674
1,1.0,1.0,1.0,0,0,0,0,0,0,51,10.211888074874878
1,1.0,1.0,1.0,0,0,0,0,0,0,52,8.439181327819824
1,1.0,1.0,1.0,0,0,0,0,0,0,53,10.44090700149536
1,1.0,1.0,1.0,0,0,0,0,0,0,54,8.47512149810791
1,1.0,1.0,1.0,0,0,0,0,0,0,55,9.502906322479248
1,1.0,1.0,1.0,0,0,0,0,0,0,56,9.616032123565674
1,1.0,1.0,1.0,0,0,0,0,0,0,57,9.431612014770508
1,1.0,1.0,1.0,0,0,0,0,0,0,58,10.054615497589111
1,1.0,1.0,1.0,0,0,0,0,0,0,59,10.12652850151062
1,1.0,1.0,1.0,0,0,0,0,0,0,6,9.692302227020264
1,1.0,1.0,1.0,0,0,0,0,0,0,60,9.125314712524414
1,1.0,1.0,1.0,0,0,0,0,0,0,61,9.421175479888916
1,1.0,1.0,1.0,0,0,0,0,0,0,62,8.385404825210571
1,1.0,1.0,1.0,0,0,0,0,0,0,63,10.80436944961548
1,1.0,1.0,1.0,0,0,0,0,0,0,64,10.452147006988524
1,1.0,1.0,1.0,0,0,0,0,0,0,65,15.01183795928955
1,1.0,1.0,1.0,0,0,0,0,0,0,66,9.512787818908691
1,1.0,1.0,1.0,0,0,0,0,0,0,67,9.298023700714111
1,1.0,1.0,1.0,0,0,0,0,0,0,68,10.159555673599243
1,1.0,1.0,1.0,0,0,0,0,0,0,69,9.079084157943726
1,1.0,1.0,1.0,0,0,0,0,0,0,7,11.08572006225586
1,1.0,1.0,1.0,0,0,0,0,0,0,70,8.810546398162842
1,0.9411764705882352,1.0,0.8888888888888888,0,0,0,0,0,0,71,8.241988182067871
1,1.0,1.0,1.0,0,0,0,0,0,0,72,12.439651727676392
1,1.0,1.0,1.0,0,0,0,0,0,0,73,9.434391975402832
1,1.0,1.0,1.0,0,0,0,0,0,0,74,9.10608410835266
1,1.0,1.0,1.0,0,0,0,0,0,0,75,12.217543601989746
1,1.0,1.0,1.0,0,0,0,0,0,0,76,10.399052619934082
1,1.0,1.0,1.0,0,0,0,0,0,0,77,8.475723266601562
1,1.0,1.0,1.0,0,0,0,0,0,0,78,9.27953815460205
1,1.0,1.0,1.0,0,0,0,0,0,0,79,8.438934564590454
1,1.0,1.0,1.0,0,0,0,0,0,0,8,9.392664909362791
1,1.0,1.0,1.0,0,0,0,0,0,0,80,9.082314491271973
1,0.8,1.0,0.6666666666666666,0,0,0,0,0,0,81,9.385896682739258
1,0.9411764705882352,1.0,0.8888888888888888,0,0,0,0,0,0,82,9.099551439285278
1,1.0,1.0,1.0,0,0,0,0,0,0,83,9.188277244567873
