n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.4615384615384615,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,2179.1878657341003
2,0.4848484848484848,1.0,0.32,0.2758620689655173,1.0,0.16,0.0,0.0,0.0,0,2121.9460134506226
3,0.6486486486486487,1.0,0.48,0.2758620689655173,1.0,0.16,0.4615384615384615,1.0,0.3,0,2184.582099199295
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1990.3412687778475
2,1.0,1.0,1.0,0.6486486486486487,1.0,0.48,0.0,0.0,0.0,1,2054.6311926841736
3,1.0,1.0,1.0,0.05,0.1,0.0333333333333333,0.5,1.0,0.3333333333333333,1,2111.602042198181
1,0.4615384615384615,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10,2459.3577950000763
2,0.4615384615384615,1.0,0.3,0.3333333333333333,1.0,0.2,0.0,0.0,0.0,10,2475.552596092224
3,0.6486486486486487,1.0,0.48,0.0,0.0,0.0,0.5294117647058824,1.0,0.36,10,2502.2421708106995
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2395.793309211731
2,1.0,1.0,1.0,0.4615384615384615,1.0,0.3,0.0,0.0,0.0,11,2251.5220019817352
3,0.7499999999999999,1.0,0.6,0.4615384615384615,1.0,0.3,0.4848484848484848,1.0,0.32,11,2345.92755484581
1,0.6956521739130436,1.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,12,2588.654596567154
2,0.6956521739130436,1.0,0.5333333333333333,0.5714285714285715,1.0,0.4,0.0,0.0,0.0,12,2438.4536345005035
3,0.6956521739130436,1.0,0.5333333333333333,0.4210526315789474,1.0,0.2666666666666666,0.4210526315789474,1.0,0.2666666666666666,12,2505.832342863083
1,0.7499999999999999,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,13,2282.732479572296
2,0.7499999999999999,1.0,0.6,0.4848484848484848,1.0,0.32,0.0,0.0,0.0,13,2076.414504289627
3,0.7499999999999999,1.0,0.6,0.0,0.0,0.0,0.7499999999999999,1.0,0.6,13,2092.4368183612823
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14,2358.100029706955
2,0.7499999999999999,1.0,0.6,0.5714285714285715,1.0,0.4,0.0,0.0,0.0,14,2155.710081100464
3,0.7499999999999999,1.0,0.6,0.4472049689440993,1.0,0.288,0.4615384615384615,1.0,0.3,14,2151.824324607849
