n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.7499999999999999,1.0,0.6,0.0,0.0,0.0,0,0,0,0,9240.881690979004
1,0.5981308411214953,1.0,0.4266666666666667,0.0,0.0,0.0,0,0,0,1,9357.350631952286
1,0.4615384615384615,1.0,0.3,0.0,0.0,0.0,0,0,0,10,9508.899065732956
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,11,9616.85128235817
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,12,8962.766599416733
1,0.6486486486486487,1.0,0.48,0.0,0.0,0.0,0,0,0,13,9398.47615146637
1,0.4615384615384615,1.0,0.3,0.0,0.0,0.0,0,0,0,14,9270.376971006392
1,0.5714285714285715,1.0,0.4,0.0,0.0,0.0,0,0,0,15,8920.966902971268
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,16,7802.498544216156
1,0.3636363636363636,1.0,0.2222222222222222,0.0,0.0,0.0,0,0,0,17,9051.469188451769
1,0.4848484848484848,1.0,0.32,0.0,0.0,0.0,0,0,0,18,8067.862248897552
1,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0,0,0,19,9248.338581323624
1,0.6956521739130436,1.0,0.5333333333333333,0.0,0.0,0.0,0,0,0,2,8577.194791078568
1,0.4210526315789474,1.0,0.2666666666666666,0.0,0.0,0.0,0,0,0,20,8371.028057098389
1,0.6486486486486487,1.0,0.48,0.0,0.0,0.0,0,0,0,21,7635.583382129669
1,0.5454545454545454,1.0,0.375,0.0,0.0,0.0,0,0,0,22,8312.97633767128
1,0.8,1.0,0.6666666666666666,0.0,0.0,0.0,0,0,0,23,7756.503348112106
1,0.5714285714285715,1.0,0.4,0.0,0.0,0.0,0,0,0,24,8526.916104793549
1,0.4615384615384615,1.0,0.3,0.0,0.0,0.0,0,0,0,25,8923.010853528976
1,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,26,9302.51747250557
