n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.129848480224609
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8.54305124282837
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,9.702836036682127
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.724645376205444
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,6.437495231628418
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,10.151366472244264
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.191651821136475
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,6.750149250030518
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,8.176209449768066
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.933143377304077
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,6.534680604934692
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,10.050819635391235
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7.057064533233643
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,6.593730211257935
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,9.459298849105837
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6.858465671539307
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,7.392442941665649
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,7.853128910064697
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8.779907941818237
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,8.150543212890625
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,9.462836027145386
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6.915879249572754
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,6.494174718856812
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,7.99474835395813
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7.511431694030762
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,6.452596187591553
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,9.313581705093384
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6.986857891082764
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,6.621453046798706
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,8.106715679168701
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6.50667929649353
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,6.15859055519104
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,7.633824348449707
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6.929468870162964
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,6.47734808921814
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,8.085036277770996
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.390302419662476
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,6.658584833145142
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,7.983370780944824
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7.574992895126343
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,9.16619062423706
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,8.619054555892944
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6.769756317138672
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,6.479091644287109
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,10.13499903678894
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6.70914888381958
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,6.423601150512695
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,7.821437120437622
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,7.325822830200195
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,6.834388971328735
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,8.352617740631104
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6.906294345855713
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,6.482552528381348
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,8.002095699310303
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6.964730739593506
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,6.5083887577056885
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,8.000848293304443
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6.859246730804443
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,6.544025897979736
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,8.02654218673706
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6.70682430267334
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,8.287400722503662
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,7.856055498123169
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6.910038471221924
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,10.14005708694458
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,9.560303211212158
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,6.889251947402954
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,6.38776159286499
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,7.768786430358887
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.991729021072388
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,6.53235650062561
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,8.027251243591309
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,7.234886646270752
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,8.428065538406372
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,9.650516986846924
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,7.033979654312134
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,6.64336633682251
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31,8.20474100112915
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,6.929623603820801
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,6.493480920791626
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32,7.945921421051025
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,7.289153337478638
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,8.742865562438965
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33,9.930513143539429
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,6.713972091674805
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,6.219670057296753
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,7.675887107849121
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6.59443998336792
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35,6.373444557189941
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,9.57479691505432
