n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.3634147644043
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,51.73302936553955
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,60.73020577430725
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,57.09855651855469
2,0.7782672540381791,1.0,0.6370192307692307,1.0,1.0,1.0,0.0,0.0,0.0,1,61.80085968971253
3,1.0,1.0,1.0,0.8293029871977241,1.0,0.7083839611178615,0.923493568043331,1.0,0.8578616352201258,1,63.04472827911377
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,43.49207830429077
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,61.45980215072632
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10,61.59351325035095
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,45.09983587265015
2,0.7933284989122553,1.0,0.6574519230769231,1.0,1.0,1.0,0.0,0.0,0.0,11,60.39007568359375
3,1.0,1.0,1.0,0.2586206896551724,1.0,0.1485148514851485,0.9306184012066364,1.0,0.8702397743300423,11,63.019744634628296
1,0.7414330218068536,1.0,0.5891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,12,46.95228433609009
2,0.7414330218068536,1.0,0.5891089108910891,1.0,1.0,1.0,0.0,0.0,0.0,12,65.62136435508728
3,0.9014276002719238,1.0,0.8205445544554455,0.6897297297297298,1.0,0.5264026402640264,1.0,1.0,1.0,12,64.36736488342285
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,45.13138365745544
2,1.0,1.0,1.0,0.8501852832186342,1.0,0.7394106813996317,0.0,0.0,0.0,13,61.17502403259277
3,1.0,1.0,1.0,0.3773584905660378,0.5245901639344263,0.2946593001841621,1.0,1.0,1.0,13,58.66839766502381
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,42.85610389709473
2,1.0,1.0,1.0,0.918081180811808,1.0,0.8485675306957708,0.0,0.0,0.0,14,63.95228600502014
3,0.8501440922190202,1.0,0.7393483709273183,0.4261904761904762,1.0,0.2708018154311649,1.0,1.0,1.0,14,61.80078887939453
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,49.464852809906006
2,1.0,1.0,1.0,0.9292786421499292,1.0,0.8678996036988111,0.0,0.0,0.0,15,62.790289878845215
3,0.8341855368882395,1.0,0.7155388471177945,0.4156862745098039,1.0,0.2623762376237624,1.0,1.0,1.0,15,62.531373023986816
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,44.82661318778992
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,62.88155698776245
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,62.241389989852905
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,55.87862968444824
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,61.86237597465515
3,1.0,1.0,1.0,0.0,0.0,0.0,0.8675534991324466,1.0,0.7660878447395302,17,62.7567880153656
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,45.96143651008606
2,1.0,1.0,1.0,0.5061043285238623,0.5,0.5123595505617977,0.0,0.0,0.0,18,62.63595008850098
3,1.0,1.0,1.0,0.8059033989266547,1.0,0.6749063670411986,1.0,1.0,1.0,18,63.15849494934082
1,0.951231289232255,1.0,0.9069981583793738,0.0,0.0,0.0,0.0,0.0,0.0,19,54.61494421958923
2,0.951231289232255,1.0,0.9069981583793738,0.8457968024755028,1.0,0.7327971403038427,0.0,0.0,0.0,19,65.02075219154358
3,0.951231289232255,1.0,0.9069981583793738,0.0,0.0,0.0,1.0,1.0,1.0,19,62.81498098373413
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,30.35064172744751
2,1.0,1.0,1.0,0.9247666117517848,1.0,0.8600612870275791,0.0,0.0,0.0,2,50.55896782875061
3,1.0,1.0,1.0,0.9247666117517848,1.0,0.8600612870275791,1.0,1.0,1.0,2,54.532389640808105
1,0.876210979547901,1.0,0.7796934865900383,0.0,0.0,0.0,0.0,0.0,0.0,20,49.65419697761536
2,0.876210979547901,1.0,0.7796934865900383,0.850624192854068,1.0,0.7400749063670412,0.0,0.0,0.0,20,61.64327836036682
3,0.876210979547901,1.0,0.7796934865900383,0.0,0.0,0.0,0.9323882224645584,1.0,0.8733401430030644,20,62.037224531173706
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,56.73828768730164
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,62.0499107837677
3,0.9115572436245252,1.0,0.8374875373878365,0.5730267246737104,1.0,0.401567944250871,1.0,1.0,1.0,21,64.2710554599762
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,44.57729530334473
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,64.62693619728088
3,0.6821561338289963,1.0,0.5176304654442877,1.0,1.0,1.0,1.0,1.0,1.0,22,64.08471441268921
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,56.64575743675232
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,62.300140380859375
3,0.6920507682030729,1.0,0.5291113381001021,0.6513994910941476,1.0,0.4830188679245283,0.9237113402061856,1.0,0.8582375478927203,23,62.73690319061279
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,45.953045129776
2,1.0,1.0,1.0,0.773067331670823,1.0,0.6300813008130082,0.0,0.0,0.0,24,62.6881730556488
3,1.0,1.0,1.0,0.8220271348762969,1.0,0.6978319783197832,1.0,1.0,1.0,24,61.740867614746094
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,46.3052191734314
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,54.44727683067322
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,61.90193915367127
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,30.488120079040527
2,1.0,1.0,1.0,0.93196405648267,1.0,0.8725961538461539,0.0,0.0,0.0,26,62.537102460861206
3,1.0,1.0,1.0,0.93196405648267,1.0,0.8725961538461539,0.8720836685438456,1.0,0.7731811697574893,26,59.42027974128723
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,45.58537006378174
2,1.0,1.0,1.0,0.915235457063712,1.0,0.8437180796731358,0.0,0.0,0.0,27,63.260525703430176
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,27,61.13373589515686
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,42.2498140335083
2,1.0,1.0,1.0,0.9342762063227954,1.0,0.8766588602654176,0.0,0.0,0.0,28,59.159602642059326
3,1.0,1.0,1.0,0.3789571694599627,0.5006150061500615,0.3048689138576779,1.0,1.0,1.0,28,61.39195895195007
1,0.9272833042466552,1.0,0.8644251626898047,0.0,0.0,0.0,0.0,0.0,0.0,29,46.427279233932495
2,0.9272833042466552,1.0,0.8644251626898047,0.9014276002719238,1.0,0.8205445544554455,0.0,0.0,0.0,29,63.116443395614624
3,0.9347116430903156,1.0,0.8774259448416751,0.5442359249329758,1.0,0.3738489871086556,1.0,1.0,1.0,29,62.66088628768921
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,46.92074728012085
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,60.96857786178589
3,1.0,1.0,1.0,0.4087301587301588,1.0,0.256857855361596,0.7394668959587274,1.0,0.5866302864938608,3,59.14444136619568
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,61.70671629905701
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,59.60694241523743
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,30,57.96685218811035
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,33.66451096534729
