n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,10.16813611984253
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,15.788237810134888
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,10.440551280975342
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,16.45062565803528
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,10.38323974609375
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,10,15.725048303604126
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,10.26227593421936
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,11,16.030808925628662
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,15.276940822601318
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,12,12.775962591171265
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,15.740493297576904
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,13,12.99424409866333
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,13.793629169464111
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,14,12.217020988464355
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,10.407429933547974
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,15,15.826972723007202
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,14.055815696716309
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,16,14.33460807800293
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,13.141031265258787
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,17,14.573463678359984
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,18,10.064541101455688
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,18,11.683807134628296
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,19,10.28363585472107
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,19,15.026394128799438
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,10.490190029144289
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2,18.68705916404724
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,20,14.653910875320436
