n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.233110427856445
2,0.8934010152284264,1.0,0.8073394495412844,1.0,1.0,1.0,0.0,0.0,0.0,0,44.984121799468994
3,0.8934010152284264,1.0,0.8073394495412844,1.0,1.0,1.0,0.9043478260869564,1.0,0.8253968253968254,0,42.872843503952026
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37.54639530181885
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,44.76624202728272
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,44.04610562324524
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,35.124218702316284
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,41.7569363117218
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,41.722960233688354
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,43.359947681427
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,42.43239784240723
3,1.0,1.0,1.0,1.0,1.0,1.0,0.8825995807127883,1.0,0.7898686679174484,11,45.61151742935181
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,43.404550075531006
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,41.987525939941406
3,0.7870837537840566,1.0,0.64891846921797,1.0,1.0,1.0,1.0,1.0,1.0,12,44.55235290527344
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,36.65550231933594
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,43.21087956428528
3,0.7228525121555917,1.0,0.565989847715736,1.0,1.0,1.0,1.0,1.0,1.0,13,42.28196620941162
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35.0919828414917
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,45.98569250106812
3,1.0,1.0,1.0,0.513347022587269,1.0,0.3453038674033149,1.0,1.0,1.0,14,44.8424243927002
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,47.10670137405396
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,44.95343327522278
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,43.72739124298096
1,0.8837579617834395,1.0,0.7917261055634808,0.0,0.0,0.0,0.0,0.0,0.0,16,47.630919456481934
2,0.8837579617834395,1.0,0.7917261055634808,1.0,1.0,1.0,0.0,0.0,0.0,16,42.25751280784607
3,0.8837579617834395,1.0,0.7917261055634808,0.8875096974398758,1.0,0.797768479776848,1.0,1.0,1.0,16,41.83441638946533
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,45.566213607788086
2,1.0,1.0,1.0,0.8852459016393442,1.0,0.7941176470588235,0.0,0.0,0.0,17,43.41068482398987
3,1.0,1.0,1.0,0.8852459016393442,1.0,0.7941176470588235,0.8603435399551904,1.0,0.7549148099606815,17,43.03384494781494
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,26.60849404335022
2,1.0,1.0,1.0,0.8998505231689088,1.0,0.8179347826086957,0.0,0.0,0.0,18,45.28622794151306
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,43.633363246917725
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,48.28101658821106
2,1.0,1.0,1.0,0.877922077922078,1.0,0.7824074074074074,0.0,0.0,0.0,19,47.213054895401
3,0.955067920585162,1.0,0.914,0.877922077922078,1.0,0.7824074074074074,1.0,1.0,1.0,19,46.27088761329651
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,45.255855083465576
2,1.0,1.0,1.0,0.8711340206185566,1.0,0.771689497716895,0.0,0.0,0.0,2,46.637428283691406
3,1.0,1.0,1.0,0.8711340206185566,1.0,0.771689497716895,1.0,1.0,1.0,2,43.63025951385498
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,49.85955309867859
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,45.832857608795166
3,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,20,45.70775318145752
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,26.508909940719604
2,1.0,1.0,1.0,0.8946840521564694,1.0,0.809437386569873,0.0,0.0,0.0,21,43.43398809432984
3,1.0,1.0,1.0,0.8946840521564694,1.0,0.809437386569873,0.9092996555683124,1.0,0.8336842105263158,21,39.99779200553894
