n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,0.90072202166065,1.0,0.819376026272578,0.0,0.0,0.0,0.0,0.0,0.0,0,73.51437020301819
2,0.7609359104781283,1.0,0.6141215106732348,0.975609756097561,1.0,0.9523809523809524,0.0,0.0,0.0,0,66.85628509521484
3,0.9306409130816506,1.0,0.8702791461412152,0.0,0.0,0.0,1.0,1.0,1.0,0,62.11413025856018
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.77129864692688
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,64.5358874797821
3,0.7817258883248732,1.0,0.6416666666666667,0.8679245283018869,1.0,0.7666666666666667,1.0,1.0,1.0,1,62.74707460403442
1,0.9342327150084316,1.0,0.8765822784810127,0.0,0.0,0.0,0.0,0.0,0.0,10,62.13044619560242
2,0.6819603753910324,1.0,0.5174050632911392,1.0,1.0,1.0,0.0,0.0,0.0,10,61.80831956863403
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,59.85884475708008
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,67.92948579788208
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,59.34696793556213
3,0.6721144024514811,1.0,0.5061538461538462,1.0,1.0,1.0,0.914349276974416,1.0,0.8422131147540983,11,66.59809970855713
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,65.97286891937256
2,0.7150635208711433,1.0,0.556497175141243,0.955223880597015,1.0,0.9142857142857144,0.0,0.0,0.0,12,63.26052713394165
3,1.0,1.0,1.0,0.6111111111111112,1.0,0.44,0.7884615384615385,1.0,0.6507936507936508,12,69.26770424842834
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,70.60284876823425
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,64.71737456321716
3,0.761006289308176,1.0,0.6142131979695431,0.6973684210526315,1.0,0.5353535353535354,0.9362214199759326,1.0,0.8800904977375565,13,68.17871904373169
1,0.9546485260770976,1.0,0.913232104121475,0.0,0.0,0.0,0.0,0.0,0.0,14,62.82697010040283
2,0.9546485260770976,1.0,0.913232104121475,0.947107438016529,1.0,0.8995290423861853,0.0,0.0,0.0,14,62.61540293693543
3,0.9546485260770976,1.0,0.913232104121475,0.4075,1.0,0.2558869701726844,1.0,1.0,1.0,14,64.10220789909363
