n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,4.356112718582153
1,1.0,1.0,1.0,0,0,0,0,0,0,1,3.697433471679688
1,1.0,1.0,1.0,0,0,0,0,0,0,10,3.605687379837036
1,1.0,1.0,1.0,0,0,0,0,0,0,11,3.715704679489136
1,1.0,1.0,1.0,0,0,0,0,0,0,12,3.535060167312622
1,1.0,1.0,1.0,0,0,0,0,0,0,13,3.76279878616333
1,1.0,1.0,1.0,0,0,0,0,0,0,14,3.5388166904449463
1,1.0,1.0,1.0,0,0,0,0,0,0,15,2.9316017627716064
1,1.0,1.0,1.0,0,0,0,0,0,0,16,4.22156834602356
1,1.0,1.0,1.0,0,0,0,0,0,0,17,3.5845417976379395
1,1.0,1.0,1.0,0,0,0,0,0,0,18,2.9413084983825684
1,1.0,1.0,1.0,0,0,0,0,0,0,19,2.9847068786621094
1,1.0,1.0,1.0,0,0,0,0,0,0,2,3.807645559310913
1,1.0,1.0,1.0,0,0,0,0,0,0,20,3.650150775909424
1,1.0,1.0,1.0,0,0,0,0,0,0,21,3.6689701080322266
1,1.0,1.0,1.0,0,0,0,0,0,0,22,2.9904448986053467
1,1.0,1.0,1.0,0,0,0,0,0,0,23,2.9549784660339355
1,1.0,1.0,1.0,0,0,0,0,0,0,24,3.725274801254273
1,1.0,1.0,1.0,0,0,0,0,0,0,25,3.63243556022644
1,1.0,1.0,1.0,0,0,0,0,0,0,26,2.8477783203125
1,1.0,1.0,1.0,0,0,0,0,0,0,27,2.9792542457580566
1,1.0,1.0,1.0,0,0,0,0,0,0,28,3.649218797683716
1,1.0,1.0,1.0,0,0,0,0,0,0,29,2.9648361206054688
1,1.0,1.0,1.0,0,0,0,0,0,0,3,3.6238605976104736
1,1.0,1.0,1.0,0,0,0,0,0,0,30,2.9409821033477783
1,1.0,1.0,1.0,0,0,0,0,0,0,31,3.878371000289917
1,1.0,1.0,1.0,0,0,0,0,0,0,32,4.932051181793213
1,1.0,1.0,1.0,0,0,0,0,0,0,33,3.7439582347869873
1,1.0,1.0,1.0,0,0,0,0,0,0,34,3.666181087493897
1,1.0,1.0,1.0,0,0,0,0,0,0,35,4.916142463684082
1,1.0,1.0,1.0,0,0,0,0,0,0,36,4.022328615188599
1,1.0,1.0,1.0,0,0,0,0,0,0,37,2.9586880207061768
1,1.0,1.0,1.0,0,0,0,0,0,0,38,4.352316856384277
1,1.0,1.0,1.0,0,0,0,0,0,0,39,3.769496440887451
1,1.0,1.0,1.0,0,0,0,0,0,0,4,3.550522327423096
1,1.0,1.0,1.0,0,0,0,0,0,0,40,3.6822621822357178
1,1.0,1.0,1.0,0,0,0,0,0,0,41,3.7100791931152335
1,1.0,1.0,1.0,0,0,0,0,0,0,42,4.358672618865967
1,1.0,1.0,1.0,0,0,0,0,0,0,43,3.072763681411743
1,1.0,1.0,1.0,0,0,0,0,0,0,44,2.994218349456787
1,1.0,1.0,1.0,0,0,0,0,0,0,45,2.8803551197052
1,1.0,1.0,1.0,0,0,0,0,0,0,46,5.080415964126587
1,1.0,1.0,1.0,0,0,0,0,0,0,47,4.2444281578063965
1,1.0,1.0,1.0,0,0,0,0,0,0,48,4.296412944793701
1,1.0,1.0,1.0,0,0,0,0,0,0,49,4.879019975662232
1,1.0,1.0,1.0,0,0,0,0,0,0,5,4.287024021148682
1,1.0,1.0,1.0,0,0,0,0,0,0,50,2.895127773284912
1,1.0,1.0,1.0,0,0,0,0,0,0,51,4.727923154830933
1,1.0,1.0,1.0,0,0,0,0,0,0,52,4.252079963684082
1,1.0,1.0,1.0,0,0,0,0,0,0,53,3.8188862800598153
1,1.0,1.0,1.0,0,0,0,0,0,0,54,3.4858996868133545
1,1.0,1.0,1.0,0,0,0,0,0,0,55,4.2582104206085205
1,1.0,1.0,1.0,0,0,0,0,0,0,56,3.784780740737915
1,1.0,1.0,1.0,0,0,0,0,0,0,57,4.241262197494507
1,1.0,1.0,1.0,0,0,0,0,0,0,58,4.260626792907715
1,1.0,1.0,1.0,0,0,0,0,0,0,59,4.200291395187378
1,1.0,1.0,1.0,0,0,0,0,0,0,6,3.0006208419799805
1,1.0,1.0,1.0,0,0,0,0,0,0,60,3.5672922134399414
1,1.0,1.0,1.0,0,0,0,0,0,0,61,3.539472818374634
1,1.0,1.0,1.0,0,0,0,0,0,0,62,4.16365122795105
1,1.0,1.0,1.0,0,0,0,0,0,0,63,3.500650644302368
1,1.0,1.0,1.0,0,0,0,0,0,0,64,2.8859689235687256
1,1.0,1.0,1.0,0,0,0,0,0,0,65,3.685289144515991
1,1.0,1.0,1.0,0,0,0,0,0,0,66,4.8690245151519775
1,1.0,1.0,1.0,0,0,0,0,0,0,67,3.091585397720337
1,1.0,1.0,1.0,0,0,0,0,0,0,68,2.9781486988067627
1,1.0,1.0,1.0,0,0,0,0,0,0,69,4.292245149612427
1,1.0,1.0,1.0,0,0,0,0,0,0,7,3.563962697982788
1,1.0,1.0,1.0,0,0,0,0,0,0,70,4.1340491771698
1,1.0,1.0,1.0,0,0,0,0,0,0,71,3.914547920227051
1,1.0,1.0,1.0,0,0,0,0,0,0,72,3.649732828140259
1,1.0,1.0,1.0,0,0,0,0,0,0,73,2.95076847076416
1,1.0,1.0,1.0,0,0,0,0,0,0,74,3.514787197113037
1,1.0,1.0,1.0,0,0,0,0,0,0,75,3.723490715026856
1,1.0,1.0,1.0,0,0,0,0,0,0,76,4.155693531036377
1,1.0,1.0,1.0,0,0,0,0,0,0,77,4.281523704528809
1,1.0,1.0,1.0,0,0,0,0,0,0,78,4.227038860321045
1,1.0,1.0,1.0,0,0,0,0,0,0,79,4.287585735321045
1,1.0,1.0,1.0,0,0,0,0,0,0,8,4.284512996673584
1,1.0,1.0,1.0,0,0,0,0,0,0,80,4.796612501144409
1,1.0,1.0,1.0,0,0,0,0,0,0,81,3.642356157302856
1,1.0,1.0,1.0,0,0,0,0,0,0,82,3.0110886096954346
1,1.0,1.0,1.0,0,0,0,0,0,0,83,4.180970668792725
1,1.0,1.0,1.0,0,0,0,0,0,0,84,3.578486680984497
1,1.0,1.0,1.0,0,0,0,0,0,0,85,3.6244418621063232
1,1.0,1.0,1.0,0,0,0,0,0,0,86,2.935587882995605
1,1.0,1.0,1.0,0,0,0,0,0,0,87,4.821000814437866
1,1.0,1.0,1.0,0,0,0,0,0,0,88,4.265229225158691
1,1.0,1.0,1.0,0,0,0,0,0,0,89,3.627827405929565
1,1.0,1.0,1.0,0,0,0,0,0,0,9,3.592074394226074
1,1.0,1.0,1.0,0,0,0,0,0,0,90,3.6054575443267822
1,1.0,1.0,1.0,0,0,0,0,0,0,91,4.217843294143677
1,1.0,1.0,1.0,0,0,0,0,0,0,92,4.455458402633667
1,1.0,1.0,1.0,0,0,0,0,0,0,93,3.882845401763916
1,1.0,1.0,1.0,0,0,0,0,0,0,94,2.9070799350738525
1,1.0,1.0,1.0,0,0,0,0,0,0,95,4.394029378890991
1,1.0,1.0,1.0,0,0,0,0,0,0,96,3.6030914783477774
1,1.0,1.0,1.0,0,0,0,0,0,0,97,3.007098436355591
1,1.0,1.0,1.0,0,0,0,0,0,0,98,3.0359432697296143
1,1.0,1.0,1.0,0,0,0,0,0,0,99,4.254765510559082
