n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,5.306289196014404
1,1.0,1.0,1.0,0,0,0,0,0,0,1,5.2773354053497314
1,1.0,1.0,1.0,0,0,0,0,0,0,10,5.30623984336853
1,1.0,1.0,1.0,0,0,0,0,0,0,11,5.226384401321411
1,1.0,1.0,1.0,0,0,0,0,0,0,12,5.356606721878052
1,1.0,1.0,1.0,0,0,0,0,0,0,13,5.239199638366699
1,1.0,1.0,1.0,0,0,0,0,0,0,14,5.2319817543029785
1,1.0,1.0,1.0,0,0,0,0,0,0,15,5.21940279006958
1,1.0,1.0,1.0,0,0,0,0,0,0,16,5.30970025062561
1,1.0,1.0,1.0,0,0,0,0,0,0,17,5.277985095977783
1,1.0,1.0,1.0,0,0,0,0,0,0,18,6.918562412261963
1,1.0,1.0,1.0,0,0,0,0,0,0,19,5.137593984603882
1,1.0,1.0,1.0,0,0,0,0,0,0,2,5.259984731674194
1,1.0,1.0,1.0,0,0,0,0,0,0,20,5.4161036014556885
1,1.0,1.0,1.0,0,0,0,0,0,0,21,5.201996803283691
1,1.0,1.0,1.0,0,0,0,0,0,0,22,5.21460223197937
1,1.0,1.0,1.0,0,0,0,0,0,0,23,5.247879266738892
1,1.0,1.0,1.0,0,0,0,0,0,0,24,5.2247233390808105
1,1.0,1.0,1.0,0,0,0,0,0,0,25,5.281772375106812
1,1.0,1.0,1.0,0,0,0,0,0,0,26,5.226088523864746
1,1.0,1.0,1.0,0,0,0,0,0,0,27,5.627141714096069
1,1.0,1.0,1.0,0,0,0,0,0,0,28,5.2768638134002686
1,1.0,1.0,1.0,0,0,0,0,0,0,29,7.01800799369812
1,1.0,1.0,1.0,0,0,0,0,0,0,3,5.261775016784668
1,1.0,1.0,1.0,0,0,0,0,0,0,30,5.19290018081665
1,1.0,1.0,1.0,0,0,0,0,0,0,31,5.194070816040039
1,1.0,1.0,1.0,0,0,0,0,0,0,32,5.250691175460815
1,1.0,1.0,1.0,0,0,0,0,0,0,33,5.296070337295532
1,1.0,1.0,1.0,0,0,0,0,0,0,34,5.154448509216309
1,1.0,1.0,1.0,0,0,0,0,0,0,35,5.372293949127197
1,1.0,1.0,1.0,0,0,0,0,0,0,36,5.202078342437744
1,1.0,1.0,1.0,0,0,0,0,0,0,37,5.203609943389893
1,1.0,1.0,1.0,0,0,0,0,0,0,38,5.348507881164551
1,1.0,1.0,1.0,0,0,0,0,0,0,39,5.377012491226196
1,1.0,1.0,1.0,0,0,0,0,0,0,4,5.31043815612793
1,1.0,1.0,1.0,0,0,0,0,0,0,40,5.189937353134155
1,1.0,1.0,1.0,0,0,0,0,0,0,41,6.926486492156982
1,1.0,1.0,1.0,0,0,0,0,0,0,42,5.410917520523071
1,1.0,1.0,1.0,0,0,0,0,0,0,43,5.210880994796753
1,1.0,1.0,1.0,0,0,0,0,0,0,44,5.320096969604492
1,1.0,1.0,1.0,0,0,0,0,0,0,45,5.278375148773193
1,1.0,1.0,1.0,0,0,0,0,0,0,46,6.889085292816162
1,1.0,1.0,1.0,0,0,0,0,0,0,47,5.266592264175415
1,1.0,1.0,1.0,0,0,0,0,0,0,48,5.252293825149536
1,1.0,1.0,1.0,0,0,0,0,0,0,49,5.195747375488281
1,1.0,1.0,1.0,0,0,0,0,0,0,5,5.415123701095581
1,1.0,1.0,1.0,0,0,0,0,0,0,50,5.281479835510254
1,1.0,1.0,1.0,0,0,0,0,0,0,51,5.326073408126831
1,1.0,1.0,1.0,0,0,0,0,0,0,52,5.2289252281188965
1,1.0,1.0,1.0,0,0,0,0,0,0,53,5.253147840499878
1,1.0,1.0,1.0,0,0,0,0,0,0,54,5.271925449371338
1,1.0,1.0,1.0,0,0,0,0,0,0,55,5.250034332275391
1,1.0,1.0,1.0,0,0,0,0,0,0,56,6.394774913787842
1,1.0,1.0,1.0,0,0,0,0,0,0,57,5.205254077911377
1,1.0,1.0,1.0,0,0,0,0,0,0,58,5.328282594680786
1,1.0,1.0,1.0,0,0,0,0,0,0,59,5.280216932296753
1,1.0,1.0,1.0,0,0,0,0,0,0,6,5.18977689743042
1,1.0,1.0,1.0,0,0,0,0,0,0,60,5.232604265213013
1,1.0,1.0,1.0,0,0,0,0,0,0,61,5.203218698501587
1,1.0,1.0,1.0,0,0,0,0,0,0,62,5.16272497177124
1,1.0,1.0,1.0,0,0,0,0,0,0,63,5.2180140018463135
1,1.0,1.0,1.0,0,0,0,0,0,0,64,5.247526407241821
1,1.0,1.0,1.0,0,0,0,0,0,0,65,5.251527309417725
1,1.0,1.0,1.0,0,0,0,0,0,0,66,5.265766143798828
1,1.0,1.0,1.0,0,0,0,0,0,0,67,5.73324990272522
1,1.0,1.0,1.0,0,0,0,0,0,0,68,5.324830055236816
1,1.0,1.0,1.0,0,0,0,0,0,0,69,5.282455205917358
1,1.0,1.0,1.0,0,0,0,0,0,0,7,6.063950777053833
1,1.0,1.0,1.0,0,0,0,0,0,0,70,5.271263599395752
1,1.0,1.0,1.0,0,0,0,0,0,0,71,5.280934810638428
1,1.0,1.0,1.0,0,0,0,0,0,0,72,5.648632287979126
1,1.0,1.0,1.0,0,0,0,0,0,0,73,5.344491481781006
1,1.0,1.0,1.0,0,0,0,0,0,0,74,5.2238099575042725
1,1.0,1.0,1.0,0,0,0,0,0,0,75,5.628468036651611
1,1.0,1.0,1.0,0,0,0,0,0,0,76,5.334271669387817
1,1.0,1.0,1.0,0,0,0,0,0,0,77,5.321185111999512
1,1.0,1.0,1.0,0,0,0,0,0,0,78,5.423393964767456
1,1.0,1.0,1.0,0,0,0,0,0,0,79,6.467423915863037
1,1.0,1.0,1.0,0,0,0,0,0,0,8,5.206302404403687
1,1.0,1.0,1.0,0,0,0,0,0,0,80,5.178431034088135
1,1.0,1.0,1.0,0,0,0,0,0,0,81,5.267683744430542
1,1.0,1.0,1.0,0,0,0,0,0,0,82,5.3346381187438965
1,1.0,1.0,1.0,0,0,0,0,0,0,83,5.216803789138794
1,1.0,1.0,1.0,0,0,0,0,0,0,84,5.247227191925049
1,1.0,1.0,1.0,0,0,0,0,0,0,85,5.417314052581787
1,1.0,1.0,1.0,0,0,0,0,0,0,86,5.163265228271484
1,1.0,1.0,1.0,0,0,0,0,0,0,87,6.995708465576172
1,1.0,1.0,1.0,0,0,0,0,0,0,88,5.376035690307617
1,1.0,1.0,1.0,0,0,0,0,0,0,89,5.327773332595825
1,1.0,1.0,1.0,0,0,0,0,0,0,9,5.246924161911011
1,1.0,1.0,1.0,0,0,0,0,0,0,90,5.287291765213013
1,1.0,1.0,1.0,0,0,0,0,0,0,91,5.327598810195923
1,1.0,1.0,1.0,0,0,0,0,0,0,92,5.397480487823486
1,1.0,1.0,1.0,0,0,0,0,0,0,93,5.300281047821045
1,1.0,1.0,1.0,0,0,0,0,0,0,94,6.937889099121094
1,1.0,1.0,1.0,0,0,0,0,0,0,95,5.289053916931152
1,1.0,1.0,1.0,0,0,0,0,0,0,96,5.21200966835022
1,1.0,1.0,1.0,0,0,0,0,0,0,97,5.28984808921814
1,1.0,1.0,1.0,0,0,0,0,0,0,98,5.421281576156616
1,1.0,1.0,1.0,0,0,0,0,0,0,99,7.022480010986328
