sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,CUDA AND TextureMemory AND pixelPerThread = 3.00,1,1.0,1.0,1.0,0
uniform,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND NOT bs_128x1 AND NOT bs_256x2 AND NOT bs_32x1 AND NOT bs_32x16 AND NOT bs_32x4 AND pixelPerThread = 1.00,0,0.8648648648648648,1.0,0.7619047619047619,0
bi_modal_split,2635,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Linear1D,1,1.0,1.0,1.0,0
tri_modal_split,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,CUDA AND TextureMemory AND pixelPerThread = 3.00,1,1.0,1.0,1.0,0
normal,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,10
uniform,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,0,1.0,1.0,1.0,10
bi_modal_split,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,10
tri_modal_split,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,10
power_law,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND NOT bs_256x4 AND NOT bs_32x1 AND pixelPerThread = 1.00,0,0.95,1.0,0.9047619047619048,10
normal,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,CUDA AND TextureMemory AND pixelPerThread = 2.00,1,1.0,1.0,1.0,11
uniform,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,CUDA AND TextureMemory AND pixelPerThread = 2.00,0,1.0,1.0,1.0,11
bi_modal_split,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,CUDA AND TextureMemory AND pixelPerThread = 2.00,1,1.0,1.0,1.0,11
tri_modal_split,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,CUDA AND TextureMemory AND pixelPerThread = 2.00,1,1.0,1.0,1.0,11
normal,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,CUDA AND Linear2D AND TextureMemory,1,1.0,1.0,1.0,12
uniform,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D,0,1.0,1.0,1.0,12
bi_modal_split,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D,1,1.0,1.0,1.0,12
tri_modal_split,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D,1,1.0,1.0,1.0,12
power_law,2635,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D,0,1.0,1.0,1.0,12
normal,2635,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,NOT Array2D AND Linear1D,0,1.0,1.0,1.0,13
uniform,2635,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Linear1D,0,1.0,1.0,1.0,13
bi_modal_split,2635,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Linear1D,1,1.0,1.0,1.0,13
