sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,688,antiAliasing = 1 AND skipUpscaling = 1 AND threads = 10,antiAliasing AND skipUpscaling AND threads = 10.00,0,1.0,1.0,1.0,0
uniform,753,android = 1 AND scaleIsHeightDp = 1 AND threads = 10,android AND scaleIsHeightDp AND threads = 10.00,0,1.0,1.0,1.0,0
bi_modal_split,911,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND skipUpscaling = 1,androidMipmapInsteadOfDrawable AND NOT web AND NOT win AND skipUpscaling,0,1.0,1.0,1.0,0
tri_modal_split,922,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND scaleIsHeightDp = 1,androidMipmapInsteadOfDrawable AND scaleIsHeightDp AND NOT win,0,1.0,1.0,1.0,0
power_law,1051,android = 1 AND antiAliasing = 1 AND threads = 90,NOT ios AND NOT web AND NOT win AND antiAliasing AND threads = 90.00,0,1.0,1.0,1.0,0
normal,699,android = 1 AND ceil = 1 AND threads = 90,android AND NOT web AND ceil AND threads = 90.00,0,1.0,1.0,1.0,10
uniform,699,android = 1 AND ceil = 1 AND threads = 90,android AND ceil AND threads = 90.00,0,1.0,1.0,1.0,10
bi_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,android AND NOT win AND ceil AND threads = 90.00,0,1.0,1.0,1.0,10
tri_modal_split,699,android = 1 AND ceil = 1 AND threads = 90,android AND NOT win AND ceil AND threads = 90.00,0,1.0,1.0,1.0,10
power_law,699,android = 1 AND ceil = 1 AND threads = 90,android AND ceil AND threads = 90.00,0,1.0,1.0,1.0,10
normal,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android AND NOT web AND antiAliasing AND skipUpscaling,0,1.0,1.0,1.0,11
uniform,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,NOT ios AND NOT web AND NOT win AND antiAliasing AND skipUpscaling,0,1.0,1.0,1.0,11
bi_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,NOT iosCreateImagesetFolders AND android AND NOT win AND antiAliasing AND skipUpscaling,1,1.0,1.0,1.0,11
tri_modal_split,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,NOT ios AND NOT web AND NOT win AND antiAliasing AND skipUpscaling,0,1.0,1.0,1.0,11
power_law,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android AND antiAliasing AND skipUpscaling,0,1.0,1.0,1.0,11
normal,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,NOT iosCreateImagesetFolders AND antiAliasing AND androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,12
uniform,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,NOT iosCreateImagesetFolders AND antiAliasing AND androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,12
bi_modal_split,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,NOT iosCreateImagesetFolders AND NOT win AND antiAliasing AND androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,12
tri_modal_split,942,android = 1 AND antiAliasing = 1 AND androidIncludeLdpiTvdpi = 1,NOT win AND antiAliasing AND androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,12
