sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,213,PAGE_STORE_TRIM = 1 AND RECOMPILE_ALWAYS = 1 AND DEFRAG_ALWAYS = 1,PAGE_STORE_TRIM AND RECOMPILE_ALWAYS AND DEFRAG_ALWAYS,0,1.0,1.0,1.0,0
uniform,388,IGNORE_CATALOGS = 1 AND DROP_RESTRICT = 1 AND DEFRAG_ALWAYS = 1,IGNORE_CATALOGS AND DROP_RESTRICT AND DEFRAG_ALWAYS,0,1.0,1.0,1.0,0
bi_modal_split,331,OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND IGNORE_CATALOGS = 1 AND OPTIMIZE_OR = 1,OPTIMIZE_EVALUATABLE_SUBQUERIES AND IGNORE_CATALOGS AND OPTIMIZE_OR,0,1.0,1.0,1.0,0
tri_modal_split,314,OPTIMIZE_IN_SELECT = 1 AND IGNORE_CATALOGS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,NOT PAGE_STORE_TRIM AND NOT PAGE_STORE_INTERNAL_COUNT AND MVSTORE,0,0.0,0.0,0.0,0
power_law,360,OPTIMIZE_IN_SELECT = 1 AND RECOMPILE_ALWAYS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_IN_SELECT AND RECOMPILE_ALWAYS AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,0
normal,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS AND PAGE_STORE_TRIM AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,10
uniform,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS AND PAGE_STORE_TRIM AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,10
bi_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS AND PAGE_STORE_TRIM AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,10
tri_modal_split,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS AND PAGE_STORE_TRIM AND PAGE_STORE_INTERNAL_COUNT,1,1.0,1.0,1.0,10
power_law,224,OPTIMIZE_TWO_EQUALS = 1 AND PAGE_STORE_TRIM = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_TWO_EQUALS AND PAGE_STORE_TRIM AND PAGE_STORE_INTERNAL_COUNT,1,1.0,1.0,1.0,10
normal,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT AND COMPRESS AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,11
uniform,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT AND COMPRESS AND PAGE_STORE_INTERNAL_COUNT,0,1.0,1.0,1.0,11
bi_modal_split,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT AND COMPRESS AND PAGE_STORE_INTERNAL_COUNT,1,1.0,1.0,1.0,11
tri_modal_split,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT AND COMPRESS AND PAGE_STORE_INTERNAL_COUNT,1,1.0,1.0,1.0,11
power_law,380,OPTIMIZE_INSERT_FROM_SELECT = 1 AND COMPRESS = 1 AND PAGE_STORE_INTERNAL_COUNT = 1,OPTIMIZE_INSERT_FROM_SELECT AND COMPRESS AND PAGE_STORE_INTERNAL_COUNT,1,1.0,1.0,1.0,11
normal,355,OPTIMIZE_IN_LIST = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND IGNORE_CATALOGS = 1,OPTIMIZE_IN_LIST AND OPTIMIZE_EVALUATABLE_SUBQUERIES AND IGNORE_CATALOGS,0,1.0,1.0,1.0,12
uniform,355,OPTIMIZE_IN_LIST = 1 AND OPTIMIZE_EVALUATABLE_SUBQUERIES = 1 AND IGNORE_CATALOGS = 1,OPTIMIZE_IN_LIST AND OPTIMIZE_EVALUATABLE_SUBQUERIES AND IGNORE_CATALOGS,0,1.0,1.0,1.0,12
