sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,443,ROLZX = 1 AND BWTS = 1 AND checksum = 1,ROLZX AND BWTS AND checksum,1,1.0,1.0,1.0,0
uniform,425,TEXT = 1 AND LZ = 1 AND SRT = 1,TEXT AND LZ AND SRT,0,1.0,1.0,1.0,0
bi_modal_split,464,TEXT = 1 AND BWTS = 1 AND SRT = 1,TEXT AND BWTS AND SRT,1,1.0,1.0,1.0,0
tri_modal_split,599,BWTS = 1 AND SRT = 1 AND checksum = 1,BWTS AND SRT AND checksum AND NOT CM,0,0.9645635263612792,1.0,0.9315525876460768,0
power_law,475,BWTS = 1 AND LZ = 1 AND MTFT = 1,BWTS AND LZ AND NOT MTFT AND NOT ANS0,0,0.9651416122004356,1.0,0.9326315789473684,0
normal,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP AND BWTS AND ROLZ,0,1.0,1.0,1.0,10
uniform,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP AND BWTS AND ROLZ,0,1.0,1.0,1.0,10
bi_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP AND BWTS AND ROLZ,1,1.0,1.0,1.0,10
tri_modal_split,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP AND BWTS AND ROLZ,1,1.0,1.0,1.0,10
power_law,433,LZP = 1 AND BWTS = 1 AND ROLZ = 1,LZP AND NOT RANK AND NOT FPAQ AND NOT Range AND ROLZ,2,0.8227848101265823,0.9103641456582632,0.7505773672055427,10
normal,671,BWTS = 1 AND LZ = 1 AND checksum = 1,BWTS AND LZ AND checksum,0,1.0,1.0,1.0,11
uniform,671,BWTS = 1 AND LZ = 1 AND checksum = 1,BWTS AND LZ AND checksum,0,1.0,1.0,1.0,11
bi_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,BWTS AND LZ AND checksum,1,1.0,1.0,1.0,11
tri_modal_split,671,BWTS = 1 AND LZ = 1 AND checksum = 1,BWTS AND LZ AND checksum,1,1.0,1.0,1.0,11
power_law,671,BWTS = 1 AND LZ = 1 AND checksum = 1,BWTS AND LZ AND checksum AND NOT Range,1,0.9771341463414634,1.0,0.955290611028316,11
