sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND NOT gzip AND unlimitedWindowSize,1,0.9090909090909092,1.0,0.8333333333333334,0
uniform,24,integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,integrityCheck AND nice AND unlimitedWindowSize,0,1.0,1.0,1.0,0
bi_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,0,1.0,1.0,1.0,0
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,NOT bzip2 AND lzo AND NOT noBackend AND nice,0,0.2909090909090909,0.2580645161290322,0.3333333333333333,0
power_law,24,encryption = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption AND nice AND unlimitedWindowSize,3,1.0,1.0,1.0,0
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,0,1.0,1.0,1.0,10
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,0,1.0,1.0,1.0,10
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,4,1.0,1.0,1.0,10
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND NOT bzip2 AND NOT gzip AND NOT noBackend AND nice AND multithreading,1,0.6666666666666666,1.0,0.5,10
power_law,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,1,1.0,1.0,1.0,10
normal,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,11
uniform,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,11
bi_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT bzip2 AND NOT noBackend AND multithreading AND unlimitedWindowSize,3,0.8,1.0,0.6666666666666666,11
tri_modal_split,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,11
power_law,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT noBackend AND multithreading AND unlimitedWindowSize,1,0.9090909090909092,1.0,0.8333333333333334,11
normal,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,3,1.0,1.0,1.0,12
uniform,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,0,1.0,1.0,1.0,12
bi_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,0,1.0,1.0,1.0,12
tri_modal_split,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,integrityCheck AND NOT lzo AND NOT noBackend AND NOT disableLzoCompressibilityTesting,0,0.3380281690140845,0.25,0.5217391304347826,12
power_law,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,4,1.0,1.0,1.0,12
normal,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,13
uniform,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND NOT gzip AND multithreading AND unlimitedWindowSize,1,0.9090909090909092,1.0,0.8333333333333334,13
bi_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,13
tri_modal_split,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT gzip AND NOT lzo AND multithreading,1,0.3333333333333333,0.25,0.5,13
power_law,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND NOT bzip2 AND multithreading AND unlimitedWindowSize,2,0.9090909090909092,1.0,0.8333333333333334,13
normal,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,0,1.0,1.0,1.0,14
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,0,1.0,1.0,1.0,14
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,4,1.0,1.0,1.0,14
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,1,1.0,1.0,1.0,14
power_law,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,0,1.0,1.0,1.0,14
normal,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND NOT noBackend AND multithreading,0,0.625,0.5,0.8333333333333334,15
uniform,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,2,1.0,1.0,1.0,15
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,0,1.0,1.0,1.0,15
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,integrityCheck AND NOT gzip AND multithreading AND unlimitedWindowSize,0,0.4545454545454545,0.5,0.4166666666666667,15
power_law,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,NOT zpaq AND NOT nice AND multithreading,2,0.3125,0.25,0.4166666666666667,15
normal,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND unlimitedWindowSize,2,1.0,1.0,1.0,16
uniform,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND unlimitedWindowSize,0,1.0,1.0,1.0,16
bi_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND unlimitedWindowSize,2,0.6666666666666666,0.5,1.0,16
tri_modal_split,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND unlimitedWindowSize,0,1.0,1.0,1.0,16
power_law,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND unlimitedWindowSize,0,1.0,1.0,1.0,16
normal,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND multithreading AND unlimitedWindowSize,3,1.0,1.0,1.0,17
uniform,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND multithreading AND unlimitedWindowSize,2,1.0,1.0,1.0,17
bi_modal_split,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,17
tri_modal_split,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND unlimitedWindowSize AND disableLzoCompressibilityTesting,4,0.25,0.5,0.1666666666666666,17
power_law,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,nice AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,17
normal,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,0,1.0,1.0,1.0,18
uniform,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,0,1.0,1.0,1.0,18
bi_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,2,1.0,1.0,1.0,18
tri_modal_split,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND NOT bzip2 AND nice AND multithreading,0,0.9090909090909092,1.0,0.8333333333333334,18
