sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,607,no-scenecut = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-scenecut AND no-mbtree AND cpu-independent,0,1.0,1.0,1.0,0
uniform,584,no-deblock = 1 AND no-fast-pskip = 1 AND cpu-independent = 1,no-deblock AND no-fast-pskip AND cpu-independent,0,1.0,1.0,1.0,0
bi_modal_split,622,no-deblock = 1 AND no-weightb = 1 AND dts-compress = 1,no-deblock AND no-weightb AND dts-compress,0,1.0,1.0,1.0,0
tri_modal_split,594,bff = 1 AND no-weightb = 1 AND cpu-independent = 1,bff AND no-weightb AND cpu-independent,1,1.0,1.0,1.0,0
power_law,601,no-chroma-me = 1 AND no-mbtree = 1 AND cpu-independent = 1,no-chroma-me AND no-mbtree AND cpu-independent,0,1.0,1.0,1.0,0
normal,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,open-gop AND no-mbtree AND cpu-independent,0,1.0,1.0,1.0,10
uniform,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,open-gop AND no-mbtree AND cpu-independent,0,1.0,1.0,1.0,10
bi_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,open-gop AND no-mbtree AND cpu-independent,1,1.0,1.0,1.0,10
tri_modal_split,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,open-gop AND no-mbtree AND cpu-independent,1,1.0,1.0,1.0,10
power_law,611,open-gop = 1 AND no-mbtree = 1 AND cpu-independent = 1,open-gop AND no-mbtree AND cpu-independent,0,1.0,1.0,1.0,10
normal,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,no-deblock AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,11
uniform,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,no-deblock AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,11
bi_modal_split,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,no-deblock AND cpu-independent AND NOT aud,1,1.0,1.0,1.0,11
tri_modal_split,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,no-deblock AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,11
power_law,575,no-deblock = 1 AND cpu-independent = 1 AND aud = 1,no-deblock AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,11
normal,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,12
uniform,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,12
bi_modal_split,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy AND cpu-independent AND dts-compress,1,1.0,1.0,1.0,12
tri_modal_split,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,NOT cpu-independent,0,0.0,0.0,0.0,12
power_law,609,no-psy = 1 AND cpu-independent = 1 AND dts-compress = 1,no-psy AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,12
normal,609,bff = 1 AND no-weightb = 1 AND aud = 1,bff AND no-weightb AND NOT aud,0,1.0,1.0,1.0,13
uniform,609,bff = 1 AND no-weightb = 1 AND aud = 1,bff AND no-weightb AND NOT aud,0,1.0,1.0,1.0,13
bi_modal_split,609,bff = 1 AND no-weightb = 1 AND aud = 1,bff AND no-weightb AND NOT aud,0,1.0,1.0,1.0,13
tri_modal_split,609,bff = 1 AND no-weightb = 1 AND aud = 1,bff AND no-weightb AND NOT aud,0,1.0,1.0,1.0,13
power_law,609,bff = 1 AND no-weightb = 1 AND aud = 1,bff AND no-weightb AND NOT aud,0,1.0,1.0,1.0,13
normal,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,no-cabac AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,14
uniform,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,no-cabac AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,14
bi_modal_split,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,no-cabac AND cpu-independent AND NOT aud,3,1.0,1.0,1.0,14
tri_modal_split,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,NOT non-deterministic AND NOT sliced-threads,4,0.0650666666666666,0.0480314960629921,0.1008264462809917,14
power_law,605,no-cabac = 1 AND cpu-independent = 1 AND aud = 1,no-cabac AND cpu-independent AND NOT aud,0,1.0,1.0,1.0,14
normal,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-mbtree AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,15
uniform,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-mbtree AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,15
bi_modal_split,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-mbtree AND cpu-independent AND dts-compress,1,1.0,1.0,1.0,15
tri_modal_split,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-mbtree AND cpu-independent AND dts-compress,1,1.0,1.0,1.0,15
power_law,619,no-mbtree = 1 AND cpu-independent = 1 AND dts-compress = 1,no-mbtree AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,15
normal,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-cabac AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,16
uniform,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-cabac AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,16
bi_modal_split,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-cabac AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,16
tri_modal_split,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-cabac AND no-chroma-me AND cpu-independent,1,1.0,1.0,1.0,16
power_law,606,no-cabac = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-cabac AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,16
normal,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-deblock AND no-mixed-refs AND cpu-independent,0,1.0,1.0,1.0,17
uniform,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-deblock AND no-mixed-refs AND cpu-independent,0,1.0,1.0,1.0,17
bi_modal_split,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-deblock AND no-mixed-refs AND cpu-independent,0,1.0,1.0,1.0,17
tri_modal_split,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-deblock AND no-mixed-refs AND cpu-independent,0,1.0,1.0,1.0,17
power_law,596,no-deblock = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-deblock AND no-mixed-refs AND cpu-independent,0,1.0,1.0,1.0,17
normal,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,intra-refresh AND no-weightb AND cpu-independent,0,1.0,1.0,1.0,18
uniform,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,intra-refresh AND no-weightb AND cpu-independent,0,1.0,1.0,1.0,18
bi_modal_split,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,intra-refresh AND no-weightb AND cpu-independent,1,1.0,1.0,1.0,18
tri_modal_split,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,NOT no-scenecut AND NOT pic-struct,2,0.0103225806451612,0.0082559339525283,0.0137693631669535,18
power_law,581,intra-refresh = 1 AND no-weightb = 1 AND cpu-independent = 1,intra-refresh AND no-weightb AND cpu-independent,0,1.0,1.0,1.0,18
normal,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,no-deblock AND no-psy AND cpu-independent,1,1.0,1.0,1.0,19
uniform,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,no-deblock AND no-psy AND cpu-independent,0,1.0,1.0,1.0,19
bi_modal_split,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,no-deblock AND no-psy AND cpu-independent,0,1.0,1.0,1.0,19
tri_modal_split,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,NOT no-deblock,0,0.0,0.0,0.0,19
power_law,588,no-deblock = 1 AND no-psy = 1 AND cpu-independent = 1,no-deblock AND no-psy AND cpu-independent,0,1.0,1.0,1.0,19
normal,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,intra-refresh AND no-deblock AND cpu-independent,0,1.0,1.0,1.0,1
uniform,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,intra-refresh AND no-deblock AND cpu-independent,0,1.0,1.0,1.0,1
bi_modal_split,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,intra-refresh AND no-deblock AND cpu-independent,0,1.0,1.0,1.0,1
tri_modal_split,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,NOT no-cabac AND NOT no-chroma-me,1,0.0294117647058823,0.0233690360272638,0.0396694214876033,1
power_law,605,intra-refresh = 1 AND no-deblock = 1 AND cpu-independent = 1,intra-refresh AND no-deblock AND cpu-independent,0,1.0,1.0,1.0,1
normal,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,intra-refresh AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,20
uniform,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,intra-refresh AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,20
bi_modal_split,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,intra-refresh AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,20
tri_modal_split,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,intra-refresh AND no-chroma-me AND cpu-independent,1,1.0,1.0,1.0,20
power_law,612,intra-refresh = 1 AND no-chroma-me = 1 AND cpu-independent = 1,intra-refresh AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,20
normal,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,no-8x8dct AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,21
uniform,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,no-8x8dct AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,21
bi_modal_split,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,no-8x8dct AND cpu-independent AND dts-compress,1,1.0,1.0,1.0,21
tri_modal_split,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,no-8x8dct AND cpu-independent AND dts-compress,1,1.0,1.0,1.0,21
power_law,592,no-8x8dct = 1 AND cpu-independent = 1 AND dts-compress = 1,no-8x8dct AND cpu-independent AND dts-compress,0,1.0,1.0,1.0,21
normal,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-scenecut AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,22
uniform,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-scenecut AND no-chroma-me AND cpu-independent,0,1.0,1.0,1.0,22
bi_modal_split,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,no-scenecut AND no-chroma-me AND cpu-independent,1,1.0,1.0,1.0,22
tri_modal_split,620,no-scenecut = 1 AND no-chroma-me = 1 AND cpu-independent = 1,NOT no-scenecut,0,0.0,0.0,0.0,22
