sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,212,hc3 = 1 AND Dist = 1 AND BlockSize = 1,hc3 AND NOT bt2 AND Dist AND BlockSize,0,1.0,1.0,1.0,0
uniform,245,bt4 = 1 AND MemoryLimit = 1 AND Nice = 1,NOT hc3 AND NOT hc4 AND NOT bt2 AND NOT bt3 AND MemoryLimit AND Nice,0,1.0,1.0,1.0,0
bi_modal_split,246,MemoryLimit = 1 AND BlockSize = 1 AND PositionBits = 1,MemoryLimit AND BlockSize AND NOT PositionBits,0,1.0,1.0,1.0,0
tri_modal_split,334,MemoryLimit = 1 AND Depth = 1 AND FlushTimeout = 1,MemoryLimit AND Depth AND FlushTimeout,4,1.0,1.0,1.0,0
power_law,201,sha256 = 1 AND Depth = 1 AND BlockSize = 1,sha256 AND Depth AND BlockSize,0,1.0,1.0,1.0,0
normal,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit AND Depth AND NOT PositionBits,0,1.0,1.0,1.0,10
uniform,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit AND Depth AND NOT PositionBits,0,1.0,1.0,1.0,10
bi_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit AND Depth AND NOT PositionBits,1,1.0,1.0,1.0,10
tri_modal_split,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit AND Depth AND NOT PositionBits,0,1.0,1.0,1.0,10
power_law,242,MemoryLimit = 1 AND Depth = 1 AND PositionBits = 1,MemoryLimit AND Depth AND NOT PositionBits,0,1.0,1.0,1.0,10
normal,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,NOT bt2 AND bt4 AND Nice AND BlockSize,0,1.0,1.0,1.0,11
uniform,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,NOT hc4 AND NOT bt3 AND bt4 AND Nice AND BlockSize,0,1.0,1.0,1.0,11
bi_modal_split,246,bt4 = 1 AND Nice = 1 AND BlockSize = 1,bt4 AND NOT Lc0Lp2 AND NOT Lc4Lp0 AND Nice AND BlockSize,1,0.9396551724137931,1.0,0.8861788617886179,11
