n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,57172.593713162845,13728,BZip2 = 1,BZip2,1,1.0,1.0,1.0,0,2805.2267937660217
2,46809.4572806119,6864,HeaderCompressionOff = 1 AND LZMA2 = 1,HeaderCompressionOff AND LZMA2 AND NOT PPMd,1,1.0,1.0,1.0,0,3073.0844326019287
3,8676.945115876662,3432,LZMA = 1 AND mtOff = 1 AND tmOff = 1,LZMA AND mtOff AND tmOff,0,1.0,1.0,1.0,0,3371.272281169892
4,38466.86204065976,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,1,1.0,1.0,1.0,0,3674.178283452988
1,42168.07850954649,6240,Files = 80,NOT BZip2 AND BlockSize != 4096.00 AND NOT Deflate AND Files = 80.00 AND NOT HeaderCompressionOff AND NOT mtOff AND tmOff,1,0.1294964028776978,1.0,0.0692307692307692,1,2865.3121976852417
2,32122.35627471416,6864,Deflate = 1 AND tmOff = 1,Deflate AND tmOff,1,1.0,1.0,1.0,1,3173.0819187164307
3,50872.43686410627,3432,BZip2 = 1 AND filterOff = 1 AND mtOff = 1,BZip2 AND filterOff AND mtOff,1,1.0,1.0,1.0,1,3424.5947680473328
4,14865.90492212144,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,0,1.0,1.0,1.0,1,3770.0294523239136
1,23041.58745345992,13728,LZMA = 1,LZMA,0,1.0,1.0,1.0,10,2930.639238834381
2,64132.55812287603,17160,HeaderCompressionOff = 1 AND tmOff = 1,HeaderCompressionOff AND tmOff,1,1.0,1.0,1.0,10,3018.6396205425262
3,58768.36147637136,3432,PPMd = 1 AND filterOff = 1 AND tmOff = 1,PPMd AND filterOff AND tmOff,1,1.0,1.0,1.0,10,3328.4874188899994
4,44781.5129090428,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,NOT filterOff,0,0.0,0.0,0.0,10,3698.252928495407
1,65219.103346984986,6240,Files = 0,Files != 0.00,0,0.0,0.0,0.0,11,2983.223295211792
2,31912.82621529852,6864,LZMA = 1 AND filterOff = 1,LZMA AND filterOff,1,1.0,1.0,1.0,11,3153.4073734283447
3,22290.72556936016,3432,HeaderCompressionOff = 1 AND LZMA2 = 1 AND filterOff = 1,HeaderCompressionOff AND LZMA2 AND filterOff,0,1.0,1.0,1.0,11,3669.9792354106894
4,42072.38233048191,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,1,1.0,1.0,1.0,11,3836.89962553978
1,43328.647893680834,13728,LZMA2 = 1,LZMA2,1,1.0,1.0,1.0,12,2861.065993785858
2,23733.852102754077,17160,filterOff = 1 AND tmOff = 1,filterOff AND tmOff,0,1.0,1.0,1.0,12,3015.1922082901
3,30078.15314175032,3432,BZip2 = 1 AND filterOff = 1 AND tmOff = 1,BZip2 AND filterOff AND tmOff,1,1.0,1.0,1.0,12,3428.791537284851
4,18101.7437716363,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,1,1.0,1.0,1.0,12,3618.3337903022766
1,18665.481177894348,13728,PPMd = 1,NOT BZip2 AND PPMd,1,1.0,1.0,1.0,13,2898.0212104320526
2,16522.680349509847,5720,HeaderCompressionOff = 1 AND x = 2,HeaderCompressionOff AND x = 2.00,0,1.0,1.0,1.0,13,3008.7950241565704
3,45298.70761359387,3432,HeaderCompressionOff = 1 AND LZMA2 = 1 AND tmOff = 1,HeaderCompressionOff AND LZMA2 AND tmOff,1,1.0,1.0,1.0,13,3099.478308916092
4,32038.808496851358,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,2,1.0,1.0,1.0,13,3254.521718978882
1,42991.143373274295,13728,LZMA = 1,LZMA,1,1.0,1.0,1.0,14,2842.0000324249268
2,53070.7428661961,6864,LZMA = 1 AND tmOff = 1,LZMA AND tmOff,1,1.0,1.0,1.0,14,3057.657039165497
3,21067.997066104297,3432,HeaderCompressionOff = 1 AND PPMd = 1 AND filterOff = 1,HeaderCompressionOff AND PPMd AND filterOff,0,1.0,1.0,1.0,14,3415.815084457397
4,35574.5790516255,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,1,1.0,1.0,1.0,14,3578.1246428489685
1,45276.23438701396,13728,Deflate = 1,Deflate,1,1.0,1.0,1.0,15,2861.6267104148865
2,60187.49086594972,6864,PPMd = 1 AND mtOff = 1,PPMd AND mtOff,1,1.0,1.0,1.0,15,3303.5450825691223
3,19516.80626817127,3432,HeaderCompressionOff = 1 AND LZMA2 = 1 AND filterOff = 1,HeaderCompressionOff AND LZMA2 AND filterOff,0,1.0,1.0,1.0,15,3386.3806347846985
4,15105.87193242152,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,0,1.0,1.0,1.0,15,3765.032267332077
1,12321.300914891011,11440,x = 10,x = 10.00,0,1.0,1.0,1.0,16,2954.591833591461
2,49591.96222619765,6864,LZMA = 1 AND mtOff = 1,LZMA AND mtOff,1,1.0,1.0,1.0,16,3080.466594696045
3,19292.32671768576,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,HeaderCompressionOff AND filterOff AND mtOff,0,1.0,1.0,1.0,16,3234.334678411484
4,49091.19855894213,4290,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND mtOff AND tmOff,1,1.0,1.0,1.0,16,3690.209546327591
1,45820.43105672384,6240,Files = 60,Files = 60.00 AND NOT PPMd AND NOT tmOff,4,0.5714285714285715,1.0,0.4,17,3063.0298743247986
2,31966.01473135488,6864,HeaderCompressionOff = 1 AND PPMd = 1,HeaderCompressionOff AND PPMd,0,1.0,1.0,1.0,17,3208.7729728221893
