n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,30.45467565270029,640,HAVE_HASH = 1,HAVE_HASH,1,1.0,1.0,1.0,0,338.4669997692108
2,8.801808117239196,640,HAVE_HASH = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND NOT DIAGNOSTIC.1 AND NOT HAVE_SEQUENCE.1 AND NOT HAVE_STATISTICS.1 AND NOT HAVE_VERIFY.1 AND NOT PAGESIZE.1,0,1.0,1.0,1.0,0,351.1680383682251
3,34.28785500278053,128,DIAGNOSTIC = 1 AND PAGESIZE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC AND PAGESIZE = 1.00 AND HAVE_CRYPTO AND NOT HAVE_REPLICATION.1 AND NOT HAVE_VERIFY.1,0,1.0,1.0,1.0,0,347.9855008125305
4,21.43162182368273,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC AND HAVE_HASH AND HAVE_STATISTICS,0,1.0,1.0,1.0,0,348.78406524658203
1,32.139006955147266,512,PAGESIZE = 16,CACHESIZE = 512.00 AND PAGESIZE = 16.00,3,0.4,1.0,0.25,1,336.81419467926025
2,30.561544748402863,128,HAVE_HASH = 1 AND PAGESIZE = 4,HAVE_HASH AND PAGESIZE = 4.00,0,1.0,1.0,1.0,1,325.6022224426269
3,28.997988623627407,160,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_VERIFY = 1,DIAGNOSTIC AND HAVE_HASH AND HAVE_VERIFY,0,1.0,1.0,1.0,1,342.41383123397827
4,4.667403951574643,160,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_SEQUENCE AND HAVE_VERIFY AND HAVE_CRYPTO,0,1.0,1.0,1.0,1,342.8185815811157
1,13.547933256289156,512,PAGESIZE = 32,PAGESIZE = 32.00,0,1.0,1.0,1.0,10,340.2886083126068
2,26.34304393236325,240,HAVE_SEQUENCE = 1 AND PAGESIZE = 4,HAVE_SEQUENCE AND PAGESIZE = 4.00,0,1.0,1.0,1.0,10,338.1347391605377
3,12.874260916410174,320,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_SEQUENCE,0,1.0,1.0,1.0,10,337.8440561294556
4,27.016126469355005,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_REPLICATION AND HAVE_VERIFY,0,1.0,1.0,1.0,10,321.34097051620483
1,13.829716870507388,640,CACHESIZE = 32,CACHESIZE = 32.00,3,1.0,1.0,1.0,11,351.1832084655762
2,24.263892996693063,224,HAVE_VERIFY = 1 AND PAGESIZE = 8,HAVE_VERIFY AND PAGESIZE = 8.00,0,1.0,1.0,1.0,11,337.4045317173004
3,8.848179873175976,160,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_HASH.1 = 1,HAVE_REPLICATION AND HAVE_VERIFY AND HAVE_HASH.1,0,1.0,1.0,1.0,11,326.52173495292664
4,8.617898783593835,160,HAVE_HASH = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_STATISTICS AND HAVE_VERIFY,0,1.0,1.0,1.0,11,330.80361008644104
1,36.890826131004616,512,PAGESIZE = 16,CACHESIZE != 512.00 AND NOT HAVE_HASH AND HAVE_STATISTICS AND NOT HAVE_HASH.1 AND NOT HAVE_REPLICATION.1,4,0.1567695961995249,0.2,0.12890625,12,366.9466812610626
2,3.571096954265192,128,PAGESIZE = 32 AND HAVE_HASH.1 = 1,PAGESIZE = 32.00 AND HAVE_HASH.1,0,1.0,1.0,1.0,12,365.3078896999359
3,33.53161569427367,160,HAVE_HASH = 1 AND HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1,HAVE_HASH AND HAVE_REPLICATION AND HAVE_VERIFY AND NOT HAVE_REPLICATION.1,0,1.0,1.0,1.0,12,365.4195339679718
