n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,29.887339957738973,696,bs_256x2 = 1,bs_256x2,0,1.0,1.0,1.0,0,1321.6936976909635
2,55.07977951834015,697,Linear1D = 1 AND pixelPerThread = 2,NOT Array2D AND Linear1D AND pixelPerThread = 2.00,0,1.0,1.0,1.0,0,1394.0163242816925
3,103.35373608190991,697,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 2,NOT Linear2D,0,0.0,0.0,0.0,0,1395.0173470973969
4,42.80248714784676,1040,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Linear2D AND LocalMemory AND pixelPerThread = 2.00,0,0.4927536231884058,1.0,0.3269230769230769,0,1400.3284533023834
1,47.7814647109009,2635,Linear2D = 1,Linear2D,1,1.0,1.0,1.0,1,1399.3058063983915
2,65.39570558412142,697,Linear1D = 1 AND pixelPerThread = 2,Linear1D AND pixelPerThread = 2.00,0,1.0,1.0,1.0,1,1422.0232560634613
3,97.43425634504251,1060,LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 2,CUDA AND LocalMemory AND TextureMemory AND NOT bs_256x2 AND NOT bs_32x16 AND NOT bs_32x2 AND NOT bs_32x8 AND NOT bs_64x16 AND NOT bs_64x8 AND pixelPerThread = 2.00,1,0.814317673378076,1.0,0.6867924528301886,1,1460.0454542636871
4,106.12361499529368,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread != 4.00,0,0.0,0.0,0.0,1,1431.922491312027
1,73.35062868643115,775,padding = 288,NOT Ldg AND LocalMemory AND NOT bs_128x4 AND NOT bs_128x8 AND NOT bs_32x8 AND NOT bs_64x1 AND NOT bs_64x16 AND NOT bs_64x8 AND padding = 288.00,0,0.4167517875383044,1.0,0.2632258064516129,10,1319.826339006424
2,77.71000120200516,1908,TextureMemory = 1 AND pixelPerThread = 4,CUDA AND TextureMemory AND pixelPerThread = 4.00,1,0.9904761904761904,1.0,0.981132075471698,10,1345.6030349731443
3,91.06246875954793,714,CUDA = 1 AND Linear2D = 1 AND pixelPerThread = 1,CUDA AND NOT Ldg AND NOT Linear1D AND Linear2D AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,10,1365.247224569321
4,45.60620234916878,1092,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND LocalMemory AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,10,1353.8255577087402
1,71.94340034507839,775,padding = 320,CUDA AND NOT bs_128x1 AND NOT bs_256x2 AND NOT bs_256x4 AND NOT bs_32x16 AND NOT bs_32x2 AND NOT bs_32x4 AND NOT bs_32x8 AND NOT bs_512x1 AND NOT bs_64x2 AND NOT bs_64x8 AND padding = 320.00,4,0.5687903970452447,1.0,0.3974193548387096,11,1274.2513530254364
2,76.94948281100204,1908,TextureMemory = 1 AND pixelPerThread = 4,CUDA AND TextureMemory AND pixelPerThread = 4.00,1,0.9904761904761904,1.0,0.981132075471698,11,1364.4730031490326
3,95.21534554628656,697,Linear2D = 1 AND TextureMemory = 1 AND pixelPerThread = 2,Linear2D AND bs_64x8 AND pixelPerThread = 2.00,1,0.0930232558139534,1.0,0.048780487804878,11,1372.4058849811554
4,78.23474939062044,780,CUDA = 1 AND LocalMemory = 1 AND TextureMemory = 1 AND pixelPerThread = 3,Linear1D AND LocalMemory AND NOT bs_512x2 AND pixelPerThread = 3.00,1,0.4927536231884058,1.0,0.3269230769230769,11,1342.4066367149353
1,53.002248500899725,775,padding = 384,NOT Ldg AND NOT bs_1024x1 AND NOT bs_128x1 AND NOT bs_128x2 AND NOT bs_32x1 AND NOT bs_32x16 AND NOT bs_32x4 AND NOT bs_64x8 AND padding = 384.00,3,0.6897717666948437,1.0,0.5264516129032258,12,1275.3452324867249
2,84.47424611562103,775,TextureMemory = 1 AND padding = 0,NOT Array2D,1,0.5714285714285715,1.0,0.4,12,1311.190237045288
3,81.869092498325,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,12,1386.9659094810486
4,83.41135574211206,714,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Ldg AND NOT bs_1024x1 AND NOT bs_512x2 AND pixelPerThread = 1.00,1,0.95,1.0,0.9047619047619048,12,1368.8104853630066
1,77.54063128379127,775,padding = 288,NOT Array2D AND NOT Linear2D AND NOT LocalMemory AND NOT bs_1024x1 AND NOT bs_128x2 AND NOT bs_128x4 AND NOT bs_32x2 AND NOT bs_32x32 AND NOT bs_32x4 AND NOT bs_32x8 AND NOT bs_64x1 AND NOT bs_64x16 AND NOT bs_64x2 AND NOT bs_64x4 AND padding = 288.00,1,0.3422459893048128,1.0,0.2064516129032258,13,1255.568574666977
2,41.41412366468319,697,Linear2D = 1 AND pixelPerThread = 2,Linear2D AND pixelPerThread = 2.00,1,1.0,1.0,1.0,13,1277.5635406970978
3,37.14364109438915,1035,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 4,CUDA AND LocalMemory AND pixelPerThread = 4.00,1,1.0,1.0,1.0,13,1379.58545255661
